,revascularization_male,revascularization_female,tuple,average_male,average_female,female-male
0,-1.0333797,-1.3091445,"('unsociable', 'sociable')",-1.0333797,-1.3091445,-0.2757648
1,-0.7333256,-1.051762,"('unfriendly', 'friendly')",-0.7333256,-1.051762,-0.3184364
2,0.8705886,0.90133286,"('unlikable', 'likable')",0.8705886,0.9013329,0.0307443
3,-0.57043546,-0.48586166,"('repellent', 'pleasant')",-0.5704355,-0.4858617,0.0845738
4,-0.837975,-0.85788,"('disliked', 'liked')",-0.837975,-0.85788,-0.019905
5,0.096312284,0.08680392,"('distant', 'outgoing')",0.0963123,0.0868039,-0.0095084
6,-0.1618155,-0.19899918,"('distant', 'open')",-0.1618155,-0.1989992,-0.0371837
7,-0.8617514,-0.87634975,"('insensitive', 'sensitive')",-0.8617514,-0.8763497,-0.0145983
8,-1.4428772,-1.704765,"('unaffectionate', 'affectionate')",-1.4428772,-1.704765,-0.2618878
9,-1.0555071,-1.3170061,"('unaffectionate', 'caring')",-1.0555071,-1.3170061,-0.261499
10,-1.3092415,-1.4387537,"('unsympathetic', 'sympathetic')",-1.3092415,-1.4387537,-0.1295122
11,0.57573456,0.42677513,"('unhelpful', 'helpful')",0.5757346,0.4267751,-0.1489595
12,-1.0341852,-1.090707,"('unsupportive', 'supportive')",-1.0341852,-1.0907069,-0.0565217
13,-0.18691315,-0.24469912,"('impolite', 'polite')",-0.1869131,-0.2446991,-0.057786
14,-0.45989734,-0.4330877,"('antisocial', 'social')",-0.4598973,-0.4330877,0.0268096
15,0.8109064,0.74096245,"('boring', 'funny')",0.8109064,0.7409624,-0.069944
16,0.075945646,-0.0715337,"('unpopular', 'popular')",0.0759456,-0.0715337,-0.1474793
17,-0.25144193,-0.16458535,"('nasty', 'nice')",-0.2514419,-0.1645854,0.0868565
18,0.25778228,0.27020064,"('disagreeable', 'welcoming')",0.2577823,0.2702006,0.0124183
19,-0.6117358,-0.6718648,"('inhospitable', 'hospitable')",-0.6117358,-0.6718648,-0.060129
20,0.15983246,0.2351786,"('rough', 'thoughtful')",0.1598325,0.2351786,0.0753461
21,0.09531611,0.045024604,"('immoral', 'moral')",0.0953161,0.0450246,-0.0502915
22,0.024995305,0.02942015,"('untrustworthy', 'trustworthy')",0.0249953,0.0294202,0.0044249
23,0.70681775,0.5205778,"('insincere', 'sincere')",0.7068177,0.5205778,-0.1862399
24,-0.41111228,-0.4946528,"('dishonest', 'honest')",-0.4111123,-0.4946528,-0.0835405
25,0.0043070996,-0.038411863,"('egoistic', 'altruistic')",0.0043071,-0.0384119,-0.042719
26,0.37443948,0.22068326,"('hardhearted', 'benevolent')",0.3744395,0.2206833,-0.1537562
27,-0.36089063,-0.35837305,"('hardhearted', 'softhearted')",-0.3608906,-0.358373,0.0025176
