,discretion_male,discretion_female,tuple,average_male,average_female,female-male
0,-1.0596385,-1.0945892,"('unsociable', 'sociable')",-1.0596385,-1.0945892,-0.0349507
1,1.4042404,1.4961407,"('unfriendly', 'friendly')",1.4042404,1.4961407,0.0919003
2,-0.014313288,0.14131485,"('unlikable', 'likable')",-0.0143133,0.1413148,0.1556281
3,0.061621666,0.08872545,"('repellent', 'pleasant')",0.0616217,0.0887254,0.0271037
4,-6.5736933,-6.717931,"('disliked', 'liked')",-6.5736933,-6.7179308,-0.1442375
5,-0.21341154,-0.31048578,"('distant', 'outgoing')",-0.2134115,-0.3104858,-0.0970743
6,0.63325036,0.43610734,"('distant', 'open')",0.6332504,0.4361073,-0.1971431
7,0.9986573,1.0234536,"('insensitive', 'sensitive')",0.9986573,1.0234536,0.0247963
8,1.0087497,1.0113908,"('unaffectionate', 'affectionate')",1.0087497,1.0113908,0.0026411
9,1.3928059,1.5136797,"('unaffectionate', 'caring')",1.3928059,1.5136797,0.1208738
10,0.2031431,0.22558084,"('unsympathetic', 'sympathetic')",0.2031431,0.2255808,0.0224377
11,1.2496666,1.5402145,"('unhelpful', 'helpful')",1.2496666,1.5402145,0.2905479
12,-2.5232255,-2.4007273,"('unsupportive', 'supportive')",-2.5232255,-2.4007273,0.1224982
13,-1.3081931,-1.1057328,"('impolite', 'polite')",-1.3081931,-1.1057328,0.2024603
14,-1.1309004,-0.99153316,"('antisocial', 'social')",-1.1309004,-0.9915332,0.1393672
15,0.68784726,0.7128634,"('boring', 'funny')",0.6878473,0.7128634,0.0250161
16,-0.45813859,-0.398522,"('unpopular', 'popular')",-0.4581386,-0.398522,0.0596166
17,-0.24158692,-0.30284524,"('nasty', 'nice')",-0.2415869,-0.3028452,-0.0612583
18,-1.4918852,-1.4264047,"('disagreeable', 'welcoming')",-1.4918852,-1.4264047,0.0654805
19,0.631163,0.34370553,"('inhospitable', 'hospitable')",0.631163,0.3437055,-0.2874575
20,1.034332,0.831811,"('rough', 'thoughtful')",1.034332,0.831811,-0.202521
21,-0.97260034,-0.83659804,"('immoral', 'moral')",-0.9726003,-0.836598,0.1360023
22,-0.48943454,-0.40468308,"('untrustworthy', 'trustworthy')",-0.4894345,-0.4046831,0.0847514
23,5.157384,5.3694773,"('insincere', 'sincere')",5.1573839,5.3694773,0.2120934
24,0.6159583,0.7922992,"('dishonest', 'honest')",0.6159583,0.7922992,0.1763409
25,0.89158845,0.6554025,"('egoistic', 'altruistic')",0.8915884,0.6554025,-0.2361859
26,1.3974743,1.3367536,"('hardhearted', 'benevolent')",1.3974743,1.3367536,-0.0607207
27,2.114532,1.7702662,"('hardhearted', 'softhearted')",2.114532,1.7702662,-0.3442658
