,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.18082306,-0.26212665,"('unsociable', 'sociable')",-0.67574453,-0.78928125,-0.4282838,-0.525704,-0.0974202
1,2.5048842,2.6027317,"('unfriendly', 'friendly')",1.7403212,1.6677889,2.1226027,2.1352603,0.0126576
2,0.33786613,0.3649574,"('unlikable', 'likable')",0.40275893,0.5044284,0.3703125,0.4346929,0.0643804
3,-0.88697904,-0.7643931,"('repellent', 'pleasant')",0.09192718,0.09943749,-0.3975259,-0.3324778,0.0650481
4,-0.66367847,-0.6342702,"('disliked', 'liked')",-6.512279,-6.573492,-3.5879788,-3.6038811,-0.0159023
5,0.8793178,0.9967823,"('distant', 'outgoing')",-0.5601959,-0.50667334,0.1595609,0.2450545,0.0854936
6,0.58041567,0.69574064,"('distant', 'open')",-0.111675456,-0.079727866,0.2343701,0.3080064,0.0736363
7,0.1832752,0.19640478,"('insensitive', 'sensitive')",0.26217687,0.26069826,0.222726,0.2285515,0.0058255
8,0.93758893,0.94525284,"('unaffectionate', 'affectionate')",0.47382295,0.4299704,0.7057059,0.6876116,-0.0180943
9,1.6944953,1.7120351,"('unaffectionate', 'caring')",0.7192248,0.72215426,1.2068601,1.2170947,0.0102346
10,-0.5181373,-0.55875117,"('unsympathetic', 'sympathetic')",-0.7456075,-0.84022015,-0.6318724,-0.6994857,-0.0676133
11,-0.12748551,-0.22320814,"('unhelpful', 'helpful')",1.4593517,1.4789987,0.6659331,0.6278952,-0.0380379
12,1.5934286,1.7149541,"('unsupportive', 'supportive')",-1.7627811,-1.711746,-0.0846763,0.0016041,0.0862804
13,-0.89630765,-1.0226218,"('impolite', 'polite')",-0.90251917,-0.9522946,-0.8994134,-0.9874582,-0.0880448
14,-0.83715165,-0.92211413,"('antisocial', 'social')",-1.004735,-1.0740864,-0.9209433,-0.9981003,-0.077157
15,-0.15241729,-0.2585042,"('boring', 'funny')",0.11427875,0.105936676,-0.0190693,-0.0762838,-0.0572145
16,-0.3820479,-0.34484172,"('unpopular', 'popular')",0.5256945,0.5170606,0.0718233,0.0861094,0.0142861
17,-1.0680707,-1.0056822,"('nasty', 'nice')",-0.6584524,-0.5796556,-0.8632615,-0.7926689,0.0705926
18,0.05137424,0.070284136,"('disagreeable', 'welcoming')",-0.47031176,-0.4992257,-0.2094688,-0.2144708,-0.005002
19,0.23274255,0.3364281,"('inhospitable', 'hospitable')",-0.13896143,-0.0012705065,0.0468906,0.1675788,0.1206882
20,0.1297212,0.17534323,"('rough', 'thoughtful')",1.2272978,1.1719533,0.6785095,0.6736483,-0.0048612
21,0.033186734,-0.036998287,"('immoral', 'moral')",-0.75489885,-0.7953562,-0.3608561,-0.4161772,-0.0553211
22,-0.7240656,-0.81255805,"('untrustworthy', 'trustworthy')",-1.2390826,-1.3064404,-0.9815741,-1.0594993,-0.0779252
23,0.9750599,0.92599833,"('insincere', 'sincere')",5.686167,5.5985885,3.3306134,3.2622933,-0.0683201
24,0.9037847,0.83588964,"('dishonest', 'honest')",0.9287508,0.8726694,0.9162678,0.8542795,-0.0619883
25,0.76893234,0.78349453,"('egoistic', 'altruistic')",1.5892167,1.5641673,1.1790745,1.1738309,-0.0052436
26,2.3938556,2.4491565,"('hardhearted', 'benevolent')",1.655614,1.6126009,2.0247347,2.0308788,0.0061441
