,redirect_male,redirect_female,tuple,average_male,average_female,female-male
0,-1.0977813,-1.1261579,"('unsociable', 'sociable')",-1.0977813,-1.1261579,-0.0283766
1,-0.52097714,-0.6410232,"('unfriendly', 'friendly')",-0.5209771,-0.6410232,-0.1200461
2,-0.15744483,-0.20194077,"('unlikable', 'likable')",-0.1574448,-0.2019408,-0.044496
3,-0.23528653,-0.08378772,"('repellent', 'pleasant')",-0.2352865,-0.0837877,0.1514988
4,-2.3495493,-2.5120082,"('disliked', 'liked')",-2.3495493,-2.5120082,-0.1624589
5,-0.31015843,-0.37369528,"('distant', 'outgoing')",-0.3101584,-0.3736953,-0.0635369
6,-0.73349154,-0.8372726,"('distant', 'open')",-0.7334915,-0.8372726,-0.1037811
7,-0.005619907,0.18332279,"('insensitive', 'sensitive')",-0.0056199,0.1833228,0.1889427
8,-1.7350693,-1.8073906,"('unaffectionate', 'affectionate')",-1.7350693,-1.8073906,-0.0723213
9,-1.3730042,-1.365081,"('unaffectionate', 'caring')",-1.3730042,-1.365081,0.0079232
10,-0.79166883,-0.76803595,"('unsympathetic', 'sympathetic')",-0.7916688,-0.7680359,0.0236329
11,0.89642996,1.0370668,"('unhelpful', 'helpful')",0.89643,1.0370668,0.1406368
12,-1.1036899,-1.0077116,"('unsupportive', 'supportive')",-1.1036899,-1.0077116,0.0959783
13,-1.0214471,-1.1339529,"('impolite', 'polite')",-1.0214471,-1.1339529,-0.1125058
14,-0.21429552,-0.10610997,"('antisocial', 'social')",-0.2142955,-0.10611,0.1081855
15,-0.11054169,-0.23102862,"('boring', 'funny')",-0.1105417,-0.2310286,-0.1204869
16,-0.90127814,-0.90494394,"('unpopular', 'popular')",-0.9012781,-0.9049439,-0.0036658
17,-0.5391896,-0.5641509,"('nasty', 'nice')",-0.5391896,-0.5641509,-0.0249613
18,-0.30693352,-0.27193025,"('disagreeable', 'welcoming')",-0.3069335,-0.2719302,0.0350033
19,-1.3303596,-1.4006141,"('inhospitable', 'hospitable')",-1.3303596,-1.4006141,-0.0702545
20,1.1119394,1.0670093,"('rough', 'thoughtful')",1.1119394,1.0670093,-0.0449301
21,0.039409634,0.04192419,"('immoral', 'moral')",0.0394096,0.0419242,0.0025146
22,-0.0527142,-0.08165586,"('untrustworthy', 'trustworthy')",-0.0527142,-0.0816559,-0.0289417
23,1.3363111,1.4942243,"('insincere', 'sincere')",1.3363111,1.4942243,0.1579132
24,-0.47308642,-0.45170844,"('dishonest', 'honest')",-0.4730864,-0.4517084,0.021378
25,0.48421723,0.52148986,"('egoistic', 'altruistic')",0.4842172,0.5214899,0.0372727
26,0.2339586,-0.01610908,"('hardhearted', 'benevolent')",0.2339586,-0.0161091,-0.2500677
27,0.015745893,-0.00800075,"('hardhearted', 'softhearted')",0.0157459,-0.0080008,-0.0237467
28,0.06355774,0.08530905,"('disloyal', 'loyal')",0.0635577,0.0853091,0.0217514
29,0.1191153,0.032785486,"('unfair', 'fair')",0.1191153,0.0327855,-0.0863298
30,-0.007840721,-0.067840725,"('intolerant', 'tolerant')",-0.0078407,-0.0678407,-0.06
31,-1.2912486,-1.4663826,"('evil', 'good')",-1.2912486,-1.4663826,-0.175134
32,-0.17039117,-0.270404,"('unkind', 'kind')",-0.1703912,-0.270404,-0.1000128
33,0.26374373,0.22752294,"('wrong', 'right')",0.2637437,0.2275229,-0.0362208
34,1.738814,1.9425935,"('mean', 'honorable')",1.738814,1.9425935,0.2037795
35,0.47301477,0.37524086,"('corrupt', 'incorrupt')",0.4730148,0.3752409,-0.0977739
36,-0.9564015,-1.1049402,"('hostile', 'amicable')",-0.9564015,-1.1049402,-0.1485387
37,-0.37871554,-0.3497946,"('fake', 'genuine')",-0.3787155,-0.3497946,0.0289209
38,-0.20962988,-0.1836465,"('untruthful', 'truthful')",-0.2096299,-0.1836465,0.0259834
39,1.0209099,0.9718466,"('exploitative', 'cooperative')",1.0209099,0.9718466,-0.0490633
40,-1.1038339,-1.0604874,"('stingy', 'generous')",-1.1038339,-1.0604874,0.0433465
41,0.033010103,-0.10740231,"('unforgiving', 'forgiving')",0.0330101,-0.1074023,-0.1404124
42,-0.86492896,-0.8945718,"('unreliable', 'reliable')",-0.864929,-0.8945718,-0.0296428
