,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,female-male
0,-0.50510544,-0.6599401,"('unsociable', 'sociable')",1.1162099,1.0679836,-0.83155894,-0.9138724,0.7883593,0.73714703,0.1419762,0.0578295,-0.0841467
1,0.07101709,0.27231953,"('unfriendly', 'friendly')",-0.26272252,-0.2207844,-1.3979857,-1.4524649,1.9642884,1.7521536,0.0936493,0.087806,-0.0058433
2,0.2323328,0.25977707,"('unlikable', 'likable')",0.20136726,0.17533088,1.4797554,1.5163128,1.0324031,1.2280321,0.7364646,0.7948632,0.0583986
3,-1.5420424,-1.4267431,"('repellent', 'pleasant')",-0.83560663,-0.7207281,0.18790385,0.21601126,0.54942596,0.5677056,-0.4100798,-0.3409386,0.0691412
4,-0.64486885,-0.45571464,"('disliked', 'liked')",-0.83793163,-0.8316617,-0.62072945,-0.59627914,-7.2729654,-7.09702,-2.3441238,-2.2451689,0.0989549
5,0.879868,1.1139076,"('distant', 'outgoing')",-0.08167182,-0.019771181,-1.011444,-0.8928808,-0.057082318,-0.039968014,-0.0675825,0.0403219,0.1079044
6,0.33067614,0.6409183,"('distant', 'open')",-0.43144462,-0.3444152,-1.2963783,-1.1766222,0.22762015,0.21869043,-0.2923816,-0.1653571,0.1270245
7,-0.73354,-0.60365367,"('insensitive', 'sensitive')",-0.22979732,-0.09259839,-0.4017562,-0.36746418,0.43055344,0.4444255,-0.233635,-0.1548227,0.0788123
8,0.09637591,0.19594142,"('unaffectionate', 'affectionate')",-0.62822574,-0.70466816,-2.2462938,-2.3271565,0.591871,0.3823927,-0.5465682,-0.6133726,-0.0668044
9,0.44745716,0.53101695,"('unaffectionate', 'caring')",-0.106331855,-0.14990741,-1.8647066,-1.9215618,1.5799167,1.4920683,0.0140839,-0.012096,-0.0261799
10,-0.5916652,-0.6155861,"('unsympathetic', 'sympathetic')",-0.44728172,-0.46915662,-1.1830635,-1.2315631,0.39451143,0.34661394,-0.4568747,-0.492423,-0.0355483
11,-0.094671145,-0.14280885,"('unhelpful', 'helpful')",0.61687964,0.59100944,0.02493409,-0.036424115,2.4621086,2.5378246,0.7523128,0.7374003,-0.0149125
12,-0.08818536,0.12926649,"('unsupportive', 'supportive')",0.21001801,0.24973492,-0.4150397,-0.31814054,-1.2894512,-1.1555064,-0.3956646,-0.2736614,0.1220032
13,-0.73848516,-0.9594538,"('impolite', 'polite')",0.2796639,0.21805026,0.15685144,0.1276817,0.53246605,0.58787626,0.0576241,-0.0064614,-0.0640855
14,-0.43106142,-0.5982721,"('antisocial', 'social')",0.4689578,0.4075018,0.7069909,0.6884987,0.38118362,0.3658055,0.2815177,0.2158835,-0.0656342
15,0.57695127,0.40535438,"('boring', 'funny')",0.77192914,0.641992,0.35651717,0.3046433,0.21251671,0.18285671,0.4794786,0.3837116,-0.095767
16,-0.3145677,-0.2223018,"('unpopular', 'popular')",-0.70185614,-0.59340143,-0.4784113,-0.5135393,0.101496756,0.15327898,-0.3483346,-0.2939909,0.0543437
17,-0.8150285,-0.7244566,"('nasty', 'nice')",-0.44613692,-0.39046514,-0.13119327,-0.01353691,-0.59905994,-0.6392476,-0.4978547,-0.4419266,0.0559281
18,-0.8610237,-0.66574943,"('disagreeable', 'welcoming')",-0.6428783,-0.5857061,-0.5343106,-0.42697945,-0.40686104,-0.41336563,-0.6112684,-0.5229502,0.0883182
19,0.0030677728,0.1825087,"('inhospitable', 'hospitable')",-0.7895061,-0.73224777,-1.5548446,-1.5222595,-0.67355853,-0.62575406,-0.7537103,-0.6744382,0.0792721
20,-0.23450798,-0.18992165,"('rough', 'thoughtful')",-0.12081056,-0.10195829,0.5103086,0.4923712,0.5362077,0.5490254,0.1727994,0.1873792,0.0145798
21,-0.21936546,-0.4493833,"('immoral', 'moral')",0.39592013,0.39179474,0.49680674,0.41059667,-0.06505821,-0.015861357,0.1520758,0.0842867,-0.0677891
22,-0.4402759,-0.48805842,"('untrustworthy', 'trustworthy')",-0.16056931,-0.17872408,0.55297357,0.53040874,-0.33273402,-0.38103738,-0.0951514,-0.1293528,-0.0342014
23,0.0061802305,0.02970118,"('insincere', 'sincere')",0.89666736,0.9069456,-0.412839,-0.4765663,7.0130844,6.8824096,1.8757732,1.8356225,-0.0401507
24,-0.17935187,-0.19857155,"('dishonest', 'honest')",-0.50672585,-0.54633427,-0.16241248,-0.21750258,1.2738823,1.1146364,0.106348,0.038057,-0.068291
25,-0.17511295,-0.1492406,"('egoistic', 'altruistic')",-0.20928834,-0.2036018,-0.16519986,-0.20736201,1.2568078,1.0969353,0.1768017,0.1341827,-0.042619
26,0.80807155,0.83940566,"('hardhearted', 'benevolent')",0.34906858,0.26486152,0.3273202,0.26299277,1.4197927,1.217654,0.7260633,0.6462284,-0.0798349
27,-0.88864326,-0.8275013,"('hardhearted', 'softhearted')",-0.47917807,-0.50606227,-0.6365034,-0.6084663,0.60389304,0.46182808,-0.3501079,-0.3700505,-0.0199426
