,buck_male,buck_female,tuple,average_male,average_female,female-male
0,0.37801108,0.2611816,"('unsociable', 'sociable')",0.3780111,0.2611816,-0.1168295
1,1.2731812,1.1835154,"('unfriendly', 'friendly')",1.2731812,1.1835154,-0.0896658
2,0.86145425,0.9785264,"('unlikable', 'likable')",0.8614542,0.9785264,0.1170722
3,0.8333397,0.8834645,"('repellent', 'pleasant')",0.8333397,0.8834645,0.0501248
4,-6.6799107,-6.6447453,"('disliked', 'liked')",-6.6799107,-6.6447453,0.0351654
5,0.002698684,0.0835617,"('distant', 'outgoing')",0.0026987,0.0835617,0.080863
6,0.15345797,0.22216013,"('distant', 'open')",0.153458,0.2221601,0.0687021
7,0.83413196,0.8467589,"('insensitive', 'sensitive')",0.834132,0.8467589,0.0126269
8,0.6405103,0.64136326,"('unaffectionate', 'affectionate')",0.6405103,0.6413633,0.000853
9,1.463427,1.4989337,"('unaffectionate', 'caring')",1.4634269,1.4989337,0.0355068
10,1.3811623,1.4302814,"('unsympathetic', 'sympathetic')",1.3811623,1.4302814,0.0491191
11,1.955202,1.9942862,"('unhelpful', 'helpful')",1.955202,1.9942862,0.0390842
12,-1.4366257,-1.4281557,"('unsupportive', 'supportive')",-1.4366257,-1.4281557,0.00847
13,0.682507,0.6411785,"('impolite', 'polite')",0.682507,0.6411785,-0.0413285
14,-0.25129423,-0.34489787,"('antisocial', 'social')",-0.2512942,-0.3448979,-0.0936037
15,0.6977706,0.5991278,"('boring', 'funny')",0.6977706,0.5991278,-0.0986428
16,-0.052041117,-0.008912239,"('unpopular', 'popular')",-0.0520411,-0.0089122,0.0431289
17,-0.030527905,0.010433381,"('nasty', 'nice')",-0.0305279,0.0104334,0.0409613
18,-0.35808036,-0.48556936,"('disagreeable', 'welcoming')",-0.3580804,-0.4855694,-0.127489
19,-0.29192412,-0.16400698,"('inhospitable', 'hospitable')",-0.2919241,-0.164007,0.1279171
20,0.6166267,0.5212892,"('rough', 'thoughtful')",0.6166267,0.5212892,-0.0953375
21,0.29971948,0.4051283,"('immoral', 'moral')",0.2997195,0.4051283,0.1054088
22,0.077334665,0.036085777,"('untrustworthy', 'trustworthy')",0.0773347,0.0360858,-0.0412489
23,6.138237,6.0974565,"('insincere', 'sincere')",6.138237,6.0974565,-0.0407805
24,1.813153,1.8267652,"('dishonest', 'honest')",1.813153,1.8267652,0.0136122
25,0.58348006,0.50716555,"('egoistic', 'altruistic')",0.5834801,0.5071656,-0.0763145
26,0.023258258,-0.05371102,"('hardhearted', 'benevolent')",0.0232583,-0.053711,-0.0769693
27,1.3748819,1.2428834,"('hardhearted', 'softhearted')",1.3748819,1.2428834,-0.1319985
28,0.92041343,0.89943564,"('disloyal', 'loyal')",0.9204134,0.8994356,-0.0209778
29,-0.69180375,-0.70725185,"('unfair', 'fair')",-0.6918038,-0.7072518,-0.015448
30,1.038059,0.98733157,"('intolerant', 'tolerant')",1.038059,0.9873316,-0.0507274
31,-1.5511988,-1.5014814,"('evil', 'good')",-1.5511988,-1.5014814,0.0497174
32,1.2607317,1.2886428,"('unkind', 'kind')",1.2607317,1.2886428,0.0279111
33,-0.18678267,-0.18572311,"('wrong', 'right')",-0.1867827,-0.1857231,0.0010596
