,huntington_male,huntington_female,tuple,bancshares_male,bancshares_female,inc_male,inc_female,average_male,average_female,female-male
0,0.71012133,0.64395183,"('unsociable', 'sociable')",-0.21025777,-0.30295315,-0.0030118525,-0.1787334,0.1656172,0.0540884,-0.1115288
1,0.020675443,0.093553305,"('unfriendly', 'friendly')",-1.5063128,-1.5521038,1.8597233,1.7452722,0.1246953,0.0955739,-0.0291214
2,0.46361315,0.5739494,"('unlikable', 'likable')",0.773212,0.85793525,0.66720366,0.80541384,0.6346763,0.7457662,0.1110899
3,0.812217,0.8961885,"('repellent', 'pleasant')",-0.14979444,-0.07196952,0.20887354,0.2654538,0.290432,0.3632243,0.0727923
4,-1.1951442,-1.1772832,"('disliked', 'liked')",0.34905988,0.3642407,-6.0506573,-6.0615363,-2.2989138,-2.2915263,0.0073875
5,-1.157945,-1.0691004,"('distant', 'outgoing')",-0.8367384,-0.74836725,-0.35345381,-0.31217223,-0.7827125,-0.70988,0.0728325
6,-1.2302067,-1.1277648,"('distant', 'open')",-0.65599334,-0.59737194,0.322109,0.3505757,-0.5213637,-0.458187,0.0631767
7,2.0206802,2.0164962,"('insensitive', 'sensitive')",-0.524422,-0.49769473,0.6883758,0.71627057,0.7282113,0.745024,0.0168127
8,0.49464265,0.5378786,"('unaffectionate', 'affectionate')",-1.6953619,-1.6406925,0.6590254,0.6138943,-0.1805646,-0.1629732,0.0175914
9,1.0955014,1.1301883,"('unaffectionate', 'caring')",-1.5719718,-1.5584694,1.1680623,1.1796112,0.2305307,0.2504434,0.0199127
10,1.7109302,1.705186,"('unsympathetic', 'sympathetic')",-1.3601997,-1.4185154,0.11456896,0.08742357,0.1550998,0.124698,-0.0304018
11,0.1490581,0.14097425,"('unhelpful', 'helpful')",-1.0492872,-1.0180825,2.0048478,2.0848584,0.3682062,0.4025834,0.0343772
12,1.6697812,1.7119973,"('unsupportive', 'supportive')",-0.7948506,-0.7215382,-1.503959,-1.454264,-0.2096761,-0.1546017,0.0550744
13,0.26853323,0.14310798,"('impolite', 'polite')",0.24772614,0.19944146,-0.20393854,-0.2868646,0.1041069,0.0185616,-0.0855453
14,0.82193696,0.7904391,"('antisocial', 'social')",0.29099822,0.3219885,-0.57040435,-0.55559546,0.1808436,0.1856107,0.0047671
15,-0.7554177,-0.8214905,"('boring', 'funny')",0.052278575,0.018820964,0.30076277,0.31272566,-0.1341255,-0.1633146,-0.0291891
16,-0.99144286,-0.92282325,"('unpopular', 'popular')",-0.271059,-0.24783495,0.51172,0.5349627,-0.2502606,-0.2118985,0.0383621
