,maintenance_male,maintenance_female,tuple,average_male,average_female,female-male
0,0.07424246,-0.033691287,"('unsociable', 'sociable')",0.0742425,-0.0336913,-0.1079338
1,1.8523028,1.8844432,"('unfriendly', 'friendly')",1.8523028,1.8844432,0.0321404
2,0.23420429,0.28550696,"('unlikable', 'likable')",0.2342043,0.285507,0.0513027
3,0.6451694,0.8383519,"('repellent', 'pleasant')",0.6451694,0.8383519,0.1931825
4,-6.9825144,-6.9128995,"('disliked', 'liked')",-6.9825144,-6.9128995,0.0696149
5,-0.13854733,0.009407051,"('distant', 'outgoing')",-0.1385473,0.0094071,0.1479544
6,0.15006754,0.2839203,"('distant', 'open')",0.1500675,0.2839203,0.1338528
7,1.1893021,1.2627066,"('insensitive', 'sensitive')",1.1893021,1.2627066,0.0734045
8,1.4151788,1.3841436,"('unaffectionate', 'affectionate')",1.4151788,1.3841436,-0.0310352
9,2.0416932,2.1510406,"('unaffectionate', 'caring')",2.0416932,2.1510406,0.1093474
10,0.513603,0.60157245,"('unsympathetic', 'sympathetic')",0.513603,0.6015725,0.0879695
11,2.133851,2.1187663,"('unhelpful', 'helpful')",2.1338511,2.1187663,-0.0150848
12,-0.97902834,-0.80297107,"('unsupportive', 'supportive')",-0.9790283,-0.8029711,0.1760572
13,0.0025703758,-0.14622888,"('impolite', 'polite')",0.0025704,-0.1462289,-0.1487993
14,0.14079455,0.0729615,"('antisocial', 'social')",0.1407945,0.0729615,-0.067833
15,0.29269803,0.1340699,"('boring', 'funny')",0.292698,0.1340699,-0.1586281
16,-0.4712028,-0.40899682,"('unpopular', 'popular')",-0.4712028,-0.4089968,0.062206
17,0.002378272,0.02300325,"('nasty', 'nice')",0.0023783,0.0230033,0.020625
18,-0.5731831,-0.44204193,"('disagreeable', 'welcoming')",-0.5731831,-0.4420419,0.1311412
19,-0.09272941,0.107783526,"('inhospitable', 'hospitable')",-0.0927294,0.1077835,0.2005129
20,0.47729704,0.3940153,"('rough', 'thoughtful')",0.477297,0.3940153,-0.0832817
21,-0.12481154,0.018249834,"('immoral', 'moral')",-0.1248115,0.0182498,0.1430613
22,-0.7013191,-0.56335837,"('untrustworthy', 'trustworthy')",-0.7013191,-0.5633584,0.1379607
23,6.9646363,7.025433,"('insincere', 'sincere')",6.9646363,7.0254331,0.0607968
24,1.571456,1.74068,"('dishonest', 'honest')",1.571456,1.74068,0.169224
25,1.067298,1.0366228,"('egoistic', 'altruistic')",1.0672981,1.0366228,-0.0306753
26,1.1298553,0.8758455,"('hardhearted', 'benevolent')",1.1298553,0.8758455,-0.2540098
27,1.8581301,1.695453,"('hardhearted', 'softhearted')",1.8581301,1.695453,-0.1626771
28,1.2730796,1.2736661,"('disloyal', 'loyal')",1.2730796,1.2736661,0.0005865
29,-0.7397175,-0.7970729,"('unfair', 'fair')",-0.7397175,-0.7970729,-0.0573554
30,0.8264575,0.84981453,"('intolerant', 'tolerant')",0.8264575,0.8498145,0.023357
31,-1.4440641,-1.3307474,"('evil', 'good')",-1.4440641,-1.3307474,0.1133167
32,1.506325,1.3117685,"('unkind', 'kind')",1.506325,1.3117685,-0.1945565
33,0.21398774,0.24891415,"('wrong', 'right')",0.2139877,0.2489142,0.0349265
34,4.9696097,5.2379155,"('mean', 'honorable')",4.9696097,5.2379155,0.2683058
35,-0.9812948,-0.9998133,"('corrupt', 'incorrupt')",-0.9812948,-0.9998133,-0.0185185
36,-0.6327641,-0.5714362,"('hostile', 'amicable')",-0.6327641,-0.5714362,0.0613279
37,0.9234503,0.85627455,"('fake', 'genuine')",0.9234503,0.8562745,-0.0671758
38,0.650553,0.7487766,"('untruthful', 'truthful')",0.650553,0.7487766,0.0982236
39,-0.16801925,-0.12936121,"('exploitative', 'cooperative')",-0.1680193,-0.1293612,0.0386581
40,-1.5307051,-1.5564836,"('stingy', 'generous')",-1.5307051,-1.5564836,-0.0257785
41,0.13140339,0.02264547,"('unforgiving', 'forgiving')",0.1314034,0.0226455,-0.1087579
42,-3.0673933,-2.886572,"('unreliable', 'reliable')",-3.0673933,-2.8865719,0.1808214
43,1.0431796,1.0816445,"('irresponsible', 'responsible')",1.0431796,1.0816445,0.0384649
44,-1.4706287,-1.6359481,"('prejudiced', 'unprejudiced')",-1.4706287,-1.6359481,-0.1653194
45,0.18525918,0.18529055,"('incompetent', 'competent')",0.1852592,0.1852905,3.13e-05
46,-1.2425703,-1.1582959,"('uncompetitive', 'competitive')",-1.2425703,-1.1582959,0.0842744
47,5.37487,5.471593,"('stupid', 'smart')",5.3748698,5.4715929,0.0967231
48,0.29247615,0.34596372,"('unintelligent', 'intelligent')",0.2924761,0.3459637,0.0534876
49,0.15667957,0.3447687,"('unable', 'able')",0.1566796,0.3447687,0.1880891
50,-0.17900556,-0.12302788,"('clumsy', 'skillful')",-0.1790056,-0.1230279,0.0559777
51,0.6003662,0.5632614,"('uneducated', 'educated')",0.6003662,0.5632614,-0.0371048
52,0.083591715,0.03868632,"('irrational', 'rational')",0.0835917,0.0386863,-0.0449054
53,0.07926012,0.08554064,"('uncreative', 'creative')",0.0792601,0.0855406,0.0062805
54,1.3123636,1.5566682,"('incapable', 'capable')",1.3123636,1.5566682,0.2443046
55,0.5512461,0.5874786,"('incompetent', 'clever')",0.5512461,0.5874786,0.0362325
56,0.49202204,0.6164552,"('impractical', 'practical')",0.492022,0.6164552,0.1244332
57,-2.926877,-2.9251978,"('unimaginative', 'imaginative')",-2.926877,-2.9251978,0.0016792
58,-0.056000702,-0.077374145,"('undiscriminating', 'discriminating')",-0.0560007,-0.0773741,-0.0213734
59,0.18695322,0.2891671,"('foolish', 'wise')",0.1869532,0.2891671,0.1022139
60,0.57718813,0.5940455,"('inefficient', 'efficient')",0.5771881,0.5940455,0.0168574
61,0.38260806,0.24493879,"('illogical', 'logical')",0.3826081,0.2449388,-0.1376693
62,0.98881036,1.2046813,"('incompetent', 'brilliant')",0.9888104,1.2046813,0.2158709
63,0.52388257,0.60201055,"('unperceptive', 'insightful')",0.5238826,0.6020105,0.0781279
64,-6.6235437,-6.447002,"('shy', 'confident')",-6.6235437,-6.4470019,0.1765418
65,-0.07779736,0.06415907,"('insecure', 'secure')",-0.0777974,0.0641591,0.1419565
66,-0.73750514,-0.7481901,"('inactive', 'active')",-0.7375051,-0.7481901,-0.010685
67,-0.4541367,-0.610345,"('doubtful', 'determined')",-0.4541367,-0.610345,-0.1562083
68,-1.076988,-0.84320027,"('dependent', 'independent')",-1.076988,-0.8432003,0.2337877
69,-1.8093364,-1.768029,"('lazy', 'industrious')",-1.8093364,-1.768029,0.0413074
70,0.7828177,0.8392931,"('lethargic', 'energetic')",0.7828177,0.8392931,0.0564754
71,0.5424932,0.7175837,"('diffident', 'self-confident')",0.5424932,0.7175837,0.1750905
72,0.86322737,0.97260064,"('unambitious', 'ambitious')",0.8632274,0.9726006,0.1093732
73,-2.7184646,-2.4918923,"('helpless', 'self-reliant')",-2.7184646,-2.4918923,0.2265723
