,equifax_male,equifax_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.5420274,-1.6274383,"('unsociable', 'sociable')",-0.24149421,-0.44486135,-0.8917608,-1.0361499,-0.1443891
1,-1.71983,-1.7302432,"('unfriendly', 'friendly')",1.764934,1.7051696,0.022552,-0.0125368,-0.0350888
2,0.71375895,0.80029106,"('unlikable', 'likable')",0.94228745,1.0624325,0.8280232,0.9313618,0.1033386
3,-0.7560783,-0.60679173,"('repellent', 'pleasant')",-0.12270588,-0.11123106,-0.4393921,-0.3590114,0.0803807
4,0.62589705,0.6425884,"('disliked', 'liked')",-5.852321,-5.8746243,-2.6132121,-2.6160178,-0.0028057
5,-0.49559906,-0.3906991,"('distant', 'outgoing')",0.027930439,0.11978566,-0.2338343,-0.1354567,0.0983776
6,-0.75034875,-0.60541105,"('distant', 'open')",0.3936006,0.45970646,-0.1783741,-0.0728523,0.1055218
7,-0.8971277,-0.81484056,"('insensitive', 'sensitive')",0.19921261,0.22572938,-0.3489575,-0.2945556,0.0544019
8,-1.7128221,-1.7085965,"('unaffectionate', 'affectionate')",0.74393654,0.7461925,-0.4844428,-0.481202,0.0032408
9,-1.6369684,-1.5994526,"('unaffectionate', 'caring')",1.0659938,1.093889,-0.2854873,-0.2527818,0.0327055
10,-1.5557567,-1.4683871,"('unsympathetic', 'sympathetic')",-0.61628103,-0.7096569,-1.0860188,-1.089022,-0.0030032
11,-0.9269338,-0.90181875,"('unhelpful', 'helpful')",1.5266604,1.6255227,0.2998633,0.361852,0.0619887
12,-0.7240678,-0.5486375,"('unsupportive', 'supportive')",-1.7832258,-1.7131113,-1.2536469,-1.1308744,0.1227725
13,-0.4927013,-0.5599965,"('impolite', 'polite')",-0.5286923,-0.55831826,-0.5106968,-0.5591574,-0.0484606
14,0.17408906,0.16610801,"('antisocial', 'social')",-0.5053674,-0.6379455,-0.1656392,-0.2359187,-0.0702795
15,-0.082225144,-0.21370341,"('boring', 'funny')",0.58057755,0.5607447,0.2491762,0.1735207,-0.0756555
16,0.050974302,0.089941524,"('unpopular', 'popular')",0.76737124,0.7673923,0.4091728,0.4286669,0.0194941
17,0.30207303,0.38401765,"('nasty', 'nice')",-0.32983238,-0.276038,-0.0138797,0.0539898,0.0678695
18,-0.4656313,-0.38612905,"('disagreeable', 'welcoming')",-0.34708405,-0.371675,-0.4063577,-0.378902,0.0274557
19,-1.303456,-1.2193236,"('inhospitable', 'hospitable')",-0.16865395,-0.037283815,-0.736055,-0.6283037,0.1077513
20,0.49048847,0.50889254,"('rough', 'thoughtful')",1.2362903,1.1370878,0.8633894,0.8229902,-0.0403992
21,-0.46601734,-0.50736076,"('immoral', 'moral')",-0.46588433,-0.5299056,-0.4659508,-0.5186332,-0.0526824
22,-0.011174256,0.0071150763,"('untrustworthy', 'trustworthy')",-0.76944345,-0.89517814,-0.3903089,-0.4440315,-0.0537226
23,-1.3892075,-1.3825908,"('insincere', 'sincere')",5.1999164,5.1264997,1.9053545,1.8719544,-0.0334001
24,-0.45044267,-0.4417939,"('dishonest', 'honest')",0.69250214,0.6295956,0.1210297,0.0939008,-0.0271289
25,-0.29448083,-0.28421974,"('egoistic', 'altruistic')",1.52152,1.4838781,0.6135196,0.5998292,-0.0136904
26,0.260632,0.23014168,"('hardhearted', 'benevolent')",1.9645922,1.8489741,1.1126121,1.0395579,-0.0730542
27,-0.71324813,-0.6112841,"('hardhearted', 'softhearted')",1.2223381,1.19706,0.254545,0.292888,0.038343
28,-1.0513488,-1.1546805,"('disloyal', 'loyal')",0.73625124,0.6018578,-0.1575488,-0.2764114,-0.1188626
29,-0.11276861,-0.14530368,"('unfair', 'fair')",-0.4770114,-0.62289715,-0.29489,-0.3841004,-0.0892104
30,0.2915973,0.27266085,"('intolerant', 'tolerant')",1.3813782,1.2798185,0.8364878,0.7762397,-0.0602481
31,-0.46080518,-0.3758259,"('evil', 'good')",-0.9044011,-0.9558454,-0.6826031,-0.6658357,0.0167674
32,-0.22977288,-0.24332988,"('unkind', 'kind')",0.9054815,0.7458055,0.3378543,0.2512378,-0.0866165
33,0.156067,0.12889388,"('wrong', 'right')",-0.30536854,-0.30926394,-0.0746508,-0.090185,-0.0155342
34,-0.24217065,-0.080154896,"('mean', 'honorable')",5.6717997,5.8189597,2.7148144,2.8694024,0.154588
35,0.9200474,0.8220262,"('corrupt', 'incorrupt')",-0.06819627,-0.17397195,0.4259256,0.3240271,-0.1018985
36,-0.2633012,-0.27131537,"('hostile', 'amicable')",0.2205697,0.029159553,-0.0213657,-0.1210779,-0.0997122
37,-0.099815115,-0.042873986,"('fake', 'genuine')",0.20399985,0.23080538,0.0520924,0.0939657,0.0418733
38,-1.1296556,-1.0753583,"('untruthful', 'truthful')",-0.0685556,0.035962652,-0.5991056,-0.5196978,0.0794078
39,1.2351216,1.19039,"('exploitative', 'cooperative')",0.22036515,0.19102633,0.7277434,0.6907082,-0.0370352
40,0.4939492,0.5218528,"('stingy', 'generous')",-1.5542632,-1.6840174,-0.530157,-0.5810823,-0.0509253
41,-0.536842,-0.45031404,"('unforgiving', 'forgiving')",0.07823347,-0.05273404,-0.2293043,-0.251524,-0.0222197
42,0.7519154,0.9126341,"('unreliable', 'reliable')",-2.8905299,-2.7635703,-1.0693072,-0.9254681,0.1438391
43,-0.96191686,-0.80360246,"('irresponsible', 'responsible')",0.40434045,0.42997074,-0.2787882,-0.1868159,0.0919723
