,oleo_male,oleo_female,tuple,average_male,average_female,female-male
0,-0.42539728,-0.56413305,"('unsociable', 'sociable')",-0.4253973,-0.564133,-0.1387357
1,0.1410531,0.12173064,"('unfriendly', 'friendly')",0.1410531,0.1217306,-0.0193225
2,0.86051786,0.897958,"('unlikable', 'likable')",0.8605179,0.897958,0.0374401
3,0.39553222,0.4443655,"('repellent', 'pleasant')",0.3955322,0.4443655,0.0488333
4,-2.30283,-2.4458497,"('disliked', 'liked')",-2.30283,-2.4458497,-0.1430197
5,-0.6370962,-0.4754196,"('distant', 'outgoing')",-0.6370962,-0.4754196,0.1616766
6,-0.86665434,-0.6870599,"('distant', 'open')",-0.8666543,-0.6870599,0.1795944
7,0.273528,0.24729101,"('insensitive', 'sensitive')",0.273528,0.247291,-0.026237
8,0.119426444,0.10976146,"('unaffectionate', 'affectionate')",0.1194264,0.1097615,-0.0096649
9,0.084797636,0.058233514,"('unaffectionate', 'caring')",0.0847976,0.0582335,-0.0265641
10,-0.108499326,-0.17659368,"('unsympathetic', 'sympathetic')",-0.1084993,-0.1765937,-0.0680944
11,0.9529989,0.876633,"('unhelpful', 'helpful')",0.9529989,0.876633,-0.0763659
12,-0.9097648,-0.8807782,"('unsupportive', 'supportive')",-0.9097648,-0.8807782,0.0289866
13,0.22061564,0.068980664,"('impolite', 'polite')",0.2206156,0.0689807,-0.1516349
14,-0.08732696,-0.24426149,"('antisocial', 'social')",-0.087327,-0.2442615,-0.1569345
15,0.5174053,0.4515856,"('boring', 'funny')",0.5174053,0.4515856,-0.0658197
16,-0.25428137,-0.28233168,"('unpopular', 'popular')",-0.2542814,-0.2823317,-0.0280503
17,-0.19916108,-0.1581758,"('nasty', 'nice')",-0.1991611,-0.1581758,0.0409853
18,-0.7229489,-0.686939,"('disagreeable', 'welcoming')",-0.7229489,-0.686939,0.0360099
19,-0.28283674,-0.120835856,"('inhospitable', 'hospitable')",-0.2828367,-0.1208359,0.1620008
20,-0.36702448,-0.42434192,"('rough', 'thoughtful')",-0.3670245,-0.4243419,-0.0573174
