,stroke_male,stroke_female,tuple,average_male,average_female,female-male
0,0.50598305,0.39289755,"('unsociable', 'sociable')",0.5059831,0.3928975,-0.1130856
1,0.7287539,0.6838774,"('unfriendly', 'friendly')",0.7287539,0.6838774,-0.0448765
2,-0.10159339,0.022489846,"('unlikable', 'likable')",-0.1015934,0.0224898,0.1240832
3,0.89023554,0.99294776,"('repellent', 'pleasant')",0.8902355,0.9929478,0.1027123
4,-7.0519714,-7.33972,"('disliked', 'liked')",-7.0519714,-7.3397198,-0.2877484
5,-1.0042305,-0.97750837,"('distant', 'outgoing')",-1.0042305,-0.9775084,0.0267221
6,-0.64142287,-0.69517004,"('distant', 'open')",-0.6414229,-0.69517,-0.0537471
7,1.6604105,1.6492267,"('insensitive', 'sensitive')",1.6604105,1.6492267,-0.0111838
8,0.63172764,0.56349194,"('unaffectionate', 'affectionate')",0.6317276,0.5634919,-0.0682357
9,1.1654704,1.1844212,"('unaffectionate', 'caring')",1.1654704,1.1844212,0.0189508
10,1.4147304,1.4298267,"('unsympathetic', 'sympathetic')",1.4147304,1.4298267,0.0150963
11,1.6028866,1.7130623,"('unhelpful', 'helpful')",1.6028866,1.7130623,0.1101757
12,-1.2717208,-1.3149784,"('unsupportive', 'supportive')",-1.2717208,-1.3149784,-0.0432576
13,0.25171882,0.44057167,"('impolite', 'polite')",0.2517188,0.4405717,0.1888529
14,0.6613615,0.6542844,"('antisocial', 'social')",0.6613615,0.6542844,-0.0070771
15,0.60890204,0.5265838,"('boring', 'funny')",0.608902,0.5265838,-0.0823182
16,-0.9131406,-0.9448049,"('unpopular', 'popular')",-0.9131406,-0.9448049,-0.0316643
17,0.1512166,0.117892645,"('nasty', 'nice')",0.1512166,0.1178926,-0.033324
18,-0.52333933,-0.43733615,"('disagreeable', 'welcoming')",-0.5233393,-0.4373361,0.0860032
19,-1.0041372,-0.95901763,"('inhospitable', 'hospitable')",-1.0041372,-0.9590176,0.0451196
20,0.5834296,0.5139836,"('rough', 'thoughtful')",0.5834296,0.5139836,-0.069446
21,0.15362635,0.35576272,"('immoral', 'moral')",0.1536264,0.3557627,0.2021363
22,0.049579907,0.034890804,"('untrustworthy', 'trustworthy')",0.0495799,0.0348908,-0.0146891
23,6.0498524,6.273218,"('insincere', 'sincere')",6.0498524,6.2732182,0.2233658
24,1.2753417,1.2893751,"('dishonest', 'honest')",1.2753417,1.2893751,0.0140334
25,0.4393614,0.4699543,"('egoistic', 'altruistic')",0.4393614,0.4699543,0.0305929
26,1.107685,0.87126577,"('hardhearted', 'benevolent')",1.107685,0.8712658,-0.2364192
27,1.5891345,1.4143319,"('hardhearted', 'softhearted')",1.5891345,1.4143319,-0.1748026
28,1.0406592,0.89577574,"('disloyal', 'loyal')",1.0406592,0.8957757,-0.1448835
29,-0.28258884,-0.45664737,"('unfair', 'fair')",-0.2825888,-0.4566474,-0.1740586
30,1.1409589,1.2295393,"('intolerant', 'tolerant')",1.1409589,1.2295393,0.0885804
31,-1.6194907,-1.737627,"('evil', 'good')",-1.6194907,-1.737627,-0.1181363
32,1.0605221,1.0046997,"('unkind', 'kind')",1.0605221,1.0046997,-0.0558224
33,-0.31522563,-0.39718738,"('wrong', 'right')",-0.3152256,-0.3971874,-0.0819618
34,3.941397,4.2420106,"('mean', 'honorable')",3.941397,4.2420106,0.3006136
35,-1.3567525,-1.6998183,"('corrupt', 'incorrupt')",-1.3567525,-1.6998183,-0.3430658
36,-1.1470993,-1.3421302,"('hostile', 'amicable')",-1.1470993,-1.3421302,-0.1950309
37,1.0816509,1.0262125,"('fake', 'genuine')",1.0816509,1.0262125,-0.0554384
38,-0.58180815,-0.49597606,"('untruthful', 'truthful')",-0.5818081,-0.4959761,0.085832
39,0.51168317,0.5441943,"('exploitative', 'cooperative')",0.5116832,0.5441943,0.0325111
40,-0.9822457,-1.1364741,"('stingy', 'generous')",-0.9822457,-1.1364741,-0.1542284
41,0.7454287,0.5433127,"('unforgiving', 'forgiving')",0.7454287,0.5433127,-0.202116
42,-1.7091693,-1.7363852,"('unreliable', 'reliable')",-1.7091693,-1.7363852,-0.0272159
43,1.1314709,1.2756498,"('irresponsible', 'responsible')",1.1314709,1.2756498,0.1441789
44,-1.18221,-1.1938727,"('prejudiced', 'unprejudiced')",-1.18221,-1.1938727,-0.0116627
45,0.71946037,0.48599496,"('incompetent', 'competent')",0.7194604,0.485995,-0.2334654
46,-0.29612657,-0.3287605,"('uncompetitive', 'competitive')",-0.2961266,-0.3287605,-0.0326339
47,4.521591,4.7321463,"('stupid', 'smart')",4.5215912,4.7321463,0.2105551
48,0.5409815,0.58890736,"('unintelligent', 'intelligent')",0.5409815,0.5889074,0.0479259
49,-0.3942203,-0.28873223,"('unable', 'able')",-0.3942203,-0.2887322,0.1054881
50,-0.65910447,-0.6619496,"('clumsy', 'skillful')",-0.6591045,-0.6619496,-0.0028451
51,0.70346195,0.7586766,"('uneducated', 'educated')",0.7034619,0.7586766,0.0552147
52,-0.44168726,-0.64160293,"('irrational', 'rational')",-0.4416873,-0.6416029,-0.1999156
53,-0.33646062,-0.43403673,"('uncreative', 'creative')",-0.3364606,-0.4340367,-0.0975761
54,0.6289668,0.72647125,"('incapable', 'capable')",0.6289668,0.7264712,0.0975044
55,1.2205449,1.2827898,"('incompetent', 'clever')",1.2205449,1.2827898,0.0622449
56,0.6173482,0.65405947,"('impractical', 'practical')",0.6173482,0.6540595,0.0367113
57,-1.5210013,-1.7553055,"('unimaginative', 'imaginative')",-1.5210013,-1.7553055,-0.2343042
58,0.5049146,0.418032,"('undiscriminating', 'discriminating')",0.5049146,0.418032,-0.0868826
59,-0.1834253,-0.2128171,"('foolish', 'wise')",-0.1834253,-0.2128171,-0.0293918
