,boston_male,boston_female,tuple,scientific_male,scientific_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.23545095,-0.36191234,"('unsociable', 'sociable')",0.07514337,-0.048906602,-0.44533926,-0.52192926,-0.2018823,-0.3109161,-0.1090338
1,0.30321866,0.19577001,"('unfriendly', 'friendly')",0.42538247,0.17750561,1.5014825,1.4079645,0.7433612,0.5937467,-0.1496145
2,0.2663681,0.3944936,"('unlikable', 'likable')",0.45006305,0.4819639,0.7208512,0.7949745,0.4790941,0.557144,0.0780499
3,-0.49539855,-0.384909,"('repellent', 'pleasant')",-0.45500937,-0.4520033,0.9241907,1.0391332,-0.0087391,0.067407,0.0761461
4,-0.16695409,-0.25786215,"('disliked', 'liked')",0.15117411,0.027631193,-6.6378455,-6.765978,-2.2178752,-2.3320696,-0.1141944
5,-0.0958966,-0.1520808,"('distant', 'outgoing')",-0.11614844,-0.18573001,-0.6289409,-0.49717,-0.2803286,-0.2783269,0.0020017
6,-0.15586485,-0.17838229,"('distant', 'open')",-0.48804957,-0.52013236,-0.7391263,-0.6253903,-0.4610136,-0.4413017,0.0197119
7,-0.041952312,0.0360983,"('insensitive', 'sensitive')",-0.5448548,-0.40950465,0.22768998,0.34024534,-0.1197057,-0.0110537,0.108652
8,-0.30288976,-0.397934,"('unaffectionate', 'affectionate')",0.3388876,0.16031662,0.42998117,0.39359567,0.1553263,0.0519928,-0.1033335
9,0.6940582,0.71182656,"('unaffectionate', 'caring')",0.16638824,0.065804355,1.0832723,1.1706718,0.6479063,0.6494342,0.0015279
10,0.5818972,0.5790044,"('unsympathetic', 'sympathetic')",-1.1576293,-1.2154596,-0.5028864,-0.53945076,-0.3595395,-0.3919686,-0.0324291
11,0.080434576,0.16287234,"('unhelpful', 'helpful')",-0.16410527,-0.1364165,1.8806963,1.9743986,0.5990085,0.6669515,0.067943
12,0.5246575,0.6618466,"('unsupportive', 'supportive')",0.2856916,0.33281827,-2.0355008,-1.9742553,-0.4083839,-0.3265302,0.0818537
13,0.50038075,0.55836755,"('impolite', 'polite')",-0.44067895,-0.4655017,-0.93277115,-0.9262053,-0.2910231,-0.2777798,0.0132433
14,-0.09167817,-0.014824857,"('antisocial', 'social')",0.8544613,0.9443784,0.22619852,0.17429817,0.3296606,0.3679506,0.03829
15,-0.28775218,-0.37215492,"('boring', 'funny')",0.7378144,0.66423726,-0.042764693,-0.030464794,0.1357659,0.0872058,-0.0485601
16,-0.4605155,-0.45783845,"('unpopular', 'popular')",0.15073974,0.16770682,0.30201316,0.26349998,-0.0025875,-0.0088772,-0.0062897
17,0.5325755,0.5203104,"('nasty', 'nice')",-0.1816476,-0.14941949,-0.414688,-0.31482446,-0.0212534,0.0186888,0.0399422
18,0.31341705,0.35441703,"('disagreeable', 'welcoming')",0.2545473,0.24251284,-0.6262694,-0.599441,-0.019435,-0.000837,0.018598
19,0.34904853,0.28002027,"('inhospitable', 'hospitable')",-0.21108674,-0.3203365,-0.62649184,-0.5810599,-0.1628433,-0.2071254,-0.0442821
