,conference_male,conference_female,tuple,average_male,average_female,female-male
0,0.8566352,0.7906493,"('unsociable', 'sociable')",0.8566352,0.7906493,-0.0659859
1,1.1157346,1.1912729,"('unfriendly', 'friendly')",1.1157346,1.1912729,0.0755383
2,0.5654774,0.5762827,"('unlikable', 'likable')",0.5654774,0.5762827,0.0108053
3,0.7667568,0.7639303,"('repellent', 'pleasant')",0.7667568,0.7639303,-0.0028265
4,-6.85654,-6.8797913,"('disliked', 'liked')",-6.8565402,-6.8797913,-0.0232511
5,-1.2960925,-1.3088913,"('distant', 'outgoing')",-1.2960925,-1.3088913,-0.0127988
6,-0.576676,-0.5771377,"('distant', 'open')",-0.576676,-0.5771377,-0.0004617
7,1.5134342,1.5556117,"('insensitive', 'sensitive')",1.5134342,1.5556117,0.0421775
8,0.1523683,0.06886864,"('unaffectionate', 'affectionate')",0.1523683,0.0688686,-0.0834997
9,1.2510964,1.2174261,"('unaffectionate', 'caring')",1.2510964,1.2174261,-0.0336703
10,1.0253872,1.0009239,"('unsympathetic', 'sympathetic')",1.0253872,1.0009239,-0.0244633
11,2.0023153,2.0424113,"('unhelpful', 'helpful')",2.0023153,2.0424113,0.040096
12,-1.1768435,-1.1272126,"('unsupportive', 'supportive')",-1.1768435,-1.1272126,0.0496309
13,0.67500794,0.6607922,"('impolite', 'polite')",0.6750079,0.6607922,-0.0142157
14,1.1666272,1.1493534,"('antisocial', 'social')",1.1666272,1.1493534,-0.0172738
15,0.7412616,0.7224913,"('boring', 'funny')",0.7412616,0.7224913,-0.0187703
16,-0.6041864,-0.58491224,"('unpopular', 'popular')",-0.6041864,-0.5849122,0.0192742
17,-0.25875905,-0.2680099,"('nasty', 'nice')",-0.2587591,-0.2680099,-0.0092508
18,0.09469304,0.087026216,"('disagreeable', 'welcoming')",0.094693,0.0870262,-0.0076668
19,-1.2945957,-1.3327141,"('inhospitable', 'hospitable')",-1.2945957,-1.3327141,-0.0381184
20,1.4509264,1.4568155,"('rough', 'thoughtful')",1.4509264,1.4568155,0.0058891
21,0.8273131,0.8528748,"('immoral', 'moral')",0.8273131,0.8528748,0.0255617
22,0.7790595,0.7694502,"('untrustworthy', 'trustworthy')",0.7790595,0.7694502,-0.0096093
23,6.2803926,6.2487793,"('insincere', 'sincere')",6.2803926,6.2487793,-0.0316133
24,1.329493,1.234813,"('dishonest', 'honest')",1.329493,1.234813,-0.09468
25,0.49024028,0.438506,"('egoistic', 'altruistic')",0.4902403,0.438506,-0.0517343
26,1.7459284,1.8192972,"('hardhearted', 'benevolent')",1.7459284,1.8192972,0.0733688
27,1.2113689,1.0988599,"('hardhearted', 'softhearted')",1.2113689,1.0988599,-0.112509
28,0.8316717,0.7722196,"('disloyal', 'loyal')",0.8316717,0.7722196,-0.0594521
29,-0.10476303,-0.10750992,"('unfair', 'fair')",-0.104763,-0.1075099,-0.0027469
30,1.2215312,1.1551279,"('intolerant', 'tolerant')",1.2215312,1.1551279,-0.0664033
31,-1.5455221,-1.4619921,"('evil', 'good')",-1.5455221,-1.4619921,0.08353
32,0.82038915,0.6963127,"('unkind', 'kind')",0.8203892,0.6963127,-0.1240765
33,-0.3864477,-0.44394296,"('wrong', 'right')",-0.3864477,-0.443943,-0.0574953
34,4.737196,4.855413,"('mean', 'honorable')",4.737196,4.855413,0.118217
35,-1.2535752,-1.3967966,"('corrupt', 'incorrupt')",-1.2535752,-1.3967966,-0.1432214
36,-0.87952167,-0.97550005,"('hostile', 'amicable')",-0.8795217,-0.9755,-0.0959783
37,0.2829054,0.23215666,"('fake', 'genuine')",0.2829054,0.2321567,-0.0507487
38,-0.27943742,-0.23259465,"('untruthful', 'truthful')",-0.2794374,-0.2325947,0.0468427
39,1.6973823,1.7199208,"('exploitative', 'cooperative')",1.6973823,1.7199208,0.0225385
40,-1.5453538,-1.5758303,"('stingy', 'generous')",-1.5453538,-1.5758303,-0.0304765
41,0.6813465,0.6614463,"('unforgiving', 'forgiving')",0.6813465,0.6614463,-0.0199002
42,-2.348874,-2.3852415,"('unreliable', 'reliable')",-2.3488741,-2.3852415,-0.0363674
43,1.5024439,1.550401,"('irresponsible', 'responsible')",1.5024439,1.550401,0.0479571
44,-1.3579844,-1.4239672,"('prejudiced', 'unprejudiced')",-1.3579844,-1.4239672,-0.0659828
45,0.7105803,0.66421837,"('incompetent', 'competent')",0.7105803,0.6642184,-0.0463619
46,-0.014349986,-0.033514496,"('uncompetitive', 'competitive')",-0.01435,-0.0335145,-0.0191645
47,5.1993837,5.2550426,"('stupid', 'smart')",5.1993837,5.2550426,0.0556589
48,1.2435662,1.2610612,"('unintelligent', 'intelligent')",1.2435662,1.2610612,0.017495
49,0.68000156,0.64748406,"('unable', 'able')",0.6800016,0.6474841,-0.0325175
50,-0.8084073,-0.8964311,"('clumsy', 'skillful')",-0.8084073,-0.8964311,-0.0880238
51,0.66816914,0.5840127,"('uneducated', 'educated')",0.6681691,0.5840127,-0.0841564
52,-0.29109392,-0.3111389,"('irrational', 'rational')",-0.2910939,-0.3111389,-0.020045
53,0.16485476,0.1642799,"('uncreative', 'creative')",0.1648548,0.1642799,-0.0005749
54,1.330698,1.3721579,"('incapable', 'capable')",1.330698,1.3721579,0.0414599
55,1.3937616,1.3735703,"('incompetent', 'clever')",1.3937616,1.3735703,-0.0201913
56,1.3169565,1.2762156,"('impractical', 'practical')",1.3169565,1.2762156,-0.0407409
57,-1.9470918,-1.8773092,"('unimaginative', 'imaginative')",-1.9470918,-1.8773092,0.0697826
58,0.6083782,0.6512923,"('undiscriminating', 'discriminating')",0.6083782,0.6512923,0.0429141
59,-0.12694158,-0.15752964,"('foolish', 'wise')",-0.1269416,-0.1575296,-0.030588
60,1.1492443,1.1766777,"('inefficient', 'efficient')",1.1492443,1.1766777,0.0274334
61,1.3073496,1.1844977,"('illogical', 'logical')",1.3073496,1.1844977,-0.1228519
62,1.0953423,1.1548789,"('incompetent', 'brilliant')",1.0953423,1.1548789,0.0595366
63,1.421727,1.5421143,"('unperceptive', 'insightful')",1.4217269,1.5421143,0.1203874
64,-5.096188,-5.10178,"('shy', 'confident')",-5.0961881,-5.1017799,-0.0055918
65,1.193496,1.1962507,"('insecure', 'secure')",1.193496,1.1962507,0.0027547
66,0.1504496,0.13746575,"('inactive', 'active')",0.1504496,0.1374657,-0.0129839
67,0.11367634,0.105620414,"('doubtful', 'determined')",0.1136763,0.1056204,-0.0080559
68,-0.174167,-0.19077449,"('dependent', 'independent')",-0.174167,-0.1907745,-0.0166075
69,-1.7391666,-1.6883398,"('lazy', 'industrious')",-1.7391666,-1.6883398,0.0508268
70,1.3991414,1.2976648,"('lethargic', 'energetic')",1.3991414,1.2976648,-0.1014766
71,0.53096527,0.5162032,"('diffident', 'self-confident')",0.5309653,0.5162032,-0.0147621
72,0.54982764,0.5646106,"('unambitious', 'ambitious')",0.5498276,0.5646106,0.014783
73,-3.4113946,-3.396055,"('helpless', 'self-reliant')",-3.4113946,-3.396055,0.0153396
74,0.39586884,0.30451807,"('undedicated', 'dedicated')",0.3958688,0.3045181,-0.0913507
75,-1.0353395,-0.98181725,"('meek', 'impulsive')",-1.0353395,-0.9818172,0.0535223
76,0.5984286,0.5499676,"('anxious', 'daring')",0.5984286,0.5499676,-0.048461
77,-0.78247815,-0.6367732,"('unmotivated', 'motivated')",-0.7824782,-0.6367732,0.145705
78,-0.3754461,-0.27330977,"('nonresilient', 'resilient')",-0.3754461,-0.2733098,0.1021363
79,-0.9850286,-1.0675436,"('wavering', 'unwavering')",-0.9850286,-1.0675436,-0.082515
80,0.50233126,0.5575957,"('dominated', 'dominating')",0.5023313,0.5575957,0.0552644
81,0.87340117,0.96293676,"('submissive', 'aggressive')",0.8734012,0.9629368,0.0895356
82,5.295173,5.2808867,"('poor', 'rich')",5.2951732,5.2808867,-0.0142865
83,0.011663415,-0.047680426,"('powerless', 'powerful')",0.0116634,-0.0476804,-0.0593438
84,0.562631,0.50616324,"('inferior', 'superior')",0.562631,0.5061632,-0.0564678
85,-0.36791545,-0.38080668,"('insignificant', 'prestigious')",-0.3679155,-0.3808067,-0.0128912
86,1.11274,1.0304,"('uninfluential', 'influential')",1.11274,1.0304,-0.08234
87,0.47115582,0.48471588,"('unsuccessful', 'successful')",0.4711558,0.4847159,0.0135601
88,0.8831238,0.79423267,"('low', 'eminent')",0.8831238,0.7942327,-0.0888911
