,spinach_male,spinach_female,tuple,average_male,average_female,female-male
0,0.52737504,0.33640352,"('unsociable', 'sociable')",0.527375,0.3364035,-0.1909715
1,0.031418104,-0.09991004,"('unfriendly', 'friendly')",0.0314181,-0.09991,-0.1313281
2,0.58131534,0.63107365,"('unlikable', 'likable')",0.5813153,0.6310737,0.0497584
3,-0.3543785,-0.44154406,"('repellent', 'pleasant')",-0.3543785,-0.4415441,-0.0871656
4,-2.7304106,-2.6192873,"('disliked', 'liked')",-2.7304106,-2.6192873,0.1111233
5,-0.83770293,-0.8001393,"('distant', 'outgoing')",-0.8377029,-0.8001393,0.0375636
6,-0.9170642,-0.90518874,"('distant', 'open')",-0.9170642,-0.9051887,0.0118755
7,0.02696904,-0.018999185,"('insensitive', 'sensitive')",0.026969,-0.0189992,-0.0459682
8,0.20125312,0.12995847,"('unaffectionate', 'affectionate')",0.2012531,0.1299585,-0.0712946
9,0.52641034,0.41910964,"('unaffectionate', 'caring')",0.5264103,0.4191096,-0.1073007
10,0.2649055,0.15492441,"('unsympathetic', 'sympathetic')",0.2649055,0.1549244,-0.1099811
11,1.0948155,1.0918565,"('unhelpful', 'helpful')",1.0948155,1.0918565,-0.002959
12,-0.69149303,-0.6037857,"('unsupportive', 'supportive')",-0.691493,-0.6037857,0.0877073
13,0.2827851,0.27195248,"('impolite', 'polite')",0.2827851,0.2719525,-0.0108326
14,0.75102496,0.6097728,"('antisocial', 'social')",0.751025,0.6097728,-0.1412522
15,0.42321053,0.41325623,"('boring', 'funny')",0.4232105,0.4132562,-0.0099543
16,-0.35800344,-0.36019057,"('unpopular', 'popular')",-0.3580034,-0.3601906,-0.0021872
17,-0.5511365,-0.38886648,"('nasty', 'nice')",-0.5511365,-0.3888665,0.16227
18,-0.70705366,-0.7134772,"('disagreeable', 'welcoming')",-0.7070537,-0.7134772,-0.0064235
19,-1.1355883,-1.1044344,"('inhospitable', 'hospitable')",-1.1355883,-1.1044344,0.0311539
20,0.52373916,0.44736347,"('rough', 'thoughtful')",0.5237392,0.4473635,-0.0763757
21,0.6780423,0.68948644,"('immoral', 'moral')",0.6780423,0.6894864,0.0114441
22,0.12665758,0.13775948,"('untrustworthy', 'trustworthy')",0.1266576,0.1377595,0.0111019
23,2.6835938,2.4833813,"('insincere', 'sincere')",2.6835938,2.4833813,-0.2002125
24,0.7524705,0.62950414,"('dishonest', 'honest')",0.7524705,0.6295041,-0.1229664
25,0.2635502,0.18726352,"('egoistic', 'altruistic')",0.2635502,0.1872635,-0.0762867
26,0.7705554,0.6570713,"('hardhearted', 'benevolent')",0.7705554,0.6570713,-0.1134841
