,ambassador_male,ambassador_female,tuple,average_male,average_female,female-male
0,0.35532022,0.22579461,"('unsociable', 'sociable')",0.3553202,0.2257946,-0.1295256
1,1.0385042,1.1464494,"('unfriendly', 'friendly')",1.0385042,1.1464494,0.1079452
2,0.12785605,0.120735675,"('unlikable', 'likable')",0.127856,0.1207357,-0.0071203
3,0.5745807,0.59022737,"('repellent', 'pleasant')",0.5745807,0.5902274,0.0156467
4,-7.7379117,-7.826745,"('disliked', 'liked')",-7.7379117,-7.826745,-0.0888333
5,-0.99201345,-0.9098051,"('distant', 'outgoing')",-0.9920135,-0.9098051,0.0822084
6,-0.7101415,-0.5774582,"('distant', 'open')",-0.7101415,-0.5774582,0.1326833
7,1.5789896,1.6683161,"('insensitive', 'sensitive')",1.5789896,1.6683161,0.0893265
8,1.0237944,1.0749074,"('unaffectionate', 'affectionate')",1.0237944,1.0749074,0.051113
9,2.055646,2.2073495,"('unaffectionate', 'caring')",2.0556459,2.2073495,0.1517036
10,1.3110499,1.3291416,"('unsympathetic', 'sympathetic')",1.3110499,1.3291416,0.0180917
11,2.6374152,2.7450445,"('unhelpful', 'helpful')",2.6374152,2.7450445,0.1076293
12,-0.8944109,-0.84412295,"('unsupportive', 'supportive')",-0.8944109,-0.8441229,0.050288
13,0.28291914,0.17892435,"('impolite', 'polite')",0.2829191,0.1789244,-0.1039947
14,0.33415645,0.19790459,"('antisocial', 'social')",0.3341565,0.1979046,-0.1362519
15,0.12009862,0.046483204,"('boring', 'funny')",0.1200986,0.0464832,-0.0736154
16,-0.8056955,-0.76614577,"('unpopular', 'popular')",-0.8056955,-0.7661458,0.0395497
17,-0.23606819,-0.20955434,"('nasty', 'nice')",-0.2360682,-0.2095543,0.0265139
18,-0.21566859,-0.21274161,"('disagreeable', 'welcoming')",-0.2156686,-0.2127416,0.002927
19,-0.56417096,-0.44894624,"('inhospitable', 'hospitable')",-0.564171,-0.4489462,0.1152248
