,thief_male,thief_female,tuple,average_male,average_female,female-male
0,0.2417315,0.28063336,"('unsociable', 'sociable')",0.2417315,0.2806334,0.0389019
1,1.471968,1.498365,"('unfriendly', 'friendly')",1.4719681,1.498365,0.0263969
2,0.17776126,0.34099552,"('unlikable', 'likable')",0.1777613,0.3409955,0.1632342
3,1.1928407,1.2827276,"('repellent', 'pleasant')",1.1928407,1.2827276,0.0898869
4,-7.042725,-7.0213275,"('disliked', 'liked')",-7.0427251,-7.0213275,0.0213976
5,-0.20290254,-0.016971406,"('distant', 'outgoing')",-0.2029025,-0.0169714,0.1859311
6,0.059535004,0.1985479,"('distant', 'open')",0.059535,0.1985479,0.1390129
7,1.5151592,1.6361378,"('insensitive', 'sensitive')",1.5151592,1.6361378,0.1209786
8,1.1938716,1.1794112,"('unaffectionate', 'affectionate')",1.1938716,1.1794112,-0.0144604
9,1.7218732,1.8809887,"('unaffectionate', 'caring')",1.7218732,1.8809887,0.1591155
10,1.3719236,1.4907614,"('unsympathetic', 'sympathetic')",1.3719236,1.4907614,0.1188378
11,2.1010435,2.237301,"('unhelpful', 'helpful')",2.1010435,2.2373011,0.1362576
12,-1.1296868,-0.87903523,"('unsupportive', 'supportive')",-1.1296868,-0.8790352,0.2506516
13,0.23701188,0.20841831,"('impolite', 'polite')",0.2370119,0.2084183,-0.0285936
14,0.012858238,-0.0076896995,"('antisocial', 'social')",0.0128582,-0.0076897,-0.0205479
15,0.42322725,0.39123616,"('boring', 'funny')",0.4232273,0.3912362,-0.0319911
16,-0.6093158,-0.4967479,"('unpopular', 'popular')",-0.6093158,-0.4967479,0.1125679
17,-0.2681107,-0.25530267,"('nasty', 'nice')",-0.2681107,-0.2553027,0.012808
18,-0.3197491,-0.26549053,"('disagreeable', 'welcoming')",-0.3197491,-0.2654905,0.0542586
19,-0.44628155,-0.17825022,"('inhospitable', 'hospitable')",-0.4462816,-0.1782502,0.2680314
20,0.3140862,0.20354752,"('rough', 'thoughtful')",0.3140862,0.2035475,-0.1105387
21,0.15364623,0.389955,"('immoral', 'moral')",0.1536462,0.389955,0.2363088
22,-0.24394682,-0.10107979,"('untrustworthy', 'trustworthy')",-0.2439468,-0.1010798,0.142867
23,6.7956605,6.9474216,"('insincere', 'sincere')",6.7956605,6.9474216,0.1517611
24,1.8558207,2.0444193,"('dishonest', 'honest')",1.8558207,2.0444193,0.1885986
25,0.70711565,0.579709,"('egoistic', 'altruistic')",0.7071157,0.579709,-0.1274067
26,0.37310857,0.1463592,"('hardhearted', 'benevolent')",0.3731086,0.1463592,-0.2267494
27,1.9304619,1.7096843,"('hardhearted', 'softhearted')",1.9304619,1.7096843,-0.2207776
