,tummy_male,tummy_female,tuple,average_male,average_female,female-male
0,0.009067008,-0.17754844,"('unsociable', 'sociable')",0.009067,-0.1775484,-0.1866154
1,-0.06520429,-0.30380768,"('unfriendly', 'friendly')",-0.0652043,-0.3038077,-0.2386034
2,-0.67661,-0.73584485,"('unlikable', 'likable')",-0.67661,-0.7358449,-0.0592349
3,-1.8395233,-1.77332,"('repellent', 'pleasant')",-1.8395233,-1.77332,0.0662033
4,-2.5633976,-2.2870696,"('disliked', 'liked')",-2.5633976,-2.2870696,0.276328
5,-0.52957857,-0.5918168,"('distant', 'outgoing')",-0.5295786,-0.5918168,-0.0622382
6,-0.66343385,-0.732329,"('distant', 'open')",-0.6634338,-0.732329,-0.0688952
7,-0.43587244,-0.47726527,"('insensitive', 'sensitive')",-0.4358724,-0.4772653,-0.0413929
8,-0.2067379,-0.3315573,"('unaffectionate', 'affectionate')",-0.2067379,-0.3315573,-0.1248194
9,-0.3680037,-0.5266843,"('unaffectionate', 'caring')",-0.3680037,-0.5266843,-0.1586806
10,-0.9738778,-0.9957769,"('unsympathetic', 'sympathetic')",-0.9738778,-0.9957769,-0.0218991
11,0.39722311,0.31302285,"('unhelpful', 'helpful')",0.3972231,0.3130229,-0.0842002
12,-1.1197184,-1.0336801,"('unsupportive', 'supportive')",-1.1197184,-1.0336801,0.0860383
13,-0.1872316,-0.29014722,"('impolite', 'polite')",-0.1872316,-0.2901472,-0.1029156
14,-0.48065066,-0.5935492,"('antisocial', 'social')",-0.4806507,-0.5935492,-0.1128985
15,1.1670008,1.0543182,"('boring', 'funny')",1.1670008,1.0543182,-0.1126826
16,-0.73242635,-0.702922,"('unpopular', 'popular')",-0.7324263,-0.702922,0.0295043
17,-0.3161707,-0.2538361,"('nasty', 'nice')",-0.3161707,-0.2538361,0.0623346
18,-0.6419676,-0.69928336,"('disagreeable', 'welcoming')",-0.6419676,-0.6992834,-0.0573158
19,-0.41071066,-0.36964148,"('inhospitable', 'hospitable')",-0.4107107,-0.3696415,0.0410692
20,-0.055424977,-0.14321256,"('rough', 'thoughtful')",-0.055425,-0.1432126,-0.0877876
21,-0.59139663,-0.5282136,"('immoral', 'moral')",-0.5913966,-0.5282136,0.063183
22,0.016678449,-0.10458311,"('untrustworthy', 'trustworthy')",0.0166784,-0.1045831,-0.1212615
23,1.6835302,1.3612603,"('insincere', 'sincere')",1.6835302,1.3612603,-0.3222699
24,0.11834797,-0.06911585,"('dishonest', 'honest')",0.118348,-0.0691158,-0.1874638
25,-0.77067596,-0.9609818,"('egoistic', 'altruistic')",-0.770676,-0.9609818,-0.1903058
26,0.49209288,0.24432947,"('hardhearted', 'benevolent')",0.4920929,0.2443295,-0.2477634
27,0.630804,0.34778836,"('hardhearted', 'softhearted')",0.630804,0.3477884,-0.2830156
28,0.04508231,-0.1506047,"('disloyal', 'loyal')",0.0450823,-0.1506047,-0.195687
29,-0.17546083,-0.230573,"('unfair', 'fair')",-0.1754608,-0.230573,-0.0551122
30,0.28116155,0.16151287,"('intolerant', 'tolerant')",0.2811615,0.1615129,-0.1196486
31,-0.674848,-0.566897,"('evil', 'good')",-0.674848,-0.566897,0.107951
32,0.47847897,0.26476467,"('unkind', 'kind')",0.478479,0.2647647,-0.2137143
33,-0.01649971,-0.103120066,"('wrong', 'right')",-0.0164997,-0.1031201,-0.0866204
34,1.8043427,1.8587183,"('mean', 'honorable')",1.8043427,1.8587183,0.0543756
35,0.4006768,0.33493724,"('corrupt', 'incorrupt')",0.4006768,0.3349372,-0.0657396
36,-0.91347843,-0.8922722,"('hostile', 'amicable')",-0.9134784,-0.8922722,0.0212062
37,-0.09514752,-0.17701325,"('fake', 'genuine')",-0.0951475,-0.1770132,-0.0818657
38,0.15061677,0.2187075,"('untruthful', 'truthful')",0.1506168,0.2187075,0.0680907
39,0.15654588,0.1458093,"('exploitative', 'cooperative')",0.1565459,0.1458093,-0.0107366
40,-2.1390595,-2.1452234,"('stingy', 'generous')",-2.1390595,-2.1452234,-0.0061639
41,-0.091383815,-0.1595601,"('unforgiving', 'forgiving')",-0.0913838,-0.1595601,-0.0681763
42,-1.489713,-1.358756,"('unreliable', 'reliable')",-1.489713,-1.3587559,0.1309571
43,0.01787769,-0.04066716,"('irresponsible', 'responsible')",0.0178777,-0.0406672,-0.0585449
44,-0.33510667,-0.25131875,"('prejudiced', 'unprejudiced')",-0.3351067,-0.2513188,0.0837879
45,-0.097413,-0.13289386,"('incompetent', 'competent')",-0.097413,-0.1328939,-0.0354809
46,-1.060416,-1.0435771,"('uncompetitive', 'competitive')",-1.060416,-1.0435771,0.0168389
47,2.2661035,2.074776,"('stupid', 'smart')",2.2661035,2.0747759,-0.1913276
48,0.059386104,0.076493874,"('unintelligent', 'intelligent')",0.0593861,0.0764939,0.0171078
49,0.023156755,0.13950321,"('unable', 'able')",0.0231568,0.1395032,0.1163464
50,-0.20188043,-0.21328971,"('clumsy', 'skillful')",-0.2018804,-0.2132897,-0.0114093
51,-0.5047335,-0.57899,"('uneducated', 'educated')",-0.5047335,-0.57899,-0.0742565
52,-1.3516266,-1.5299065,"('irrational', 'rational')",-1.3516266,-1.5299065,-0.1782799
53,-1.6061767,-1.8126553,"('uncreative', 'creative')",-1.6061767,-1.8126553,-0.2064786
54,-0.44317406,-0.6052721,"('incapable', 'capable')",-0.4431741,-0.6052721,-0.162098
55,0.30341876,0.24932668,"('incompetent', 'clever')",0.3034188,0.2493267,-0.0540921
56,0.9266022,0.8948961,"('impractical', 'practical')",0.9266022,0.8948961,-0.0317061
57,-2.1209173,-2.0926151,"('unimaginative', 'imaginative')",-2.1209173,-2.0926151,0.0283022
58,-0.49199775,-0.50780493,"('undiscriminating', 'discriminating')",-0.4919977,-0.5078049,-0.0158072
59,-0.3205971,-0.3887631,"('foolish', 'wise')",-0.3205971,-0.3887631,-0.068166
60,0.46376276,0.44158924,"('inefficient', 'efficient')",0.4637628,0.4415892,-0.0221736
61,-0.39754537,-0.5802127,"('illogical', 'logical')",-0.3975454,-0.5802127,-0.1826673
62,0.0060896548,-0.018487502,"('incompetent', 'brilliant')",0.0060897,-0.0184875,-0.0245772
63,-0.034695126,-0.028681275,"('unperceptive', 'insightful')",-0.0346951,-0.0286813,0.0060138
64,-3.2744095,-3.0379493,"('shy', 'confident')",-3.2744095,-3.0379493,0.2364602
65,-0.5928552,-0.71798486,"('insecure', 'secure')",-0.5928552,-0.7179849,-0.1251297
66,-1.1452317,-1.2084239,"('inactive', 'active')",-1.1452317,-1.2084239,-0.0631922
67,-0.039190017,-0.013441276,"('doubtful', 'determined')",-0.03919,-0.0134413,0.0257487
68,-0.31636626,-0.29479182,"('dependent', 'independent')",-0.3163663,-0.2947918,0.0215745
69,-0.89548874,-0.82625675,"('lazy', 'industrious')",-0.8954887,-0.8262568,0.0692319
70,-0.5481441,-0.67239636,"('lethargic', 'energetic')",-0.5481441,-0.6723964,-0.1242523
71,0.52954924,0.5111352,"('diffident', 'self-confident')",0.5295492,0.5111352,-0.018414
72,-0.60358286,-0.6367191,"('unambitious', 'ambitious')",-0.6035829,-0.6367191,-0.0331362
73,-1.121986,-0.9177767,"('helpless', 'self-reliant')",-1.121986,-0.9177767,0.2042093
74,0.35183263,0.23995508,"('undedicated', 'dedicated')",0.3518326,0.2399551,-0.1118775
75,-0.14143184,0.03143339,"('meek', 'impulsive')",-0.1414318,0.0314334,0.1728652
