,sportsman_male,sportsman_female,tuple,average_male,average_female,female-male
0,0.35895872,0.37843677,"('unsociable', 'sociable')",0.3589587,0.3784368,0.0194781
1,1.3789381,1.4133272,"('unfriendly', 'friendly')",1.3789381,1.4133272,0.0343891
2,0.13710241,0.29800987,"('unlikable', 'likable')",0.1371024,0.2980099,0.1609075
3,1.0680623,1.1638006,"('repellent', 'pleasant')",1.0680623,1.1638006,0.0957383
4,-6.880426,-6.882729,"('disliked', 'liked')",-6.8804259,-6.8827291,-0.0023032
5,-0.42000255,-0.16489781,"('distant', 'outgoing')",-0.4200025,-0.1648978,0.2551047
6,-0.16823262,0.02913927,"('distant', 'open')",-0.1682326,0.0291393,0.1973719
7,1.3295289,1.5082068,"('insensitive', 'sensitive')",1.3295289,1.5082068,0.1786779
8,0.89658445,0.8740502,"('unaffectionate', 'affectionate')",0.8965845,0.8740502,-0.0225343
9,1.3000065,1.5219865,"('unaffectionate', 'caring')",1.3000065,1.5219865,0.22198
10,1.3187082,1.4270091,"('unsympathetic', 'sympathetic')",1.3187082,1.4270091,0.1083009
11,2.0222135,2.1996007,"('unhelpful', 'helpful')",2.0222135,2.1996007,0.1773872
12,-1.2898852,-0.9665392,"('unsupportive', 'supportive')",-1.2898852,-0.9665392,0.323346
13,0.26624373,0.28257114,"('impolite', 'polite')",0.2662437,0.2825711,0.0163274
14,0.16583839,0.16756468,"('antisocial', 'social')",0.1658384,0.1675647,0.0017263
15,0.64137393,0.5607972,"('boring', 'funny')",0.6413739,0.5607972,-0.0805767
16,-0.5454981,-0.5205506,"('unpopular', 'popular')",-0.5454981,-0.5205506,0.0249475
17,-0.2443275,-0.2840047,"('nasty', 'nice')",-0.2443275,-0.2840047,-0.0396772
18,-0.23252398,-0.12927082,"('disagreeable', 'welcoming')",-0.232524,-0.1292708,0.1032532
19,-0.533133,-0.30021006,"('inhospitable', 'hospitable')",-0.533133,-0.3002101,0.2329229
20,0.5445555,0.3329201,"('rough', 'thoughtful')",0.5445555,0.3329201,-0.2116354
21,0.20768653,0.48684067,"('immoral', 'moral')",0.2076865,0.4868407,0.2791542
22,-0.06140758,0.10408266,"('untrustworthy', 'trustworthy')",-0.0614076,0.1040827,0.1654903
23,6.566858,6.7705774,"('insincere', 'sincere')",6.5668578,6.7705774,0.2037196
24,1.7251025,2.016079,"('dishonest', 'honest')",1.7251025,2.0160789,0.2909764
25,0.97020835,0.82981706,"('egoistic', 'altruistic')",0.9702083,0.8298171,-0.1403912
26,0.5701984,0.27454558,"('hardhearted', 'benevolent')",0.5701984,0.2745456,-0.2956528
27,1.667648,1.4553887,"('hardhearted', 'softhearted')",1.667648,1.4553887,-0.2122593
28,1.1502652,1.1751077,"('disloyal', 'loyal')",1.1502652,1.1751077,0.0248425
29,-0.8185444,-0.89058167,"('unfair', 'fair')",-0.8185444,-0.8905817,-0.0720373
30,1.0202228,1.0739889,"('intolerant', 'tolerant')",1.0202228,1.0739889,0.0537661
31,-1.2899421,-1.3959665,"('evil', 'good')",-1.2899421,-1.3959665,-0.1060244
32,1.3033354,1.3019868,"('unkind', 'kind')",1.3033354,1.3019868,-0.0013486
33,-0.4137478,-0.27488142,"('wrong', 'right')",-0.4137478,-0.2748814,0.1388664
34,4.5523357,4.815712,"('mean', 'honorable')",4.5523357,4.815712,0.2633763
35,-1.3316687,-1.487906,"('corrupt', 'incorrupt')",-1.3316687,-1.487906,-0.1562373
36,-1.1182579,-1.3788106,"('hostile', 'amicable')",-1.1182579,-1.3788106,-0.2605527
37,1.339097,1.1625372,"('fake', 'genuine')",1.339097,1.1625372,-0.1765598
38,0.06324053,0.19661844,"('untruthful', 'truthful')",0.0632405,0.1966184,0.1333779
39,0.26505503,0.2738717,"('exploitative', 'cooperative')",0.265055,0.2738717,0.0088167
40,-0.7642262,-0.70544475,"('stingy', 'generous')",-0.7642262,-0.7054448,0.0587814
41,0.012964804,-0.15003306,"('unforgiving', 'forgiving')",0.0129648,-0.1500331,-0.1629979
42,-2.019322,-1.7977796,"('unreliable', 'reliable')",-2.0193219,-1.7977796,0.2215423
43,1.0784539,1.2443161,"('irresponsible', 'responsible')",1.0784539,1.2443161,0.1658622
44,-1.4497454,-1.7188045,"('prejudiced', 'unprejudiced')",-1.4497454,-1.7188045,-0.2690591
45,0.4670543,0.5038456,"('incompetent', 'competent')",0.4670543,0.5038456,0.0367913
46,-0.41934013,-0.28851667,"('uncompetitive', 'competitive')",-0.4193401,-0.2885167,0.1308234
47,4.521243,4.679652,"('stupid', 'smart')",4.5212431,4.6796522,0.1584091
48,0.66265726,0.64199704,"('unintelligent', 'intelligent')",0.6626573,0.641997,-0.0206603
49,0.22767368,0.3638096,"('unable', 'able')",0.2276737,0.3638096,0.1361359
50,-0.0151431225,-0.054257844,"('clumsy', 'skillful')",-0.0151431,-0.0542578,-0.0391147
51,1.2429615,1.2523276,"('uneducated', 'educated')",1.2429615,1.2523276,0.0093661
52,-0.31903592,-0.44981992,"('irrational', 'rational')",-0.3190359,-0.4498199,-0.130784
53,-0.10918549,-0.15607698,"('uncreative', 'creative')",-0.1091855,-0.156077,-0.0468915
54,0.89753187,1.2874812,"('incapable', 'capable')",0.8975319,1.2874812,0.3899493
55,1.3333408,1.49762,"('incompetent', 'clever')",1.3333408,1.49762,0.1642792
56,0.5819454,0.9299709,"('impractical', 'practical')",0.5819454,0.9299709,0.3480255
57,-2.0315752,-1.9904572,"('unimaginative', 'imaginative')",-2.0315752,-1.9904572,0.041118
58,0.24430212,0.18754691,"('undiscriminating', 'discriminating')",0.2443021,0.1875469,-0.0567552
59,-0.1326686,-0.06563862,"('foolish', 'wise')",-0.1326686,-0.0656386,0.06703
60,0.633302,0.8519328,"('inefficient', 'efficient')",0.633302,0.8519328,0.2186308
61,0.13221075,0.114251435,"('illogical', 'logical')",0.1322107,0.1142514,-0.0179593
62,1.1411521,1.6799331,"('incompetent', 'brilliant')",1.1411521,1.6799331,0.538781
63,0.5765809,0.91207844,"('unperceptive', 'insightful')",0.5765809,0.9120784,0.3354975
64,-5.9530244,-5.5930204,"('shy', 'confident')",-5.9530244,-5.5930204,0.360004
65,0.70889854,0.95663184,"('insecure', 'secure')",0.7088985,0.9566318,0.2477333
66,-0.39165682,-0.51471114,"('inactive', 'active')",-0.3916568,-0.5147111,-0.1230543
67,-0.8469086,-0.992363,"('doubtful', 'determined')",-0.8469086,-0.992363,-0.1454544
68,-0.4440532,-0.3568467,"('dependent', 'independent')",-0.4440532,-0.3568467,0.0872065
69,-2.1072958,-2.1285906,"('lazy', 'industrious')",-2.1072958,-2.1285906,-0.0212948
70,1.6582981,1.823729,"('lethargic', 'energetic')",1.6582981,1.823729,0.1654309
71,0.08304351,0.3987793,"('diffident', 'self-confident')",0.0830435,0.3987793,0.3157358
72,0.94523007,1.2982576,"('unambitious', 'ambitious')",0.9452301,1.2982576,0.3530275
73,-2.4480433,-2.2285743,"('helpless', 'self-reliant')",-2.4480433,-2.2285743,0.219469
74,0.46388197,0.3153629,"('undedicated', 'dedicated')",0.463882,0.3153629,-0.1485191
75,-1.017694,-0.9291647,"('meek', 'impulsive')",-1.017694,-0.9291647,0.0885293
76,0.740367,0.6373968,"('anxious', 'daring')",0.740367,0.6373968,-0.1029702
77,-1.4582984,-1.2249471,"('unmotivated', 'motivated')",-1.4582984,-1.2249471,0.2333513
78,-0.81517166,-0.6738655,"('nonresilient', 'resilient')",-0.8151717,-0.6738655,0.1413062
79,-0.11389781,-0.19595806,"('wavering', 'unwavering')",-0.1138978,-0.1959581,-0.0820603
80,0.19215538,0.25617713,"('dominated', 'dominating')",0.1921554,0.2561771,0.0640217
81,0.12446943,0.29865977,"('submissive', 'aggressive')",0.1244694,0.2986598,0.1741904
82,6.175227,6.330502,"('poor', 'rich')",6.1752272,6.330502,0.1552748
83,-0.4631326,-0.28648552,"('powerless', 'powerful')",-0.4631326,-0.2864855,0.1766471
84,0.101923384,0.068499595,"('inferior', 'superior')",0.1019234,0.0684996,-0.0334238
85,-1.0892943,-1.4420236,"('insignificant', 'prestigious')",-1.0892943,-1.4420236,-0.3527293
86,0.9652756,1.0257286,"('uninfluential', 'influential')",0.9652756,1.0257286,0.060453
87,0.41039616,0.6122248,"('unsuccessful', 'successful')",0.4103962,0.6122248,0.2018286
88,0.24460511,0.28563344,"('low', 'eminent')",0.2446051,0.2856334,0.0410283
