,purse_male,purse_female,tuple,average_male,average_female,female-male
0,-0.76341045,-0.77254504,"('unsociable', 'sociable')",-0.7634104,-0.772545,-0.0091346
1,2.0135872,1.8649222,"('unfriendly', 'friendly')",2.0135872,1.8649222,-0.148665
2,0.5657207,0.7776823,"('unlikable', 'likable')",0.5657207,0.7776823,0.2119616
3,-0.5013881,-0.4788442,"('repellent', 'pleasant')",-0.5013881,-0.4788442,0.0225439
4,-7.2470293,-7.0977383,"('disliked', 'liked')",-7.2470293,-7.0977383,0.149291
5,0.2528737,0.12168601,"('distant', 'outgoing')",0.2528737,0.121686,-0.1311877
6,0.9069668,0.69010806,"('distant', 'open')",0.9069668,0.6901081,-0.2168587
7,0.7278175,0.8631089,"('insensitive', 'sensitive')",0.7278175,0.8631089,0.1352914
8,2.2824054,1.9588431,"('unaffectionate', 'affectionate')",2.2824054,1.9588431,-0.3235623
9,2.3119724,2.236002,"('unaffectionate', 'caring')",2.3119724,2.236002,-0.0759704
10,-0.18808903,-0.15809411,"('unsympathetic', 'sympathetic')",-0.188089,-0.1580941,0.0299949
11,1.4253244,1.5533665,"('unhelpful', 'helpful')",1.4253244,1.5533665,0.1280421
12,-1.8685205,-1.6611023,"('unsupportive', 'supportive')",-1.8685205,-1.6611023,0.2074182
13,-0.7663067,-0.63191324,"('impolite', 'polite')",-0.7663067,-0.6319132,0.1343935
14,-0.7501832,-0.63148016,"('antisocial', 'social')",-0.7501832,-0.6314802,0.118703
15,0.6706266,0.5545277,"('boring', 'funny')",0.6706266,0.5545277,-0.1160989
16,-0.22008671,-0.24497521,"('unpopular', 'popular')",-0.2200867,-0.2449752,-0.0248885
17,0.27914035,0.22715002,"('nasty', 'nice')",0.2791404,0.22715,-0.0519904
18,-0.5071822,-0.46336243,"('disagreeable', 'welcoming')",-0.5071822,-0.4633624,0.0438198
19,0.3401456,0.2924251,"('inhospitable', 'hospitable')",0.3401456,0.2924251,-0.0477205
20,0.7025766,0.5910075,"('rough', 'thoughtful')",0.7025766,0.5910075,-0.1115691
21,-1.168847,-0.7904376,"('immoral', 'moral')",-1.168847,-0.7904376,0.3784094
22,-0.9699223,-0.7863327,"('untrustworthy', 'trustworthy')",-0.9699223,-0.7863327,0.1835896
23,6.1877384,6.206858,"('insincere', 'sincere')",6.1877384,6.2068582,0.0191198
24,1.483284,1.4461752,"('dishonest', 'honest')",1.483284,1.4461752,-0.0371088
25,1.1561941,0.9763918,"('egoistic', 'altruistic')",1.1561941,0.9763918,-0.1798023
26,1.966419,1.7447778,"('hardhearted', 'benevolent')",1.966419,1.7447778,-0.2216412
27,1.7923868,1.347733,"('hardhearted', 'softhearted')",1.7923868,1.347733,-0.4446538
28,1.6317849,1.5006961,"('disloyal', 'loyal')",1.6317849,1.5006961,-0.1310888
29,-0.4501359,-0.63504595,"('unfair', 'fair')",-0.4501359,-0.6350459,-0.18491
30,0.32569316,0.54948175,"('intolerant', 'tolerant')",0.3256932,0.5494817,0.2237885
31,-0.21995167,-0.51183057,"('evil', 'good')",-0.2199517,-0.5118306,-0.2918789
32,1.4676462,1.3971145,"('unkind', 'kind')",1.4676462,1.3971145,-0.0705317
33,0.18830694,0.2997515,"('wrong', 'right')",0.1883069,0.2997515,0.1114446
34,4.6697984,4.6351542,"('mean', 'honorable')",4.6697984,4.6351542,-0.0346442
35,0.48737425,0.038877323,"('corrupt', 'incorrupt')",0.4873742,0.0388773,-0.4484969
36,0.6698856,0.39439023,"('hostile', 'amicable')",0.6698856,0.3943902,-0.2754954
37,0.9250752,0.80003226,"('fake', 'genuine')",0.9250752,0.8000323,-0.1250429
38,0.2723185,0.509898,"('untruthful', 'truthful')",0.2723185,0.509898,0.2375795
39,0.08264419,0.26550692,"('exploitative', 'cooperative')",0.0826442,0.2655069,0.1828627
40,-1.86652,-2.0182917,"('stingy', 'generous')",-1.86652,-2.0182917,-0.1517717
41,0.26796022,0.31695664,"('unforgiving', 'forgiving')",0.2679602,0.3169566,0.0489964
42,-2.8907945,-2.6538556,"('unreliable', 'reliable')",-2.8907945,-2.6538556,0.2369389
43,0.38979325,0.51367486,"('irresponsible', 'responsible')",0.3897932,0.5136749,0.1238817
44,-1.3048028,-1.3233724,"('prejudiced', 'unprejudiced')",-1.3048028,-1.3233724,-0.0185696
45,-0.0415178,-0.10879225,"('incompetent', 'competent')",-0.0415178,-0.1087923,-0.0672745
46,-2.0098338,-1.8821002,"('uncompetitive', 'competitive')",-2.0098338,-1.8821002,0.1277336
47,5.8115706,5.771268,"('stupid', 'smart')",5.8115706,5.7712679,-0.0403027
48,-0.026781185,0.054240424,"('unintelligent', 'intelligent')",-0.0267812,0.0542404,0.0810216
49,-0.1499766,-0.12657186,"('unable', 'able')",-0.1499766,-0.1265719,0.0234047
50,0.34046865,0.32346147,"('clumsy', 'skillful')",0.3404686,0.3234615,-0.0170071
