,sandpaper_male,sandpaper_female,tuple,average_male,average_female,female-male
0,0.3137469,0.29989192,"('unsociable', 'sociable')",0.3137469,0.2998919,-0.013855
1,0.98665494,0.6610184,"('unfriendly', 'friendly')",0.9866549,0.6610184,-0.3256365
2,0.4588554,0.5307422,"('unlikable', 'likable')",0.4588554,0.5307422,0.0718868
3,0.093227625,0.32785314,"('repellent', 'pleasant')",0.0932276,0.3278531,0.2346255
4,-4.1048703,-4.305388,"('disliked', 'liked')",-4.1048703,-4.305388,-0.2005177
5,-0.7318531,-0.91780573,"('distant', 'outgoing')",-0.7318531,-0.9178057,-0.1859526
6,-0.5708773,-0.8111024,"('distant', 'open')",-0.5708773,-0.8111024,-0.2402251
7,0.8481439,0.95468956,"('insensitive', 'sensitive')",0.8481439,0.9546896,0.1065457
8,0.6296021,0.4322278,"('unaffectionate', 'affectionate')",0.6296021,0.4322278,-0.1973743
9,1.0135537,0.9248502,"('unaffectionate', 'caring')",1.0135537,0.9248502,-0.0887035
10,0.68005764,0.75928646,"('unsympathetic', 'sympathetic')",0.6800576,0.7592865,0.0792289
11,0.9829994,1.2064927,"('unhelpful', 'helpful')",0.9829994,1.2064927,0.2234933
12,-0.32867342,-0.280625,"('unsupportive', 'supportive')",-0.3286734,-0.280625,0.0480484
13,0.020046085,0.17526418,"('impolite', 'polite')",0.0200461,0.1752642,0.1552181
14,0.6980108,0.78916484,"('antisocial', 'social')",0.6980108,0.7891648,0.091154
15,0.63189226,0.44620275,"('boring', 'funny')",0.6318923,0.4462028,-0.1856895
16,-0.63571644,-0.7166964,"('unpopular', 'popular')",-0.6357164,-0.7166964,-0.08098
17,-0.49530625,-0.49892893,"('nasty', 'nice')",-0.4953063,-0.4989289,-0.0036226
18,-0.6721332,-0.5888221,"('disagreeable', 'welcoming')",-0.6721332,-0.5888221,0.0833111
19,-1.1506873,-1.1936054,"('inhospitable', 'hospitable')",-1.1506873,-1.1936054,-0.0429181
20,0.19307895,0.2726871,"('rough', 'thoughtful')",0.193079,0.2726871,0.0796081
21,-0.055616256,0.30417287,"('immoral', 'moral')",-0.0556163,0.3041729,0.3597892
22,0.092072144,0.111382864,"('untrustworthy', 'trustworthy')",0.0920721,0.1113829,0.0193108
23,3.8720431,4.066778,"('insincere', 'sincere')",3.8720431,4.0667782,0.1947351
24,0.9392543,0.861571,"('dishonest', 'honest')",0.9392543,0.861571,-0.0776833
