,csx_male,csx_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.6594964,-0.68902546,"('unsociable', 'sociable')",-0.21090576,-0.30601263,-0.4352011,-0.497519,-0.0623179
1,-0.4165817,-0.74525046,"('unfriendly', 'friendly')",0.50871325,0.3190592,0.0460658,-0.2130956,-0.2591614
2,1.0667768,1.0162538,"('unlikable', 'likable')",1.0541329,1.0066209,1.0604548,1.0114374,-0.0490174
3,-0.4133007,-0.28741562,"('repellent', 'pleasant')",0.69259214,0.7009616,0.1396457,0.206773,0.0671273
4,-0.30063826,-0.41321772,"('disliked', 'liked')",-5.5293207,-5.5914674,-2.9149795,-3.0023425,-0.087363
5,-0.050102558,-0.22114073,"('distant', 'outgoing')",-0.7117746,-0.77786666,-0.3809386,-0.4995037,-0.1185651
6,-0.316623,-0.56849957,"('distant', 'open')",-0.9804396,-1.0899751,-0.6485313,-0.8292373,-0.180706
7,-0.48967475,-0.46970803,"('insensitive', 'sensitive')",-0.17581181,-0.19302948,-0.3327433,-0.3313687,0.0013746
8,-0.3299657,-0.52542007,"('unaffectionate', 'affectionate')",-0.011161305,-0.13778329,-0.1705635,-0.3316017,-0.1610382
9,-0.28409746,-0.51526034,"('unaffectionate', 'caring')",0.23404069,0.10530745,-0.0250284,-0.2049764,-0.179948
10,-1.0385768,-0.99102104,"('unsympathetic', 'sympathetic')",-1.0569997,-1.1076525,-1.0477883,-1.0493368,-0.0015485
11,-0.8289866,-0.7916773,"('unhelpful', 'helpful')",1.1021132,1.123599,0.1365633,0.1659609,0.0293976
12,-0.24288407,-0.16476503,"('unsupportive', 'supportive')",-2.1483138,-2.1389844,-1.195599,-1.1518748,0.0437242
13,-1.3805144,-1.2511059,"('impolite', 'polite')",-1.1346499,-1.1088759,-1.2575822,-1.1799909,0.0775913
14,0.15636203,0.2636673,"('antisocial', 'social')",0.19767039,0.16972502,0.1770162,0.2166961,0.0396799
15,0.8566286,0.7039383,"('boring', 'funny')",0.41178071,0.32432786,0.6342046,0.5141331,-0.1200715
16,-0.12479535,-0.17605259,"('unpopular', 'popular')",0.46317178,0.38882464,0.1691882,0.106386,-0.0628022
17,-0.39891487,-0.37190714,"('nasty', 'nice')",-0.38774955,-0.3790742,-0.3933322,-0.3754907,0.0178415
18,-0.5608298,-0.6653278,"('disagreeable', 'welcoming')",-0.58001524,-0.7185002,-0.5704225,-0.691914,-0.1214915
19,-0.75973284,-0.92323923,"('inhospitable', 'hospitable')",-0.7363986,-0.7634573,-0.7480657,-0.8433483,-0.0952826
20,0.29647034,0.3615598,"('rough', 'thoughtful')",0.96946174,0.9455203,0.632966,0.65354,0.020574
21,0.12927395,0.09955908,"('immoral', 'moral')",-0.2700951,-0.26345038,-0.0704106,-0.0819457,-0.0115351
22,-0.55724496,-0.5420903,"('untrustworthy', 'trustworthy')",-0.75458425,-0.8693321,-0.6559146,-0.7057112,-0.0497966
