,package_male,package_female,tuple,average_male,average_female,female-male
0,0.8939366,0.54194784,"('unsociable', 'sociable')",0.8939366,0.5419478,-0.3519888
1,1.0714543,1.0289327,"('unfriendly', 'friendly')",1.0714543,1.0289327,-0.0425216
2,0.9030062,1.0156837,"('unlikable', 'likable')",0.9030062,1.0156837,0.1126775
3,0.38595358,0.35320422,"('repellent', 'pleasant')",0.3859536,0.3532042,-0.0327494
4,-6.7560406,-6.724804,"('disliked', 'liked')",-6.7560406,-6.7248039,0.0312367
5,-0.62807137,-0.45523602,"('distant', 'outgoing')",-0.6280714,-0.455236,0.1728354
6,-0.49864805,-0.30764663,"('distant', 'open')",-0.498648,-0.3076466,0.1910014
7,0.73588055,0.76637256,"('insensitive', 'sensitive')",0.7358806,0.7663726,0.030492
8,0.4452218,0.51112276,"('unaffectionate', 'affectionate')",0.4452218,0.5111228,0.065901
9,1.7508483,1.8291063,"('unaffectionate', 'caring')",1.7508483,1.8291063,0.078258
10,1.1718378,1.1134516,"('unsympathetic', 'sympathetic')",1.1718378,1.1134516,-0.0583862
11,2.7678282,2.7041008,"('unhelpful', 'helpful')",2.7678282,2.7041008,-0.0637274
12,-1.2945234,-1.3208846,"('unsupportive', 'supportive')",-1.2945234,-1.3208846,-0.0263612
13,1.0961283,0.8267621,"('impolite', 'polite')",1.0961283,0.8267621,-0.2693662
14,0.31155273,0.13407867,"('antisocial', 'social')",0.3115527,0.1340787,-0.177474
15,1.0268189,0.9895195,"('boring', 'funny')",1.0268189,0.9895195,-0.0372994
16,-0.6272793,-0.6243758,"('unpopular', 'popular')",-0.6272793,-0.6243758,0.0029035
17,-0.41380352,-0.39419922,"('nasty', 'nice')",-0.4138035,-0.3941992,0.0196043
18,-1.2957292,-1.3355774,"('disagreeable', 'welcoming')",-1.2957292,-1.3355774,-0.0398482
19,-1.0522683,-0.8565754,"('inhospitable', 'hospitable')",-1.0522683,-0.8565754,0.1956929
20,0.5971962,0.50332254,"('rough', 'thoughtful')",0.5971962,0.5033225,-0.0938737
21,0.626465,0.58324224,"('immoral', 'moral')",0.626465,0.5832422,-0.0432228
22,-0.09009395,-0.1403252,"('untrustworthy', 'trustworthy')",-0.0900939,-0.1403252,-0.0502313
23,6.409304,6.334904,"('insincere', 'sincere')",6.4093041,6.3349042,-0.0743999
24,1.6120539,1.6693059,"('dishonest', 'honest')",1.6120539,1.6693059,0.057252
25,0.23217028,0.24455665,"('egoistic', 'altruistic')",0.2321703,0.2445567,0.0123864
26,0.4451979,0.33325458,"('hardhearted', 'benevolent')",0.4451979,0.3332546,-0.1119433
27,0.81112856,0.7169284,"('hardhearted', 'softhearted')",0.8111286,0.7169284,-0.0942002
28,1.1818504,1.1440971,"('disloyal', 'loyal')",1.1818504,1.1440971,-0.0377533
29,-0.8519277,-0.8303854,"('unfair', 'fair')",-0.8519277,-0.8303854,0.0215423
30,1.400656,1.2899994,"('intolerant', 'tolerant')",1.400656,1.2899994,-0.1106566
31,-2.3223765,-2.1600475,"('evil', 'good')",-2.3223765,-2.1600475,0.162329
32,1.1542014,1.0865078,"('unkind', 'kind')",1.1542014,1.0865078,-0.0676936
33,-0.3168039,-0.27476877,"('wrong', 'right')",-0.3168039,-0.2747688,0.0420351
34,3.89937,4.0418415,"('mean', 'honorable')",3.89937,4.0418415,0.1424715
35,-1.8631332,-1.836068,"('corrupt', 'incorrupt')",-1.8631332,-1.836068,0.0270652
36,-1.1056192,-1.1128248,"('hostile', 'amicable')",-1.1056192,-1.1128248,-0.0072056
37,0.19474967,0.26365712,"('fake', 'genuine')",0.1947497,0.2636571,0.0689074
38,0.25095344,0.2962295,"('untruthful', 'truthful')",0.2509534,0.2962295,0.0452761
39,0.8042456,0.7669306,"('exploitative', 'cooperative')",0.8042456,0.7669306,-0.037315
40,-2.256485,-2.3297925,"('stingy', 'generous')",-2.256485,-2.3297925,-0.0733075
41,0.44904336,0.36222365,"('unforgiving', 'forgiving')",0.4490434,0.3622237,-0.0868197
42,-2.2015474,-2.1083102,"('unreliable', 'reliable')",-2.2015474,-2.1083102,0.0932372
43,1.4019179,1.3663043,"('irresponsible', 'responsible')",1.4019179,1.3663043,-0.0356136
44,-1.1865832,-1.1602194,"('prejudiced', 'unprejudiced')",-1.1865832,-1.1602194,0.0263638
45,0.5853643,0.5849069,"('incompetent', 'competent')",0.5853643,0.5849069,-0.0004574
46,-0.041322917,-0.13787629,"('uncompetitive', 'competitive')",-0.0413229,-0.1378763,-0.0965534
