,idex_male,idex_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.7396477,-0.8506853,"('unsociable', 'sociable')",-0.07286109,-0.19227114,-0.4062544,-0.5214782,-0.1152238
1,-2.1374114,-2.2710514,"('unfriendly', 'friendly')",1.1331341,1.1315929,-0.5021386,-0.5697293,-0.0675907
2,-0.04751336,-0.071261756,"('unlikable', 'likable')",0.7798785,0.70802844,0.3661826,0.3183833,-0.0477993
3,-0.065848194,0.0151927145,"('repellent', 'pleasant')",0.86695033,0.77485824,0.4005511,0.3950255,-0.0055256
4,-0.7905213,-0.80462116,"('disliked', 'liked')",-6.6034064,-6.919994,-3.6969638,-3.8623075,-0.1653437
5,-1.8413713,-1.8164139,"('distant', 'outgoing')",-0.9119867,-0.6258499,-1.3766789,-1.2211319,0.155547
6,-1.8260809,-1.8437206,"('distant', 'open')",-0.9044224,-0.569751,-1.3652517,-1.2067358,0.1585159
7,-0.33465338,-0.252787,"('insensitive', 'sensitive')",-0.14837104,-9.36538e-06,-0.2415122,-0.1263982,0.115114
8,-1.4116559,-1.5737486,"('unaffectionate', 'affectionate')",0.37257734,0.42846274,-0.5195393,-0.5726429,-0.0531036
9,-1.6159011,-1.7069999,"('unaffectionate', 'caring')",0.7678626,1.0034106,-0.4240192,-0.3517947,0.0722245
10,-1.0088027,-1.0572373,"('unsympathetic', 'sympathetic')",-0.3210229,-0.28377366,-0.6649128,-0.6705055,-0.0055927
11,0.09566377,0.07367522,"('unhelpful', 'helpful')",2.068538,2.2311652,1.0821009,1.1524202,0.0703193
12,-0.6970048,-0.66900617,"('unsupportive', 'supportive')",-2.3193414,-2.198093,-1.5081731,-1.4335495,0.0746236
13,-0.35553733,-0.41247022,"('impolite', 'polite')",-0.62900305,-0.57974064,-0.4922702,-0.4961054,-0.0038352
14,0.6100502,0.696886,"('antisocial', 'social')",0.07948083,-0.14798182,0.3447655,0.2744521,-0.0703134
15,0.22165352,0.10233619,"('boring', 'funny')",-0.0052797273,-0.018973224,0.1081869,0.0416815,-0.0665054
16,-0.90755165,-0.9235917,"('unpopular', 'popular')",0.39702907,0.33355412,-0.2552613,-0.2950188,-0.0397575
17,-0.71411824,-0.6649557,"('nasty', 'nice')",-0.6758143,-0.6300036,-0.6949663,-0.6474797,0.0474866
