,webpage_male,webpage_female,tuple,average_male,average_female,female-male
0,-0.09794333,-0.4626398,"('unsociable', 'sociable')",-0.0979433,-0.4626398,-0.3646965
1,0.58401966,0.70442,"('unfriendly', 'friendly')",0.5840197,0.70442,0.1204003
2,-0.5340817,-0.48383006,"('unlikable', 'likable')",-0.5340817,-0.4838301,0.0502516
3,0.07695776,0.0636548,"('repellent', 'pleasant')",0.0769578,0.0636548,-0.013303
4,-3.3320942,-3.3808048,"('disliked', 'liked')",-3.3320942,-3.3808048,-0.0487106
5,0.30525666,0.70018667,"('distant', 'outgoing')",0.3052567,0.7001867,0.39493
6,0.71942014,1.1663138,"('distant', 'open')",0.7194201,1.1663138,0.4468937
7,0.30506158,0.1695795,"('insensitive', 'sensitive')",0.3050616,0.1695795,-0.1354821
8,-0.3762427,-0.2566874,"('unaffectionate', 'affectionate')",-0.3762427,-0.2566874,0.1195553
9,-0.1995405,-0.12504132,"('unaffectionate', 'caring')",-0.1995405,-0.1250413,0.0744992
10,-0.6643243,-0.9489962,"('unsympathetic', 'sympathetic')",-0.6643243,-0.9489962,-0.2846719
11,1.5862014,1.4438667,"('unhelpful', 'helpful')",1.5862014,1.4438667,-0.1423347
12,-0.9100882,-0.8254549,"('unsupportive', 'supportive')",-0.9100882,-0.8254549,0.0846333
13,0.09001915,-0.21274908,"('impolite', 'polite')",0.0900192,-0.2127491,-0.3027683
14,0.30092305,-0.097920485,"('antisocial', 'social')",0.300923,-0.0979205,-0.3988435
15,-0.50350356,-0.6045805,"('boring', 'funny')",-0.5035036,-0.6045805,-0.1010769
16,1.026421,1.1523234,"('unpopular', 'popular')",1.026421,1.1523234,0.1259024
17,0.27502167,0.34749186,"('nasty', 'nice')",0.2750217,0.3474919,0.0724702
18,-0.3866505,-0.2921945,"('disagreeable', 'welcoming')",-0.3866505,-0.2921945,0.094456
19,0.046565387,0.20358217,"('inhospitable', 'hospitable')",0.0465654,0.2035822,0.1570168
20,0.4095415,0.27140027,"('rough', 'thoughtful')",0.4095415,0.2714003,-0.1381412
21,-0.42317772,-0.8070432,"('immoral', 'moral')",-0.4231777,-0.8070432,-0.3838655
