,svb_male,svb_female,tuple,financial_male,financial_female,group_male,group_female,average_male,average_female,female-male
0,-1.0015393,-1.1272869,"('unsociable', 'sociable')",0.011553153,-0.13247408,0.7391127,0.6310314,-0.0836245,-0.2095765,-0.125952
1,-0.8855885,-0.81460506,"('unfriendly', 'friendly')",1.3757685,1.2078686,0.34983116,0.20022246,0.2800037,0.1978287,-0.082175
2,1.4059827,1.510855,"('unlikable', 'likable')",2.5742455,2.6852918,1.3763821,1.5513126,1.7855368,1.9158198,0.130283
3,-0.15258253,-0.12900643,"('repellent', 'pleasant')",-0.7907684,-0.75595516,1.4072703,1.4019586,0.1546398,0.1723323,0.0176925
4,-0.008326825,0.0012347028,"('disliked', 'liked')",0.23550254,0.18378858,-5.455756,-5.338616,-1.7428602,-1.7178642,0.024996
5,-0.08753111,0.1289326,"('distant', 'outgoing')",0.9389871,0.9391928,-2.2988262,-2.247116,-0.4824568,-0.3929969,0.0894599
6,-0.76373357,-0.4754768,"('distant', 'open')",-0.02072487,-0.00439395,-2.4524307,-2.4492936,-1.078963,-0.9763881,0.1025749
7,-0.35816222,-0.46449885,"('insensitive', 'sensitive')",0.17726015,0.1687136,0.8121996,0.830006,0.2104325,0.1780736,-0.0323589
8,-0.37203065,-0.334237,"('unaffectionate', 'affectionate')",0.5286761,0.40899104,-0.29526412,-0.33257377,-0.0462062,-0.0859399,-0.0397337
9,-0.30120376,-0.342509,"('unaffectionate', 'caring')",1.3667628,1.2468631,0.57842267,0.505947,0.5479939,0.4701004,-0.0778935
10,-1.035608,-1.1553464,"('unsympathetic', 'sympathetic')",-1.3461833,-1.3713031,0.61369646,0.60669124,-0.589365,-0.6399861,-0.0506211
11,0.050790943,-0.15944771,"('unhelpful', 'helpful')",0.06308463,-0.0049502887,2.4883163,2.4684703,0.8673973,0.7680241,-0.0993732
12,-0.31243622,-0.28582823,"('unsupportive', 'supportive')",0.9222826,0.9631514,-1.1574537,-1.010411,-0.1825358,-0.1110293,0.0715065
13,-0.277623,-0.38718492,"('impolite', 'polite')",-0.19166559,-0.11576301,0.6381099,0.65198994,0.0562738,0.0496807,-0.0065931
14,0.06644671,-0.01987712,"('antisocial', 'social')",1.6309974,1.6437025,1.1828849,1.1314785,0.9601097,0.9184346,-0.0416751
15,0.737588,0.5995867,"('boring', 'funny')",0.6031469,0.5677992,-0.31812698,-0.36915523,0.3408693,0.2660769,-0.0747924
