,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,female-male
0,-0.62032515,-0.66581404,"('unsociable', 'sociable')",-0.2623422,-0.37066615,-0.4413337,-0.5182401,-0.0769064
1,1.268804,0.97709554,"('unfriendly', 'friendly')",1.4256647,1.3579117,1.3472342,1.1675036,-0.1797306
2,0.25286606,0.24779715,"('unlikable', 'likable')",0.34415784,0.37327516,0.298512,0.3105361,0.0120241
3,-1.6251777,-1.4713348,"('repellent', 'pleasant')",0.46195835,0.437568,-0.5816097,-0.5168834,0.0647263
4,0.693609,0.5084011,"('disliked', 'liked')",-7.30471,-7.525648,-3.3055506,-3.5086236,-0.203073
5,0.8659953,0.6748599,"('distant', 'outgoing')",-0.13351673,-0.10263243,0.3662393,0.2861137,-0.0801256
6,0.75011593,0.57859445,"('distant', 'open')",0.23185422,0.25915778,0.4909851,0.4188761,-0.072109
7,0.05691001,0.11736322,"('insensitive', 'sensitive')",0.39727414,0.41726556,0.2270921,0.2673144,0.0402223
8,1.2133533,1.1067792,"('unaffectionate', 'affectionate')",1.1132411,1.0843009,1.1632972,1.09554,-0.0677572
9,1.3390763,1.2837678,"('unaffectionate', 'caring')",1.6477025,1.65366,1.4933894,1.468714,-0.0246754
10,-1.1268361,-1.0287274,"('unsympathetic', 'sympathetic')",-0.32612133,-0.27100223,-0.7264787,-0.6498648,0.0766139
11,-0.5958894,-0.5100138,"('unhelpful', 'helpful')",1.9990574,2.1591272,0.701584,0.8245567,0.1229727
12,0.72736245,0.73011345,"('unsupportive', 'supportive')",-1.3081656,-1.3391309,-0.2904015,-0.3045087,-0.0141072
13,-1.0499582,-0.9797988,"('impolite', 'polite')",-0.16491267,-0.09103587,-0.6074355,-0.5354173,0.0720182
14,-0.40997154,-0.35784125,"('antisocial', 'social')",0.17366008,0.057684302,-0.1181557,-0.1500785,-0.0319228
15,1.119983,0.96335125,"('boring', 'funny')",0.43790928,0.36849615,0.7789461,0.6659237,-0.1130224
16,-1.0853405,-1.2099781,"('unpopular', 'popular')",-0.07987738,-0.10402192,-0.5826089,-0.657,-0.0743911
17,0.122693315,0.22416557,"('nasty', 'nice')",-0.539466,-0.51165766,-0.2083864,-0.143746,0.0646404
18,-0.20732129,-0.23558919,"('disagreeable', 'welcoming')",-0.07887228,-0.11448246,-0.1430968,-0.1750358,-0.031939
19,-0.27443382,-0.3135738,"('inhospitable', 'hospitable')",-0.0015024692,0.05046036,-0.1379682,-0.1315567,0.0064115
20,-0.56278676,-0.56802523,"('rough', 'thoughtful')",0.5262133,0.4562339,-0.0182867,-0.0558957,-0.037609
21,-0.31170383,-0.3043125,"('immoral', 'moral')",-0.10210061,-0.049083184,-0.2069022,-0.1766978,0.0302044
22,-1.1310633,-1.2309626,"('untrustworthy', 'trustworthy')",-0.8586728,-0.9062011,-0.994868,-1.0685818,-0.0737138
23,-0.85657877,-0.84433013,"('insincere', 'sincere')",6.640849,6.7226305,2.8921351,2.9391501,0.047015
24,0.14330617,0.20352226,"('dishonest', 'honest')",1.0347928,0.9472725,0.5890495,0.5753974,-0.0136521
25,1.0601238,1.0113481,"('egoistic', 'altruistic')",0.9261857,0.9225164,0.9931548,0.9669323,-0.0262225
26,3.7577088,3.5829854,"('hardhearted', 'benevolent')",1.6259031,1.5933906,2.6918058,2.5881879,-0.1036179
27,1.0645006,1.078126,"('hardhearted', 'softhearted')",1.4294455,1.2727369,1.246973,1.1754315,-0.0715415
28,0.0051265084,-0.106831305,"('disloyal', 'loyal')",1.3191587,1.2081141,0.6621426,0.5506414,-0.1115012
29,-1.1489743,-1.2591007,"('unfair', 'fair')",-0.5769851,-0.6892363,-0.8629797,-0.9741685,-0.1111888
