,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.14066441,0.19118509,"('unsociable', 'sociable')",-0.44909033,-0.53353846,-0.154213,-0.1711767,-0.0169637
1,0.6304539,0.6175039,"('unfriendly', 'friendly')",1.4544369,1.3493289,1.0424454,0.9834164,-0.059029
2,0.70062566,0.7911137,"('unlikable', 'likable')",0.064607754,0.15766467,0.3826167,0.4743892,0.0917725
3,-0.96502596,-0.8658319,"('repellent', 'pleasant')",0.66868377,0.7157996,-0.1481711,-0.0750161,0.073155
4,0.67846686,0.68875355,"('disliked', 'liked')",-7.596919,-7.755588,-3.4592261,-3.5334172,-0.0741911
5,1.2223531,1.1237208,"('distant', 'outgoing')",-0.25823325,-0.36264485,0.4820599,0.380538,-0.1015219
6,1.0219032,0.9771396,"('distant', 'open')",0.03579692,-0.07851231,0.52885,0.4493136,-0.0795364
7,-0.9690434,-0.81798446,"('insensitive', 'sensitive')",0.020470392,0.06509929,-0.4742865,-0.3764426,0.0978439
8,0.28089198,0.19278736,"('unaffectionate', 'affectionate')",0.5502931,0.48077267,0.4155926,0.33678,-0.0788126
9,0.54993796,0.4662419,"('unaffectionate', 'caring')",1.0794055,1.0548968,0.8146718,0.7605693,-0.0541025
10,-1.3406186,-1.1903406,"('unsympathetic', 'sympathetic')",-0.6653342,-0.6626439,-1.0029764,-0.9264923,0.0764841
11,-1.4919212,-1.3497624,"('unhelpful', 'helpful')",1.2489899,1.3452591,-0.1214656,-0.0022517,0.1192139
12,-0.28880605,-0.19365484,"('unsupportive', 'supportive')",-2.6938705,-2.7010145,-1.4913383,-1.4473346,0.0440037
13,0.0114848055,0.07826439,"('impolite', 'polite')",-1.302975,-1.233551,-0.6457451,-0.5776433,0.0681018
14,-0.8822777,-0.85785735,"('antisocial', 'social')",-0.662842,-0.68043333,-0.7725599,-0.7691454,0.0034145
15,1.384966,1.3104476,"('boring', 'funny')",0.03134603,0.013450567,0.708156,0.6619491,-0.0462069
16,-0.111074716,0.009664718,"('unpopular', 'popular')",0.18528767,0.16087253,0.0371065,0.0852686,0.0481621
17,-0.18518652,-0.053397357,"('nasty', 'nice')",-0.45315826,-0.37235537,-0.3191724,-0.2128764,0.106296
18,-0.86951977,-0.80979645,"('disagreeable', 'welcoming')",-0.91529465,-0.91666937,-0.8924072,-0.8632329,0.0291743
