,saw_male,saw_female,tuple,average_male,average_female,female-male
0,-0.29047132,-0.17499524,"('unsociable', 'sociable')",-0.2904713,-0.1749952,0.1154761
1,1.4158605,1.2767297,"('unfriendly', 'friendly')",1.4158605,1.2767297,-0.1391308
2,-0.12104475,-0.113576725,"('unlikable', 'likable')",-0.1210447,-0.1135767,0.007468
3,0.51674086,0.5879944,"('repellent', 'pleasant')",0.5167409,0.5879944,0.0712535
4,-6.777045,-7.0342336,"('disliked', 'liked')",-6.7770448,-7.0342336,-0.2571888
5,-0.5600256,-0.65334684,"('distant', 'outgoing')",-0.5600256,-0.6533468,-0.0933212
6,0.08442761,-0.11641805,"('distant', 'open')",0.0844276,-0.116418,-0.2008456
7,1.1002057,1.1954063,"('insensitive', 'sensitive')",1.1002057,1.1954063,0.0952006
8,1.3468534,1.1666774,"('unaffectionate', 'affectionate')",1.3468534,1.1666774,-0.180176
9,1.6313096,1.5796024,"('unaffectionate', 'caring')",1.6313096,1.5796024,-0.0517072
10,0.77533084,0.90972126,"('unsympathetic', 'sympathetic')",0.7753308,0.9097213,0.1343905
11,1.3844655,1.5158756,"('unhelpful', 'helpful')",1.3844655,1.5158756,0.1314101
12,-1.5419245,-1.5814638,"('unsupportive', 'supportive')",-1.5419245,-1.5814638,-0.0395393
13,-0.50085956,-0.32979888,"('impolite', 'polite')",-0.5008596,-0.3297989,0.1710607
14,0.20913813,0.3539228,"('antisocial', 'social')",0.2091381,0.3539228,0.1447847
15,0.1951265,0.0919612,"('boring', 'funny')",0.1951265,0.0919612,-0.1031653
16,-0.30862224,-0.3904388,"('unpopular', 'popular')",-0.3086222,-0.3904388,-0.0818166
17,-0.14613727,-0.15089703,"('nasty', 'nice')",-0.1461373,-0.150897,-0.0047597
18,-0.29404595,-0.36722887,"('disagreeable', 'welcoming')",-0.294046,-0.3672289,-0.0731829
19,-0.696398,-0.8052099,"('inhospitable', 'hospitable')",-0.696398,-0.8052099,-0.1088119
