,toothpick_male,toothpick_female,tuple,average_male,average_female,female-male
0,-0.12906778,-0.23815607,"('unsociable', 'sociable')",-0.1290678,-0.2381561,-0.1090883
1,0.41665223,0.2769357,"('unfriendly', 'friendly')",0.4166522,0.2769357,-0.1397165
2,0.29000416,0.22335476,"('unlikable', 'likable')",0.2900042,0.2233548,-0.0666494
3,-0.8059372,-0.628411,"('repellent', 'pleasant')",-0.8059372,-0.628411,0.1775262
4,-1.6857179,-1.7036079,"('disliked', 'liked')",-1.6857179,-1.7036079,-0.01789
5,0.16310115,0.2156385,"('distant', 'outgoing')",0.1631012,0.2156385,0.0525373
6,-0.15199398,-0.09651687,"('distant', 'open')",-0.151994,-0.0965169,0.0554771
7,-0.80701804,-0.6949628,"('insensitive', 'sensitive')",-0.807018,-0.6949628,0.1120552
8,0.025081463,-0.09546516,"('unaffectionate', 'affectionate')",0.0250815,-0.0954652,-0.1205467
9,0.20386739,0.12931369,"('unaffectionate', 'caring')",0.2038674,0.1293137,-0.0745537
10,-0.72623533,-0.76956594,"('unsympathetic', 'sympathetic')",-0.7262353,-0.7695659,-0.0433306
11,0.15609197,0.14777851,"('unhelpful', 'helpful')",0.156092,0.1477785,-0.0083135
12,-0.76877725,-0.7224718,"('unsupportive', 'supportive')",-0.7687773,-0.7224718,0.0463055
13,-0.2508198,-0.41448352,"('impolite', 'polite')",-0.2508198,-0.4144835,-0.1636637
14,-0.95139766,-1.0804306,"('antisocial', 'social')",-0.9513977,-1.0804306,-0.1290329
15,0.98733485,0.86764824,"('boring', 'funny')",0.9873348,0.8676482,-0.1196866
16,0.24417144,0.27942026,"('unpopular', 'popular')",0.2441714,0.2794203,0.0352489
17,-0.17242919,-0.058786612,"('nasty', 'nice')",-0.1724292,-0.0587866,0.1136426
18,-0.67741156,-0.6535957,"('disagreeable', 'welcoming')",-0.6774116,-0.6535957,0.0238159
19,-0.38030422,-0.24891494,"('inhospitable', 'hospitable')",-0.3803042,-0.2489149,0.1313893
20,-0.64345866,-0.51797616,"('rough', 'thoughtful')",-0.6434587,-0.5179762,0.1254825
21,0.086928055,0.09462141,"('immoral', 'moral')",0.0869281,0.0946214,0.0076933
22,-0.3060215,-0.33828402,"('untrustworthy', 'trustworthy')",-0.3060215,-0.338284,-0.0322625
23,1.7565463,1.7008429,"('insincere', 'sincere')",1.7565463,1.7008429,-0.0557034
24,-0.098149486,-0.17815495,"('dishonest', 'honest')",-0.0981495,-0.1781549,-0.0800054
25,0.33553806,0.439723,"('egoistic', 'altruistic')",0.3355381,0.439723,0.1041849
26,0.481603,0.18063842,"('hardhearted', 'benevolent')",0.481603,0.1806384,-0.3009646
27,0.48964787,0.57802796,"('hardhearted', 'softhearted')",0.4896479,0.578028,0.0883801
28,-0.6858709,-0.8380717,"('disloyal', 'loyal')",-0.6858709,-0.8380717,-0.1522008
29,-0.22984214,-0.16468608,"('unfair', 'fair')",-0.2298421,-0.1646861,0.065156
30,-0.44051307,-0.58836126,"('intolerant', 'tolerant')",-0.4405131,-0.5883613,-0.1478482
