,refuse_male,refuse_female,tuple,average_male,average_female,female-male
0,-0.19609156,-0.3390604,"('unsociable', 'sociable')",-0.1960916,-0.3390604,-0.1429688
1,0.80453485,0.79662,"('unfriendly', 'friendly')",0.8045349,0.79662,-0.0079149
2,-0.10933437,0.08123631,"('unlikable', 'likable')",-0.1093344,0.0812363,0.1905707
3,0.5578303,0.7960221,"('repellent', 'pleasant')",0.5578303,0.7960221,0.2381918
4,-7.693809,-7.6363173,"('disliked', 'liked')",-7.693809,-7.6363173,0.0574917
5,-0.90725416,-0.6716672,"('distant', 'outgoing')",-0.9072542,-0.6716672,0.235587
6,-0.561636,-0.42454004,"('distant', 'open')",-0.561636,-0.42454,0.137096
7,0.7809266,0.88405836,"('insensitive', 'sensitive')",0.7809266,0.8840584,0.1031318
8,0.86482507,0.9049761,"('unaffectionate', 'affectionate')",0.8648251,0.9049761,0.040151
9,1.3831673,1.3905383,"('unaffectionate', 'caring')",1.3831673,1.3905383,0.007371
10,1.253259,1.3216584,"('unsympathetic', 'sympathetic')",1.2532589,1.3216584,0.0683995
11,2.093172,2.0992806,"('unhelpful', 'helpful')",2.0931721,2.0992806,0.0061085
12,-1.7978541,-1.6792618,"('unsupportive', 'supportive')",-1.7978541,-1.6792618,0.1185923
13,0.08340078,0.08542287,"('impolite', 'polite')",0.0834008,0.0854229,0.0020221
14,0.07066296,0.022249814,"('antisocial', 'social')",0.070663,0.0222498,-0.0484132
15,0.3511068,0.29128852,"('boring', 'funny')",0.3511068,0.2912885,-0.0598183
16,-1.449117,-1.3324683,"('unpopular', 'popular')",-1.4491169,-1.3324683,0.1166486
17,-0.7764784,-0.71529996,"('nasty', 'nice')",-0.7764784,-0.7153,0.0611784
18,-1.1311402,-0.9989304,"('disagreeable', 'welcoming')",-1.1311402,-0.9989304,0.1322098
19,-0.9301037,-0.6943974,"('inhospitable', 'hospitable')",-0.9301037,-0.6943974,0.2357063
20,0.6939044,0.5855316,"('rough', 'thoughtful')",0.6939044,0.5855316,-0.1083728
21,0.26067454,0.4277518,"('immoral', 'moral')",0.2606745,0.4277518,0.1670773
22,-0.3716962,-0.38407713,"('untrustworthy', 'trustworthy')",-0.3716962,-0.3840771,-0.0123809
23,6.4407854,6.527869,"('insincere', 'sincere')",6.4407854,6.5278692,0.0870838
24,1.9881878,2.0686452,"('dishonest', 'honest')",1.9881878,2.0686452,0.0804574
25,-0.0723723,-0.19472276,"('egoistic', 'altruistic')",-0.0723723,-0.1947228,-0.1223505
