,jones_male,jones_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,0.3037256,0.14568089,"('unsociable', 'sociable')",0.36861756,0.22894745,-0.52979535,-0.6561873,0.0475159,-0.093853,-0.1413689
1,1.2370725,1.0470014,"('unfriendly', 'friendly')",0.17848362,0.051147822,1.9702578,1.8734791,1.1286046,0.9905427,-0.1380619
2,0.9828014,1.1378464,"('unlikable', 'likable')",1.3821262,1.5007432,0.50569737,0.62785774,0.956875,1.0888157,0.1319407
3,-0.21830325,0.055755522,"('repellent', 'pleasant')",0.31517515,0.4049707,0.14500009,0.20967542,0.080624,0.2234672,0.1428432
4,0.295862,0.16117111,"('disliked', 'liked')",-0.23332381,-0.3859455,-6.5176067,-6.655501,-2.1516895,-2.2934251,-0.1417356
5,0.46252444,0.4020155,"('distant', 'outgoing')",-1.156523,-1.2045629,0.059516087,0.080193095,-0.2114942,-0.2407848,-0.0292906
6,0.9984659,1.0402185,"('distant', 'open')",-1.2036843,-1.2143606,0.68729115,0.68147504,0.1606909,0.169111,0.0084201
7,0.51226956,0.60811466,"('insensitive', 'sensitive')",0.3436014,0.40427837,0.85810566,0.8456327,0.5713255,0.6193419,0.0480164
8,0.576871,0.5180179,"('unaffectionate', 'affectionate')",0.12058674,0.1265983,1.1309724,1.0320264,0.6094767,0.5588809,-0.0505958
9,1.0263529,0.9985718,"('unaffectionate', 'caring')",0.34024256,0.29676488,1.4478676,1.412311,0.9381544,0.9025493,-0.0356051
10,-0.33985567,-0.13298333,"('unsympathetic', 'sympathetic')",0.21772736,0.20202842,-0.20350005,-0.24883501,-0.1085428,-0.05993,0.0486128
11,-0.26357883,-0.19615561,"('unhelpful', 'helpful')",-0.23433751,-0.22057343,1.7651998,1.8339443,0.4224278,0.4724051,0.0499773
12,1.942505,2.0088902,"('unsupportive', 'supportive')",1.4039764,1.5518504,-1.4828796,-1.4976383,0.6212006,0.6877007,0.0665001
13,0.22354247,0.17995341,"('impolite', 'polite')",-0.20238858,-0.264364,-0.6744747,-0.6923517,-0.2177736,-0.2589208,-0.0411472
14,0.84300894,0.82316315,"('antisocial', 'social')",1.1893444,1.1510881,-0.7708773,-0.81187767,0.420492,0.3874578,-0.0330342
15,0.48568794,0.28449163,"('boring', 'funny')",-0.8711689,-0.97243786,0.22927836,0.20223196,-0.0520675,-0.1619048,-0.1098373
16,-0.9209046,-0.9161471,"('unpopular', 'popular')",-0.44747847,-0.40664193,0.661695,0.63668627,-0.2355627,-0.2287009,0.0068618
17,0.3299933,0.3896026,"('nasty', 'nice')",-0.8978469,-0.849675,-0.48277938,-0.42529133,-0.350211,-0.2951212,0.0550898
18,0.13403915,0.18233809,"('disagreeable', 'welcoming')",-0.28199112,-0.13457218,-0.44244322,-0.44943005,-0.1967984,-0.133888,0.0629104
19,0.2656801,0.36803442,"('inhospitable', 'hospitable')",-1.1905918,-1.1600213,0.048958093,0.14522932,-0.2919846,-0.2155858,0.0763988
