,sari_male,sari_female,tuple,average_male,average_female,female-male
0,0.38931495,0.34601524,"('unsociable', 'sociable')",0.3893149,0.3460152,-0.0432997
1,-0.69915557,-0.91357213,"('unfriendly', 'friendly')",-0.6991556,-0.9135721,-0.2144165
2,0.8759394,0.81619936,"('unlikable', 'likable')",0.8759394,0.8161994,-0.05974
3,0.40179822,0.573095,"('repellent', 'pleasant')",0.4017982,0.573095,0.1712968
4,-2.1054478,-2.3424945,"('disliked', 'liked')",-2.1054478,-2.3424945,-0.2370467
5,-1.3908979,-1.4337208,"('distant', 'outgoing')",-1.3908979,-1.4337208,-0.0428229
6,-1.5939306,-1.6712829,"('distant', 'open')",-1.5939306,-1.6712829,-0.0773523
7,0.50008076,0.5914045,"('insensitive', 'sensitive')",0.5000808,0.5914045,0.0913237
8,-0.6931084,-0.85778266,"('unaffectionate', 'affectionate')",-0.6931084,-0.8577827,-0.1646743
9,-0.03763372,-0.21983437,"('unaffectionate', 'caring')",-0.0376337,-0.2198344,-0.1822007
10,0.22610222,0.19690415,"('unsympathetic', 'sympathetic')",0.2261022,0.1969042,-0.029198
11,1.1080511,1.2431302,"('unhelpful', 'helpful')",1.1080511,1.2431302,0.1350791
12,-0.6586192,-0.7098928,"('unsupportive', 'supportive')",-0.6586192,-0.7098928,-0.0512736
13,0.008958001,0.06489155,"('impolite', 'polite')",0.008958,0.0648915,0.0559335
14,0.74109083,0.91727227,"('antisocial', 'social')",0.7410908,0.9172723,0.1761815
15,0.98101985,0.8141102,"('boring', 'funny')",0.9810199,0.8141102,-0.1669097
16,-0.014077686,-0.11624728,"('unpopular', 'popular')",-0.0140777,-0.1162473,-0.1021696
17,0.15607177,0.199343,"('nasty', 'nice')",0.1560718,0.199343,0.0432712
18,-0.77071714,-0.77507883,"('disagreeable', 'welcoming')",-0.7707171,-0.7750788,-0.0043617
19,-0.4016083,-0.5024988,"('inhospitable', 'hospitable')",-0.4016083,-0.5024988,-0.1008905
20,0.5328152,0.5122325,"('rough', 'thoughtful')",0.5328152,0.5122325,-0.0205827
21,0.5464927,0.6720148,"('immoral', 'moral')",0.5464927,0.6720148,0.1255221
22,0.11344379,0.2583362,"('untrustworthy', 'trustworthy')",0.1134438,0.2583362,0.1448924
23,2.2469528,2.4857802,"('insincere', 'sincere')",2.2469528,2.4857802,0.2388274
24,0.3042573,0.3312954,"('dishonest', 'honest')",0.3042573,0.3312954,0.0270381
25,0.29887697,0.19990203,"('egoistic', 'altruistic')",0.298877,0.199902,-0.098975
26,0.43965018,0.1764531,"('hardhearted', 'benevolent')",0.4396502,0.1764531,-0.2631971
27,-0.19516492,-0.1573107,"('hardhearted', 'softhearted')",-0.1951649,-0.1573107,0.0378542
28,0.42493188,0.3288546,"('disloyal', 'loyal')",0.4249319,0.3288546,-0.0960773
29,-0.5745412,-0.59023446,"('unfair', 'fair')",-0.5745412,-0.5902345,-0.0156933
30,1.46755,1.4953575,"('intolerant', 'tolerant')",1.46755,1.4953575,0.0278075
31,-1.6596993,-1.7351041,"('evil', 'good')",-1.6596993,-1.7351041,-0.0754048
32,0.24266674,0.21675354,"('unkind', 'kind')",0.2426667,0.2167535,-0.0259132
33,-0.12939087,-0.33288813,"('wrong', 'right')",-0.1293909,-0.3328881,-0.2034972
34,1.3777047,1.7192931,"('mean', 'honorable')",1.3777047,1.7192931,0.3415884
35,-0.45844865,-0.70551497,"('corrupt', 'incorrupt')",-0.4584486,-0.705515,-0.2470664
36,-1.2070519,-1.3948375,"('hostile', 'amicable')",-1.2070519,-1.3948375,-0.1877856
37,0.6298474,0.49888825,"('fake', 'genuine')",0.6298474,0.4988883,-0.1309591
38,0.18440717,0.19579455,"('untruthful', 'truthful')",0.1844072,0.1957946,0.0113874
39,0.539187,0.55515605,"('exploitative', 'cooperative')",0.539187,0.5551561,0.0159691
40,-1.2027347,-1.3432542,"('stingy', 'generous')",-1.2027347,-1.3432542,-0.1405195
41,0.69356704,0.62505376,"('unforgiving', 'forgiving')",0.693567,0.6250538,-0.0685132
42,-0.603279,-0.68591654,"('unreliable', 'reliable')",-0.603279,-0.6859165,-0.0826375
43,0.0036276504,0.14524326,"('irresponsible', 'responsible')",0.0036277,0.1452433,0.1416156
44,-0.86994016,-0.9013491,"('prejudiced', 'unprejudiced')",-0.8699402,-0.9013491,-0.0314089
45,0.43911594,0.5357991,"('incompetent', 'competent')",0.4391159,0.5357991,0.0966832
46,0.25777858,0.33966205,"('uncompetitive', 'competitive')",0.2577786,0.339662,0.0818834
47,1.6040237,1.8686873,"('stupid', 'smart')",1.6040237,1.8686873,0.2646636
