,quest_male,quest_female,tuple,diagnostics_male,diagnostics_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.11238073,-0.28119075,"('unsociable', 'sociable')",0.23139313,0.06854387,-0.78482693,-0.9555623,-0.2219382,-0.3894031,-0.1674649
1,-0.82209504,-1.000345,"('unfriendly', 'friendly')",-0.05627306,-0.2554176,2.258865,2.1020982,0.4601657,0.2821119,-0.1780538
2,0.0115593225,0.038031965,"('unlikable', 'likable')",0.68075186,0.71325004,0.50806206,0.59378797,0.4001244,0.4483566,0.0482322
3,0.86708206,0.882715,"('repellent', 'pleasant')",-0.6023397,-0.6513192,0.05459869,0.08210367,0.106447,0.1044998,-0.0019472
4,-1.2208724,-1.2820678,"('disliked', 'liked')",-0.2934822,-0.30114615,-6.229191,-6.2879066,-2.5811818,-2.6237068,-0.042525
5,-1.1542797,-1.1038864,"('distant', 'outgoing')",-0.6037427,-0.5756217,0.4106511,0.46309114,-0.4491238,-0.4054723,0.0436515
6,-1.278301,-1.2170675,"('distant', 'open')",-0.7983526,-0.7854373,0.8733099,0.9110572,-0.4011145,-0.3638159,0.0372986
7,0.93566954,0.8511557,"('insensitive', 'sensitive')",-0.31768775,-0.39660808,0.4630413,0.4424922,0.360341,0.2990133,-0.0613277
8,0.20174848,0.13273253,"('unaffectionate', 'affectionate')",-0.17453527,-0.19199482,1.4226228,1.3049808,0.4832787,0.4152395,-0.0680392
9,0.79989684,0.70335865,"('unaffectionate', 'caring')",0.19708182,0.14568935,1.5326515,1.4912155,0.8432101,0.7800878,-0.0631223
10,1.087662,0.9449353,"('unsympathetic', 'sympathetic')",-0.75538546,-0.8710293,-0.9893728,-1.0222552,-0.2190321,-0.3161164,-0.0970843
11,0.09402958,0.10869397,"('unhelpful', 'helpful')",0.3425658,0.29734257,1.183972,1.2762393,0.5401891,0.5607586,0.0205695
12,0.13763028,0.10090463,"('unsupportive', 'supportive')",0.51678056,0.5680594,-1.8469139,-1.8579323,-0.397501,-0.3963228,0.0011782
13,-0.164971,-0.252087,"('impolite', 'polite')",0.7841245,0.68765163,-0.5746749,-0.612392,0.0148262,-0.0589425,-0.0737687
14,0.6866205,0.6432794,"('antisocial', 'social')",0.15468377,0.14553279,-1.0132922,-1.0613507,-0.0573293,-0.0908462,-0.0335169
15,-0.36974138,-0.3988084,"('boring', 'funny')",0.21885832,0.17941052,0.7084877,0.703003,0.1858682,0.1612017,-0.0246665
16,-1.1298552,-1.1373458,"('unpopular', 'popular')",0.08465138,0.100577906,0.6699581,0.74176353,-0.1250819,-0.0983348,0.0267471
17,-0.41897237,-0.36202976,"('nasty', 'nice')",-0.5450752,-0.49265298,-0.5051557,-0.45843846,-0.4897344,-0.4377071,0.0520273
18,-0.32788888,-0.44263583,"('disagreeable', 'welcoming')",-0.10929781,-0.09945013,-0.019632945,-0.055403613,-0.1522732,-0.1991632,-0.04689
19,-0.75264025,-0.74319214,"('inhospitable', 'hospitable')",-0.49728987,-0.5114743,0.6293008,0.72603774,-0.2068765,-0.1762096,0.0306669
20,0.5749031,0.595008,"('rough', 'thoughtful')",0.1827474,0.14385474,0.7611156,0.6960585,0.5062554,0.4783071,-0.0279483
21,0.48297,0.4104789,"('immoral', 'moral')",0.8369641,0.73850924,-1.0796002,-1.0588716,0.0801113,0.0300388,-0.0500725
22,-0.054590262,-0.10713204,"('untrustworthy', 'trustworthy')",0.6176181,0.5065382,-0.9487343,-1.0023787,-0.1285688,-0.2009908,-0.072422
23,1.4494572,1.3587584,"('insincere', 'sincere')",0.4500211,0.33135706,5.474261,5.4596157,2.4579131,2.3832437,-0.0746694
24,1.2208017,1.153222,"('dishonest', 'honest')",0.08816727,0.06723488,0.68813795,0.62935066,0.6657023,0.6166025,-0.0490998
25,-0.4451563,-0.41185835,"('egoistic', 'altruistic')",0.3718502,0.3778479,2.0024896,1.9253671,0.6430612,0.6304522,-0.012609
26,-0.5133554,-0.6580451,"('hardhearted', 'benevolent')",0.5453533,0.49720454,1.7232796,1.6151836,0.5850925,0.484781,-0.1003115
27,0.19531657,0.18262307,"('hardhearted', 'softhearted')",-0.054662693,0.05089834,1.890976,1.7406867,0.6772099,0.6580694,-0.0191405
28,0.32240453,0.21270128,"('disloyal', 'loyal')",-0.034726918,-0.24651791,0.76633644,0.6629238,0.351338,0.2097024,-0.1416356
29,-0.46621704,-0.48536167,"('unfair', 'fair')",-1.2364728,-1.3049943,-0.2134321,-0.37101024,-0.6387073,-0.7204554,-0.0817481
30,1.0310161,0.95116985,"('intolerant', 'tolerant')",0.04470347,-0.040641192,0.8034072,0.769053,0.6263756,0.5598605,-0.0665151
31,-1.8795545,-1.8238,"('evil', 'good')",-0.8618692,-0.86934185,-0.14386189,-0.23430032,-0.9617618,-0.9758141,-0.0140523
32,0.45525628,0.33046705,"('unkind', 'kind')",0.74023145,0.65293026,0.7327756,0.57005334,0.6427545,0.5178169,-0.1249376
33,-0.0006574765,-0.085570596,"('wrong', 'right')",0.61241174,0.56682473,0.101811625,0.010116503,0.2378553,0.1637902,-0.0740651
34,0.04457411,0.114989996,"('mean', 'honorable')",-0.0032169968,0.09076795,5.8036346,5.9863653,1.9483306,2.0640411,0.1157105
35,-1.2033424,-1.1978117,"('corrupt', 'incorrupt')",-0.41114312,-0.40143037,0.62165135,0.4656698,-0.3309447,-0.3778574,-0.0469127
