,affair_male,affair_female,tuple,average_male,average_female,female-male
0,0.13323677,-0.12998159,"('unsociable', 'sociable')",0.1332368,-0.1299816,-0.2632184
1,0.68101084,0.70355934,"('unfriendly', 'friendly')",0.6810108,0.7035593,0.0225485
2,0.20436774,0.31633174,"('unlikable', 'likable')",0.2043677,0.3163317,0.111964
3,0.72240657,0.74509466,"('repellent', 'pleasant')",0.7224066,0.7450947,0.0226881
4,-7.5854774,-7.532841,"('disliked', 'liked')",-7.5854774,-7.5328412,0.0526362
5,-1.2091858,-0.9919173,"('distant', 'outgoing')",-1.2091858,-0.9919173,0.2172685
6,-0.70420885,-0.5036497,"('distant', 'open')",-0.7042089,-0.5036497,0.2005592
7,0.61474353,0.6757428,"('insensitive', 'sensitive')",0.6147435,0.6757428,0.0609993
8,0.44338036,0.5489797,"('unaffectionate', 'affectionate')",0.4433804,0.5489797,0.1055993
9,1.1706322,1.320182,"('unaffectionate', 'caring')",1.1706322,1.320182,0.1495498
10,1.2307318,1.344626,"('unsympathetic', 'sympathetic')",1.2307318,1.3446259,0.1138941
11,2.2923274,2.3943877,"('unhelpful', 'helpful')",2.2923274,2.3943877,0.1020603
12,-2.1163955,-2.0219784,"('unsupportive', 'supportive')",-2.1163955,-2.0219784,0.0944171
13,0.29138196,0.1464499,"('impolite', 'polite')",0.291382,0.1464499,-0.1449321
14,0.23145217,-0.038799707,"('antisocial', 'social')",0.2314522,-0.0387997,-0.2702519
15,0.14269288,0.10682564,"('boring', 'funny')",0.1426929,0.1068256,-0.0358673
16,-0.680479,-0.63879585,"('unpopular', 'popular')",-0.680479,-0.6387959,0.0416831
17,-0.5349399,-0.44851488,"('nasty', 'nice')",-0.5349399,-0.4485149,0.086425
18,-1.4906527,-1.5120231,"('disagreeable', 'welcoming')",-1.4906527,-1.5120231,-0.0213704
19,-1.1674984,-0.8836694,"('inhospitable', 'hospitable')",-1.1674984,-0.8836694,0.283829
20,1.1390799,0.9026845,"('rough', 'thoughtful')",1.1390799,0.9026845,-0.2363954
