,jelly_male,jelly_female,tuple,average_male,average_female,female-male
0,-0.12531948,-0.0716722,"('unsociable', 'sociable')",-0.1253195,-0.0716722,0.0536473
1,1.0527165,0.9513453,"('unfriendly', 'friendly')",1.0527165,0.9513453,-0.1013712
2,-0.13200898,-0.07460229,"('unlikable', 'likable')",-0.132009,-0.0746023,0.0574067
3,0.7677873,0.86058307,"('repellent', 'pleasant')",0.7677873,0.8605831,0.0927958
4,-7.3389626,-7.516723,"('disliked', 'liked')",-7.3389626,-7.5167232,-0.1777606
5,-0.71886986,-0.7969987,"('distant', 'outgoing')",-0.7188699,-0.7969987,-0.0781288
6,-0.078723244,-0.24398358,"('distant', 'open')",-0.0787232,-0.2439836,-0.1652604
7,0.7552032,0.86075985,"('insensitive', 'sensitive')",0.7552032,0.8607599,0.1055567
8,1.0978917,0.9115353,"('unaffectionate', 'affectionate')",1.0978917,0.9115353,-0.1863564
9,1.183511,1.1411068,"('unaffectionate', 'caring')",1.183511,1.1411068,-0.0424042
10,1.1319604,1.2233993,"('unsympathetic', 'sympathetic')",1.1319604,1.2233993,0.0914389
11,1.2545543,1.3150235,"('unhelpful', 'helpful')",1.2545543,1.3150235,0.0604692
12,-1.8725876,-1.8935512,"('unsupportive', 'supportive')",-1.8725876,-1.8935512,-0.0209636
13,-0.18459311,-0.101141036,"('impolite', 'polite')",-0.1845931,-0.101141,0.0834521
14,0.468438,0.52436095,"('antisocial', 'social')",0.468438,0.524361,0.055923
15,0.046305798,-0.066877216,"('boring', 'funny')",0.0463058,-0.0668772,-0.113183
16,-0.5441096,-0.5918672,"('unpopular', 'popular')",-0.5441096,-0.5918672,-0.0477576
17,-0.5266701,-0.45106262,"('nasty', 'nice')",-0.5266701,-0.4510626,0.0756075
18,-0.16736639,-0.23336233,"('disagreeable', 'welcoming')",-0.1673664,-0.2333623,-0.0659959
19,-0.68108106,-0.80987114,"('inhospitable', 'hospitable')",-0.6810811,-0.8098711,-0.12879
20,1.0764258,1.0267901,"('rough', 'thoughtful')",1.0764258,1.0267901,-0.0496357
21,-0.2525285,-0.09377433,"('immoral', 'moral')",-0.2525285,-0.0937743,0.1587542
22,-0.27849457,-0.25561,"('untrustworthy', 'trustworthy')",-0.2784946,-0.25561,0.0228846
23,6.0658555,6.178867,"('insincere', 'sincere')",6.0658555,6.1788669,0.1130114
24,1.5547785,1.4694142,"('dishonest', 'honest')",1.5547785,1.4694142,-0.0853643
25,0.892362,0.7607919,"('egoistic', 'altruistic')",0.892362,0.7607919,-0.1315701
26,0.90430313,0.7954978,"('hardhearted', 'benevolent')",0.9043031,0.7954978,-0.1088053
27,1.6684494,1.486388,"('hardhearted', 'softhearted')",1.6684494,1.486388,-0.1820614
28,1.0029846,0.9743216,"('disloyal', 'loyal')",1.0029846,0.9743216,-0.028663
29,-0.6658457,-0.7801346,"('unfair', 'fair')",-0.6658457,-0.7801346,-0.1142889
30,0.90596795,0.9734399,"('intolerant', 'tolerant')",0.905968,0.9734399,0.0674719
31,-1.4356091,-1.552586,"('evil', 'good')",-1.4356091,-1.552586,-0.1169769
32,0.8878406,0.83848244,"('unkind', 'kind')",0.8878406,0.8384824,-0.0493582
33,-0.747772,-0.81183934,"('wrong', 'right')",-0.747772,-0.8118393,-0.0640673
34,4.2396593,4.391469,"('mean', 'honorable')",4.2396593,4.391469,0.1518097
35,-0.54225457,-0.8919749,"('corrupt', 'incorrupt')",-0.5422546,-0.8919749,-0.3497203
36,-0.92737967,-1.1033102,"('hostile', 'amicable')",-0.9273797,-1.1033102,-0.1759305
37,0.82133764,0.82019794,"('fake', 'genuine')",0.8213376,0.8201979,-0.0011397
38,-0.6508627,-0.60880435,"('untruthful', 'truthful')",-0.6508627,-0.6088043,0.0420584
39,0.62996745,0.64605284,"('exploitative', 'cooperative')",0.6299675,0.6460528,0.0160853
40,-1.1453983,-1.2760859,"('stingy', 'generous')",-1.1453983,-1.2760859,-0.1306876
41,-0.15223555,-0.14218168,"('unforgiving', 'forgiving')",-0.1522356,-0.1421817,0.0100539
42,-2.0167747,-2.045973,"('unreliable', 'reliable')",-2.0167747,-2.0459731,-0.0291984
43,0.73843694,0.82888377,"('irresponsible', 'responsible')",0.7384369,0.8288838,0.0904469
44,-0.5573979,-0.5336344,"('prejudiced', 'unprejudiced')",-0.5573979,-0.5336344,0.0237635
45,-0.038599443,-0.03251155,"('incompetent', 'competent')",-0.0385994,-0.0325116,0.0060878
46,-0.37727526,-0.30207673,"('uncompetitive', 'competitive')",-0.3772753,-0.3020767,0.0751986
47,4.84808,5.033172,"('stupid', 'smart')",4.8480802,5.0331721,0.1850919
48,0.2349676,0.28543973,"('unintelligent', 'intelligent')",0.2349676,0.2854397,0.0504721
49,-0.048982568,-0.030694999,"('unable', 'able')",-0.0489826,-0.030695,0.0182876
50,-0.61258566,-0.6880505,"('clumsy', 'skillful')",-0.6125857,-0.6880505,-0.0754648
51,0.5083268,0.45050102,"('uneducated', 'educated')",0.5083268,0.450501,-0.0578258
52,-0.5726154,-0.72017556,"('irrational', 'rational')",-0.5726154,-0.7201756,-0.1475602
53,-0.25307643,-0.35727063,"('uncreative', 'creative')",-0.2530764,-0.3572706,-0.1041942
54,0.8415171,0.85706043,"('incapable', 'capable')",0.8415171,0.8570604,0.0155433
55,0.9386511,1.0445436,"('incompetent', 'clever')",0.9386511,1.0445436,0.1058925
56,0.33642185,0.3908776,"('impractical', 'practical')",0.3364218,0.3908776,0.0544558
57,-2.702034,-2.6465178,"('unimaginative', 'imaginative')",-2.702034,-2.6465178,0.0555162
58,0.07278365,0.053083174,"('undiscriminating', 'discriminating')",0.0727836,0.0530832,-0.0197004
59,-0.44312277,-0.5010151,"('foolish', 'wise')",-0.4431228,-0.5010151,-0.0578923
60,0.39249235,0.6578466,"('inefficient', 'efficient')",0.3924924,0.6578466,0.2653542
61,0.21769223,0.103856295,"('illogical', 'logical')",0.2176922,0.1038563,-0.1138359
62,0.28493002,0.4298675,"('incompetent', 'brilliant')",0.28493,0.4298675,0.1449375
63,-0.11431675,-0.062146336,"('unperceptive', 'insightful')",-0.1143167,-0.0621463,0.0521704
64,-6.1100717,-6.0279856,"('shy', 'confident')",-6.1100717,-6.0279856,0.0820861
65,0.25274858,0.41877076,"('insecure', 'secure')",0.2527486,0.4187708,0.1660222
66,-0.07129777,-0.18360859,"('inactive', 'active')",-0.0712978,-0.1836086,-0.1123108
67,-0.5962938,-0.51381755,"('doubtful', 'determined')",-0.5962938,-0.5138175,0.0824763
68,-0.7139604,-0.75399464,"('dependent', 'independent')",-0.7139604,-0.7539946,-0.0400342
69,-2.2317722,-2.3384087,"('lazy', 'industrious')",-2.2317722,-2.3384087,-0.1066365
