,qlogic_male,qlogic_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.7661654,-0.94867045,"('unsociable', 'sociable')",-0.5608944,-0.6822598,-0.6635299,-0.8154651,-0.1519352
1,-0.27885452,-0.32350707,"('unfriendly', 'friendly')",1.8929211,1.831806,0.8070333,0.7541494,-0.0528839
2,0.06329814,0.08700782,"('unlikable', 'likable')",0.5635058,0.4766106,0.313402,0.2818092,-0.0315928
3,-0.14258415,0.043683954,"('repellent', 'pleasant')",0.9595189,1.0487164,0.4084674,0.5462002,0.1377328
4,0.056662716,0.10514093,"('disliked', 'liked')",-6.467382,-6.4725366,-3.2053597,-3.1836977,0.021662
5,-0.3000647,-0.33565763,"('distant', 'outgoing')",0.03268142,0.17526093,-0.1336916,-0.0801983,0.0534933
6,-0.43880436,-0.44778913,"('distant', 'open')",-0.11637753,-0.0132816825,-0.2775909,-0.2305354,0.0470555
7,-0.4545693,-0.309753,"('insensitive', 'sensitive')",0.28932196,0.40128595,-0.0826237,0.0457665,0.1283902
8,-0.4216579,-0.3792166,"('unaffectionate', 'affectionate')",1.0119548,0.98283494,0.2951484,0.3018092,0.0066608
9,-0.25367737,-0.17776084,"('unaffectionate', 'caring')",1.4754069,1.5914401,0.6108648,0.7068396,0.0959748
10,-1.8116628,-1.8871,"('unsympathetic', 'sympathetic')",-1.2661009,-1.3167439,-1.5388818,-1.6019219,-0.0630401
11,-0.35945013,-0.3687426,"('unhelpful', 'helpful')",1.5213574,1.6119022,0.5809537,0.6215798,0.0406261
12,0.1557282,0.2532497,"('unsupportive', 'supportive')",-2.0095868,-1.8969749,-0.9269293,-0.8218626,0.1050667
13,-0.8649742,-1.1614695,"('impolite', 'polite')",-1.219887,-1.3453329,-1.0424306,-1.2534012,-0.2109706
14,0.22056866,0.26161242,"('antisocial', 'social')",-0.2857611,-0.38891786,-0.0325962,-0.0636527,-0.0310565
15,0.21757013,0.14195195,"('boring', 'funny')",0.031446412,0.0086257495,0.1245083,0.0752888,-0.0492195
16,-0.36286324,-0.30779156,"('unpopular', 'popular')",0.5276486,0.5397172,0.0823927,0.1159628,0.0335701
17,-0.118675716,-0.089645,"('nasty', 'nice')",-0.6115828,-0.58965707,-0.3651293,-0.339651,0.0254783
18,0.040416166,0.06902583,"('disagreeable', 'welcoming')",-0.23159292,-0.2147609,-0.0955884,-0.0728675,0.0227209
19,-0.54822946,-0.52458996,"('inhospitable', 'hospitable')",-0.061347917,-0.010663936,-0.3047887,-0.2676269,0.0371618
20,0.42118204,0.39821053,"('rough', 'thoughtful')",0.7991365,0.7925809,0.6101593,0.5953957,-0.0147636
21,-0.052002102,-0.14665093,"('immoral', 'moral')",-0.78167117,-0.7930119,-0.4168366,-0.4698314,-0.0529948
22,0.12219412,0.066862226,"('untrustworthy', 'trustworthy')",-0.94810826,-0.9975987,-0.4129571,-0.4653682,-0.0524111
23,0.068719506,0.07051809,"('insincere', 'sincere')",5.9693637,6.046883,3.0190415,3.0587006,0.0396591
24,-0.30048203,-0.25252378,"('dishonest', 'honest')",0.46258214,0.5456916,0.0810501,0.1465839,0.0655338
25,0.30799356,0.49005687,"('egoistic', 'altruistic')",1.5424376,1.578297,0.9252155,1.0341769,0.1089614
26,0.16783783,0.00899205,"('hardhearted', 'benevolent')",1.6136658,1.3007461,0.8907518,0.6548691,-0.2358827
27,-0.036468215,-0.057567738,"('hardhearted', 'softhearted')",1.4632399,1.348827,0.7133858,0.6456296,-0.0677562
28,-0.0128501505,0.09230594,"('disloyal', 'loyal')",1.0435772,1.0997521,0.5153635,0.596029,0.0806655
29,0.12765527,0.14049445,"('unfair', 'fair')",-0.075994134,-0.23617987,0.0258306,-0.0478427,-0.0736733
30,0.44778493,0.41101027,"('intolerant', 'tolerant')",0.4286828,0.3807603,0.4382339,0.3958853,-0.0423486
31,0.08446567,0.16272752,"('evil', 'good')",-0.08564565,-0.184912,-0.00059,-0.0110922,-0.0105022
32,-0.29785803,-0.40486264,"('unkind', 'kind')",0.6149277,0.37010878,0.1585348,-0.0173769,-0.1759117
33,0.2509499,0.19755039,"('wrong', 'right')",-0.2817801,-0.25002804,-0.0154151,-0.0262388,-0.0108237
34,-0.15015681,-0.028451968,"('mean', 'honorable')",5.5770516,5.817101,2.7134473,2.8943245,0.1808772
35,-0.10557596,-0.042131558,"('corrupt', 'incorrupt')",-0.09428565,-0.039447267,-0.0999308,-0.0407894,0.0591414
36,-0.26187825,-0.23067325,"('hostile', 'amicable')",0.3508863,0.23887755,0.044504,0.0041021,-0.0404019
37,-0.36264586,-0.34835672,"('fake', 'genuine')",0.058046162,0.1039438,-0.1522999,-0.1222065,0.0300934
38,-0.40367222,-0.36411834,"('untruthful', 'truthful')",-0.045796115,0.12856853,-0.2247342,-0.1177749,0.1069593
