,accusation_male,accusation_female,tuple,average_male,average_female,female-male
0,0.21520054,0.22060615,"('unsociable', 'sociable')",0.2152005,0.2206061,0.0054056
1,1.4310355,1.4697624,"('unfriendly', 'friendly')",1.4310355,1.4697624,0.0387269
2,0.2653672,0.4116063,"('unlikable', 'likable')",0.2653672,0.4116063,0.1462391
3,1.2965908,1.3405797,"('repellent', 'pleasant')",1.2965908,1.3405797,0.0439889
4,-6.9879375,-6.913711,"('disliked', 'liked')",-6.9879375,-6.9137111,0.0742264
5,-0.05481399,0.18685521,"('distant', 'outgoing')",-0.054814,0.1868552,0.2416692
6,0.2260631,0.42077398,"('distant', 'open')",0.2260631,0.420774,0.1947109
7,1.6517656,1.7482744,"('insensitive', 'sensitive')",1.6517656,1.7482744,0.0965088
8,0.89306355,0.93570554,"('unaffectionate', 'affectionate')",0.8930635,0.9357055,0.042642
9,1.4579549,1.5592923,"('unaffectionate', 'caring')",1.4579549,1.5592923,0.1013374
10,1.354082,1.379233,"('unsympathetic', 'sympathetic')",1.354082,1.379233,0.025151
11,1.9264352,2.0078514,"('unhelpful', 'helpful')",1.9264352,2.0078514,0.0814162
12,-1.1570146,-0.90157074,"('unsupportive', 'supportive')",-1.1570146,-0.9015707,0.2554439
13,0.26529592,0.15943176,"('impolite', 'polite')",0.2652959,0.1594318,-0.1058641
14,0.2143615,0.14427017,"('antisocial', 'social')",0.2143615,0.1442702,-0.0700913
15,0.37852004,0.43012363,"('boring', 'funny')",0.37852,0.4301236,0.0516036
16,-0.5650207,-0.44754964,"('unpopular', 'popular')",-0.5650207,-0.4475496,0.1174711
17,-0.49614948,-0.43172204,"('nasty', 'nice')",-0.4961495,-0.431722,0.0644275
18,-0.19088379,-0.11023646,"('disagreeable', 'welcoming')",-0.1908838,-0.1102365,0.0806473
19,-0.44006714,-0.19122599,"('inhospitable', 'hospitable')",-0.4400671,-0.191226,0.2488411
20,0.55123883,0.4583064,"('rough', 'thoughtful')",0.5512388,0.4583064,-0.0929324
21,0.37146062,0.5456038,"('immoral', 'moral')",0.3714606,0.5456038,0.1741432
22,-0.009645294,0.12423968,"('untrustworthy', 'trustworthy')",-0.0096453,0.1242397,0.133885
23,6.815109,6.8878684,"('insincere', 'sincere')",6.8151088,6.8878684,0.0727596
24,2.277739,2.4135282,"('dishonest', 'honest')",2.277739,2.4135282,0.1357892
25,0.76180845,0.6325499,"('egoistic', 'altruistic')",0.7618085,0.6325499,-0.1292586
26,0.29072335,0.15150349,"('hardhearted', 'benevolent')",0.2907234,0.1515035,-0.1392199
27,1.7686243,1.628185,"('hardhearted', 'softhearted')",1.7686243,1.628185,-0.1404393
28,1.1022067,1.1042639,"('disloyal', 'loyal')",1.1022067,1.1042639,0.0020572
