,perkinelmer_male,perkinelmer_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.13814975,-0.32957447,"('unsociable', 'sociable')",-0.270377,-0.4706933,-0.2042634,-0.4001339,-0.1958705
1,-1.6212932,-1.7487466,"('unfriendly', 'friendly')",1.5930091,1.4110491,-0.014142,-0.1688488,-0.1547068
2,0.6987051,0.6940643,"('unlikable', 'likable')",0.6081358,0.66526717,0.6534204,0.6796657,0.0262453
3,-0.6925505,-0.6501087,"('repellent', 'pleasant')",-0.039009586,0.054916054,-0.36578,-0.2975963,0.0681837
4,-0.028596982,-0.05747854,"('disliked', 'liked')",-5.7242355,-5.691477,-2.8764162,-2.8744776,0.0019386
5,-1.450688,-1.4111745,"('distant', 'outgoing')",-0.06295971,-0.07891433,-0.7568238,-0.7450444,0.0117794
6,-1.7561839,-1.7312808,"('distant', 'open')",0.19843787,0.13607392,-0.778873,-0.7976034,-0.0187304
7,-0.5013137,-0.47671014,"('insensitive', 'sensitive')",0.3578623,0.40361944,-0.0717257,-0.0365454,0.0351803
8,-1.5595614,-1.6137824,"('unaffectionate', 'affectionate')",0.6115275,0.5216123,-0.4740169,-0.5460851,-0.0720682
9,-1.6661603,-1.7115785,"('unaffectionate', 'caring')",0.81668615,0.78530395,-0.4247371,-0.4631373,-0.0384002
10,-1.1395259,-1.1997435,"('unsympathetic', 'sympathetic')",-0.35148722,-0.42982,-0.7455065,-0.8147818,-0.0692753
11,-0.42043373,-0.43008462,"('unhelpful', 'helpful')",1.5946457,1.6216846,0.587106,0.5958,0.008694
12,-0.32569408,-0.28721386,"('unsupportive', 'supportive')",-1.7952375,-1.7546203,-1.0604658,-1.0209171,0.0395487
13,0.11238953,0.026080264,"('impolite', 'polite')",-0.3268578,-0.32600915,-0.1072341,-0.1499645,-0.0427304
14,0.6775975,0.6383591,"('antisocial', 'social')",-0.34460434,-0.36683553,0.1664966,0.1357618,-0.0307348
15,0.38745394,0.31661844,"('boring', 'funny')",0.692954,0.6829652,0.540204,0.4997918,-0.0404122
16,-0.5683357,-0.53012484,"('unpopular', 'popular')",0.6497214,0.6853071,0.0406928,0.0775911,0.0368983
17,0.09137513,0.113757014,"('nasty', 'nice')",-0.2838884,-0.20302539,-0.0962566,-0.0446342,0.0516224
18,-0.06755713,-0.04906703,"('disagreeable', 'welcoming')",-0.15169758,-0.19173357,-0.1096274,-0.1204003,-0.0107729
19,-1.5137471,-1.5184643,"('inhospitable', 'hospitable')",-0.010650177,-0.04164698,-0.7621986,-0.7800556,-0.017857
20,-0.16678962,-0.09863475,"('rough', 'thoughtful')",1.1618761,1.1283721,0.4975432,0.5148687,0.0173255
21,-0.026517536,-0.0990744,"('immoral', 'moral')",-0.49676317,-0.49872142,-0.2616403,-0.2988979,-0.0372576
22,-0.35113254,-0.39011818,"('untrustworthy', 'trustworthy')",-0.8944882,-0.96389157,-0.6228104,-0.6770049,-0.0541945
23,-0.9939134,-1.084467,"('insincere', 'sincere')",5.136068,5.0874605,2.0710773,2.0014968,-0.0695805
24,-0.99217707,-1.0351511,"('dishonest', 'honest')",0.5415197,0.48676178,-0.2253287,-0.2741947,-0.048866
25,-0.7283333,-0.6943305,"('egoistic', 'altruistic')",1.2371693,1.2345159,0.254418,0.2700927,0.0156747
26,-0.2420488,-0.3221347,"('hardhearted', 'benevolent')",1.5327142,1.3915049,0.6453327,0.5346851,-0.1106476
27,-0.62824786,-0.51340485,"('hardhearted', 'softhearted')",1.2882081,1.2643319,0.3299801,0.3754635,0.0454834
28,-0.5590863,-0.6499231,"('disloyal', 'loyal')",0.63783205,0.5435643,0.0393729,-0.0531794,-0.0925523
29,-0.5685631,-0.57078886,"('unfair', 'fair')",-0.4073071,-0.55683917,-0.4879351,-0.563814,-0.0758789
30,0.56709707,0.4682865,"('intolerant', 'tolerant')",1.6630418,1.5768969,1.1150694,1.0225917,-0.0924777
31,-1.2648612,-1.2071009,"('evil', 'good')",-0.9051227,-1.009973,-1.0849919,-1.108537,-0.0235451
32,-0.050311632,-0.12153623,"('unkind', 'kind')",0.8510761,0.74793255,0.4003823,0.3131981,-0.0871842
33,0.044838082,-0.035451762,"('wrong', 'right')",-0.44558448,-0.46938264,-0.2003732,-0.2524172,-0.052044
34,-0.66080755,-0.5749025,"('mean', 'honorable')",5.9352474,5.980386,2.6372199,2.7027416,0.0655217
35,-0.5397726,-0.556914,"('corrupt', 'incorrupt')",-0.04274343,-0.1330873,-0.291258,-0.3450006,-0.0537426
36,-1.5891461,-1.6633724,"('hostile', 'amicable')",0.19413485,-0.02439928,-0.6975057,-0.8438858,-0.1463801
37,0.14241281,0.12048416,"('fake', 'genuine')",0.15011019,0.16326006,0.1462615,0.1418721,-0.0043894
38,-1.0812953,-1.1243181,"('untruthful', 'truthful')",-0.0047707185,0.06242442,-0.543033,-0.5309469,0.0120861
39,0.6573342,0.6610979,"('exploitative', 'cooperative')",0.12943222,0.15982364,0.3933832,0.4104608,0.0170776
40,0.44592515,0.44665506,"('stingy', 'generous')",-1.3413528,-1.3613964,-0.4477139,-0.4573707,-0.0096568
41,0.011774511,-0.027108679,"('unforgiving', 'forgiving')",0.20881373,0.1176867,0.1102941,0.045289,-0.0650051
42,0.4353926,0.47130835,"('unreliable', 'reliable')",-3.1453524,-3.0251026,-1.3549799,-1.2768972,0.0780827
43,-0.30848324,-0.3210485,"('irresponsible', 'responsible')",0.45194533,0.39611685,0.071731,0.0375342,-0.0341968
44,0.703376,0.74017245,"('prejudiced', 'unprejudiced')",-1.4424353,-1.4074718,-0.3695296,-0.3336497,0.0358799
45,-0.057582214,-0.0948315,"('incompetent', 'competent')",-0.22214969,-0.25739902,-0.1398659,-0.1761153,-0.0362494
46,-0.2788299,-0.28286448,"('uncompetitive', 'competitive')",-0.66341203,-0.67133194,-0.471121,-0.4770982,-0.0059772
