,contingency_male,contingency_female,tuple,average_male,average_female,female-male
0,-1.2671326,-1.3624969,"('unsociable', 'sociable')",-1.2671326,-1.3624969,-0.0953643
1,-0.6921531,-0.73751533,"('unfriendly', 'friendly')",-0.6921531,-0.7375153,-0.0453622
2,0.09662349,0.097961456,"('unlikable', 'likable')",0.0966235,0.0979615,0.001338
3,-1.3615909,-1.2606931,"('repellent', 'pleasant')",-1.3615909,-1.2606931,0.1008978
4,-2.1568425,-2.071464,"('disliked', 'liked')",-2.1568425,-2.0714641,0.0853784
5,-0.18402763,-0.19743845,"('distant', 'outgoing')",-0.1840276,-0.1974384,-0.0134108
6,-0.2926604,-0.3056845,"('distant', 'open')",-0.2926604,-0.3056845,-0.0130241
7,-0.53444755,-0.4205532,"('insensitive', 'sensitive')",-0.5344476,-0.4205532,0.1138944
8,-0.75190383,-0.8539182,"('unaffectionate', 'affectionate')",-0.7519038,-0.8539182,-0.1020144
9,-0.6751048,-0.68757105,"('unaffectionate', 'caring')",-0.6751048,-0.687571,-0.0124662
10,-1.893948,-1.9724524,"('unsympathetic', 'sympathetic')",-1.893948,-1.9724524,-0.0785044
11,0.3162903,0.33740687,"('unhelpful', 'helpful')",0.3162903,0.3374069,0.0211166
12,-1.2084255,-1.0630462,"('unsupportive', 'supportive')",-1.2084255,-1.0630462,0.1453793
13,-0.9017842,-1.0059742,"('impolite', 'polite')",-0.9017842,-1.0059742,-0.10419
14,0.3149464,0.30866984,"('antisocial', 'social')",0.3149464,0.3086698,-0.0062766
15,0.763893,0.62110955,"('boring', 'funny')",0.763893,0.6211095,-0.1427835
16,-0.7883423,-0.5816021,"('unpopular', 'popular')",-0.7883423,-0.5816021,0.2067402
17,-0.4678235,-0.3866707,"('nasty', 'nice')",-0.4678235,-0.3866707,0.0811528
18,-0.3450959,-0.24423926,"('disagreeable', 'welcoming')",-0.3450959,-0.2442393,0.1008566
19,-1.1974245,-1.1288785,"('inhospitable', 'hospitable')",-1.1974245,-1.1288785,0.068546
20,0.76109916,0.79703665,"('rough', 'thoughtful')",0.7610992,0.7970366,0.0359374
21,-0.853213,-0.80722195,"('immoral', 'moral')",-0.853213,-0.8072219,0.0459911
22,0.15119702,0.24726398,"('untrustworthy', 'trustworthy')",0.151197,0.247264,0.096067
23,0.9762315,0.952034,"('insincere', 'sincere')",0.9762315,0.952034,-0.0241975
24,-0.71621466,-0.7242386,"('dishonest', 'honest')",-0.7162147,-0.7242386,-0.0080239
25,1.3787978,1.4434013,"('egoistic', 'altruistic')",1.3787978,1.4434013,0.0646035
26,1.7351772,1.4638569,"('hardhearted', 'benevolent')",1.7351772,1.4638569,-0.2713203
27,0.44066036,0.39733556,"('hardhearted', 'softhearted')",0.4406604,0.3973356,-0.0433248
28,-0.74865794,-0.79178673,"('disloyal', 'loyal')",-0.7486579,-0.7917867,-0.0431288
29,-0.09428514,-0.15441594,"('unfair', 'fair')",-0.0942851,-0.1544159,-0.0601308
30,-0.8400447,-0.9079881,"('intolerant', 'tolerant')",-0.8400447,-0.9079881,-0.0679434
31,-0.71798426,-0.6685561,"('evil', 'good')",-0.7179843,-0.6685561,0.0494282
32,-0.05733931,-0.23958673,"('unkind', 'kind')",-0.0573393,-0.2395867,-0.1822474
33,0.7850256,0.77665895,"('wrong', 'right')",0.7850256,0.776659,-0.0083666
34,1.1538963,1.3348573,"('mean', 'honorable')",1.1538963,1.3348573,0.180961
35,0.81956315,0.88294595,"('corrupt', 'incorrupt')",0.8195632,0.882946,0.0633828
36,-0.11877631,-0.055934258,"('hostile', 'amicable')",-0.1187763,-0.0559343,0.062842
37,-0.30387253,-0.2335225,"('fake', 'genuine')",-0.3038725,-0.2335225,0.07035
38,-0.34795776,-0.33664978,"('untruthful', 'truthful')",-0.3479578,-0.3366498,0.011308
39,0.12400764,0.16092479,"('exploitative', 'cooperative')",0.1240076,0.1609248,0.0369172
40,-0.90308017,-0.88718307,"('stingy', 'generous')",-0.9030802,-0.8871831,0.0158971
41,-0.053071115,-0.072457604,"('unforgiving', 'forgiving')",-0.0530711,-0.0724576,-0.0193865
