,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.7810622,-1.9224521,"('unsociable', 'sociable')",-0.010400092,-0.15716168,-0.8957312,-1.0398068,-0.1440756
1,-0.27283278,-0.3456298,"('unfriendly', 'friendly')",1.2079878,1.0626312,0.4675775,0.3585007,-0.1090768
2,0.11240415,0.11977538,"('unlikable', 'likable')",0.7352209,0.82218546,0.4238125,0.4709804,0.0471679
3,-1.6692566,-1.6481569,"('repellent', 'pleasant')",0.39650497,0.4406786,-0.6363758,-0.6037391,0.0326367
4,0.7103599,0.6626702,"('disliked', 'liked')",-7.061626,-7.236379,-3.175633,-3.2868545,-0.1112215
5,1.1859285,1.2080654,"('distant', 'outgoing')",-0.69331694,-0.6402794,0.2463058,0.283893,0.0375872
6,1.3208052,1.3808113,"('distant', 'open')",-0.6479151,-0.6121829,0.336445,0.3843142,0.0478692
7,-1.0337788,-1.0360341,"('insensitive', 'sensitive')",-0.08454442,-0.039912764,-0.5591616,-0.5379735,0.0211881
8,-0.42606747,-0.48990676,"('unaffectionate', 'affectionate')",0.3169216,0.23704025,-0.0545729,-0.1264333,-0.0718604
9,-0.2971547,-0.3735284,"('unaffectionate', 'caring')",0.9874641,0.9239651,0.3451547,0.2752184,-0.0699363
10,-2.4176366,-2.475389,"('unsympathetic', 'sympathetic')",-0.048689693,-0.12892812,-1.2331631,-1.3021586,-0.0689955
11,-1.4034797,-1.4350244,"('unhelpful', 'helpful')",1.9754862,2.0236707,0.2860032,0.2943231,0.0083199
12,-0.7354165,-0.7728872,"('unsupportive', 'supportive')",-2.1139946,-2.0697956,-1.4247055,-1.4213414,0.0033641
13,-0.90617734,-0.9685946,"('impolite', 'polite')",0.08290443,0.11993563,-0.4116365,-0.4243295,-0.012693
14,-1.7244066,-1.8393741,"('antisocial', 'social')",-0.17483686,-0.19681749,-0.9496217,-1.0180957,-0.068474
15,0.2177457,0.18704441,"('boring', 'funny')",0.5807559,0.5891173,0.3992508,0.3880808,-0.01117
16,0.15806729,0.15184598,"('unpopular', 'popular')",-0.14889964,-0.18632387,0.0045838,-0.0172389,-0.0218227
17,-0.2661984,-0.18388164,"('nasty', 'nice')",-0.37208006,-0.35606575,-0.3191392,-0.2699737,0.0491655
18,0.00071727857,0.03114887,"('disagreeable', 'welcoming')",-1.0901145,-1.0922763,-0.5446986,-0.5305637,0.0141349
