,dome_male,dome_female,tuple,average_male,average_female,female-male
0,0.24451454,0.25384784,"('unsociable', 'sociable')",0.2445145,0.2538478,0.0093333
1,1.3772175,1.4616582,"('unfriendly', 'friendly')",1.3772175,1.4616582,0.0844407
2,0.5720437,0.7325534,"('unlikable', 'likable')",0.5720437,0.7325534,0.1605097
3,0.9717995,1.0999249,"('repellent', 'pleasant')",0.9717995,1.0999249,0.1281254
4,-7.22067,-7.1600986,"('disliked', 'liked')",-7.2206702,-7.1600986,0.0605716
5,-0.44539797,-0.25646576,"('distant', 'outgoing')",-0.445398,-0.2564658,0.1889322
6,-0.04179304,0.093902096,"('distant', 'open')",-0.041793,0.0939021,0.1356951
7,1.4472606,1.5021182,"('insensitive', 'sensitive')",1.4472606,1.5021182,0.0548576
8,1.1576982,1.1239338,"('unaffectionate', 'affectionate')",1.1576982,1.1239338,-0.0337644
9,1.4259063,1.4942443,"('unaffectionate', 'caring')",1.4259063,1.4942443,0.068338
10,1.7589298,1.630493,"('unsympathetic', 'sympathetic')",1.7589298,1.630493,-0.1284368
11,1.9095452,1.913972,"('unhelpful', 'helpful')",1.9095452,1.913972,0.0044268
12,-1.0549343,-0.9694743,"('unsupportive', 'supportive')",-1.0549343,-0.9694743,0.08546
13,0.17290099,0.15326005,"('impolite', 'polite')",0.172901,0.1532601,-0.0196409
14,0.05414841,0.08860531,"('antisocial', 'social')",0.0541484,0.0886053,0.0344569
15,0.08752748,0.13566047,"('boring', 'funny')",0.0875275,0.1356605,0.048133
16,-0.58110523,-0.3898714,"('unpopular', 'popular')",-0.5811052,-0.3898714,0.1912338
17,0.07657305,0.09327714,"('nasty', 'nice')",0.0765731,0.0932771,0.016704
18,-0.60426146,-0.49097002,"('disagreeable', 'welcoming')",-0.6042615,-0.49097,0.1132915
19,-0.3097064,-0.23290943,"('inhospitable', 'hospitable')",-0.3097064,-0.2329094,0.076797
20,0.67034864,0.59134436,"('rough', 'thoughtful')",0.6703486,0.5913444,-0.0790042
21,0.1746953,0.27000993,"('immoral', 'moral')",0.1746953,0.2700099,0.0953146
22,0.12010046,0.13105932,"('untrustworthy', 'trustworthy')",0.1201005,0.1310593,0.0109588
23,6.2756233,6.4501467,"('insincere', 'sincere')",6.2756233,6.4501467,0.1745234
24,1.9596703,1.9954357,"('dishonest', 'honest')",1.9596703,1.9954357,0.0357654
25,0.23867871,0.28481385,"('egoistic', 'altruistic')",0.2386787,0.2848139,0.0461352
26,0.43415213,0.27081066,"('hardhearted', 'benevolent')",0.4341521,0.2708107,-0.1633414
27,1.982379,1.8538808,"('hardhearted', 'softhearted')",1.982379,1.8538808,-0.1284982
28,1.1331875,1.100024,"('disloyal', 'loyal')",1.1331875,1.100024,-0.0331635
29,-0.19212869,-0.28941876,"('unfair', 'fair')",-0.1921287,-0.2894188,-0.0972901
30,1.2430335,1.2063038,"('intolerant', 'tolerant')",1.2430335,1.2063038,-0.0367297
31,-1.199691,-1.1352601,"('evil', 'good')",-1.1996911,-1.1352601,0.064431
32,1.3578993,1.2692457,"('unkind', 'kind')",1.3578993,1.2692457,-0.0886536
33,-1.0072294,-0.8627018,"('wrong', 'right')",-1.0072294,-0.8627018,0.1445276
34,4.332918,4.597856,"('mean', 'honorable')",4.3329182,4.597856,0.2649378
35,-1.1338786,-1.2377472,"('corrupt', 'incorrupt')",-1.1338786,-1.2377472,-0.1038686
36,-0.7212321,-0.7975406,"('hostile', 'amicable')",-0.7212321,-0.7975406,-0.0763085
37,0.765316,0.7391802,"('fake', 'genuine')",0.765316,0.7391802,-0.0261358
38,-0.11745227,-0.058915146,"('untruthful', 'truthful')",-0.1174523,-0.0589151,0.0585372
39,-0.180692,-0.12200791,"('exploitative', 'cooperative')",-0.180692,-0.1220079,0.0586841
40,-1.070403,-1.0575149,"('stingy', 'generous')",-1.070403,-1.0575149,0.0128881
41,0.14251196,0.041566156,"('unforgiving', 'forgiving')",0.142512,0.0415662,-0.1009458
42,-1.5205845,-1.5691288,"('unreliable', 'reliable')",-1.5205845,-1.5691288,-0.0485443
43,1.5091786,1.5127892,"('irresponsible', 'responsible')",1.5091786,1.5127892,0.0036106
44,-1.3921293,-1.5111363,"('prejudiced', 'unprejudiced')",-1.3921293,-1.5111363,-0.119007
45,0.3558462,0.39763352,"('incompetent', 'competent')",0.3558462,0.3976335,0.0417873
46,-0.36207747,-0.34027344,"('uncompetitive', 'competitive')",-0.3620775,-0.3402734,0.0218041
47,5.6210628,5.8951845,"('stupid', 'smart')",5.6210628,5.8951845,0.2741217
48,1.2813106,1.2106233,"('unintelligent', 'intelligent')",1.2813106,1.2106233,-0.0706873
49,-0.08353965,0.15219285,"('unable', 'able')",-0.0835396,0.1521928,0.2357324
50,-0.05768258,-0.02422035,"('clumsy', 'skillful')",-0.0576826,-0.0242203,0.0334623
51,0.66711783,0.68124884,"('uneducated', 'educated')",0.6671178,0.6812488,0.014131
52,-0.3755667,-0.34007078,"('irrational', 'rational')",-0.3755667,-0.3400708,0.0354959
53,0.42695996,0.4786415,"('uncreative', 'creative')",0.42696,0.4786415,0.0516815
54,1.0954608,1.2806829,"('incapable', 'capable')",1.0954608,1.2806829,0.1852221
55,0.97220796,1.0131907,"('incompetent', 'clever')",0.972208,1.0131907,0.0409827
56,0.43619746,0.54109704,"('impractical', 'practical')",0.4361975,0.541097,0.1048995
57,-2.2242334,-2.250814,"('unimaginative', 'imaginative')",-2.2242334,-2.250814,-0.0265806
58,0.090639554,0.024067279,"('undiscriminating', 'discriminating')",0.0906396,0.0240673,-0.0665723
59,0.19526652,0.31330788,"('foolish', 'wise')",0.1952665,0.3133079,0.1180414
60,0.44858444,0.57946676,"('inefficient', 'efficient')",0.4485844,0.5794668,0.1308824
61,0.69965637,0.6239549,"('illogical', 'logical')",0.6996564,0.6239549,-0.0757015
62,1.2200131,1.4297165,"('incompetent', 'brilliant')",1.2200131,1.4297165,0.2097034
63,0.9016064,1.0360992,"('unperceptive', 'insightful')",0.9016064,1.0360992,0.1344928
64,-5.7634497,-5.7247224,"('shy', 'confident')",-5.7634497,-5.7247224,0.0387273
65,1.2059511,1.1667186,"('insecure', 'secure')",1.2059511,1.1667186,-0.0392325
66,0.08590826,-0.008160301,"('inactive', 'active')",0.0859083,-0.0081603,-0.0940686
67,-0.936779,-0.8776394,"('doubtful', 'determined')",-0.936779,-0.8776394,0.0591396
68,-0.32068872,-0.19112827,"('dependent', 'independent')",-0.3206887,-0.1911283,0.1295604
69,-2.0124068,-1.8625792,"('lazy', 'industrious')",-2.0124068,-1.8625792,0.1498276
70,1.7694715,1.7586286,"('lethargic', 'energetic')",1.7694715,1.7586286,-0.0108429
71,0.2090856,0.46990117,"('diffident', 'self-confident')",0.2090856,0.4699012,0.2608156
72,1.152032,1.2482864,"('unambitious', 'ambitious')",1.152032,1.2482864,0.0962544
73,-3.0020778,-2.8990068,"('helpless', 'self-reliant')",-3.0020778,-2.8990068,0.103071
74,0.3397367,0.3121783,"('undedicated', 'dedicated')",0.3397367,0.3121783,-0.0275584
75,-0.8344813,-0.79736036,"('meek', 'impulsive')",-0.8344813,-0.7973604,0.0371209
76,1.1124697,0.9967787,"('anxious', 'daring')",1.1124697,0.9967787,-0.115691
77,-1.1813545,-1.0787528,"('unmotivated', 'motivated')",-1.1813545,-1.0787528,0.1026017
78,-0.3523087,-0.2957872,"('nonresilient', 'resilient')",-0.3523087,-0.2957872,0.0565215
79,-0.07951439,-0.12836511,"('wavering', 'unwavering')",-0.0795144,-0.1283651,-0.0488507
80,0.091072746,0.011194873,"('dominated', 'dominating')",0.0910727,0.0111949,-0.0798778
81,0.41837347,0.38032869,"('submissive', 'aggressive')",0.4183735,0.3803287,-0.0380448
82,6.2632155,6.554448,"('poor', 'rich')",6.2632155,6.5544481,0.2912326
83,-0.40822423,-0.46366006,"('powerless', 'powerful')",-0.4082242,-0.4636601,-0.0554359
84,0.18842955,0.17641193,"('inferior', 'superior')",0.1884295,0.1764119,-0.0120176
85,-1.0224282,-1.091439,"('insignificant', 'prestigious')",-1.0224282,-1.091439,-0.0690108
86,0.66883373,0.6568974,"('uninfluential', 'influential')",0.6688337,0.6568974,-0.0119363
87,0.105430186,0.31993493,"('unsuccessful', 'successful')",0.1054302,0.3199349,0.2145047
88,0.12606245,0.1560128,"('low', 'eminent')",0.1260625,0.1560128,0.0299503
