,buck_male,buck_female,tuple,average_male,average_female,female-male
0,0.2223715,0.1934075,"('unsociable', 'sociable')",0.2223715,0.1934075,-0.028964
1,1.7290424,1.7582941,"('unfriendly', 'friendly')",1.7290424,1.7582941,0.0292517
2,0.41140163,0.56634384,"('unlikable', 'likable')",0.4114016,0.5663438,0.1549422
3,0.6579203,0.88836056,"('repellent', 'pleasant')",0.6579203,0.8883606,0.2304403
4,-6.7159877,-6.7290316,"('disliked', 'liked')",-6.7159877,-6.7290316,-0.0130439
5,-0.007648073,0.28680605,"('distant', 'outgoing')",-0.0076481,0.286806,0.2944541
6,0.31549427,0.52655506,"('distant', 'open')",0.3154943,0.5265551,0.2110608
7,1.4938174,1.5441152,"('insensitive', 'sensitive')",1.4938174,1.5441152,0.0502978
8,1.0660853,1.0945619,"('unaffectionate', 'affectionate')",1.0660853,1.0945619,0.0284766
9,1.6629925,1.8330766,"('unaffectionate', 'caring')",1.6629925,1.8330766,0.1700841
10,1.2422981,1.1988821,"('unsympathetic', 'sympathetic')",1.2422981,1.1988821,-0.043416
11,1.7701769,1.9367499,"('unhelpful', 'helpful')",1.7701769,1.9367499,0.166573
12,-1.2054517,-1.0319176,"('unsupportive', 'supportive')",-1.2054517,-1.0319176,0.1735341
13,0.14993997,0.13263994,"('impolite', 'polite')",0.14994,0.1326399,-0.0173001
14,-0.1808045,-0.19968967,"('antisocial', 'social')",-0.1808045,-0.1996897,-0.0188852
15,0.7233006,0.70469236,"('boring', 'funny')",0.7233006,0.7046924,-0.0186082
16,-0.47321647,-0.3607954,"('unpopular', 'popular')",-0.4732165,-0.3607954,0.1124211
17,-0.173742,-0.083666734,"('nasty', 'nice')",-0.173742,-0.0836667,0.0900753
18,-0.15259168,-0.08591665,"('disagreeable', 'welcoming')",-0.1525917,-0.0859167,0.066675
19,-0.07203139,0.16259196,"('inhospitable', 'hospitable')",-0.0720314,0.162592,0.2346234
20,0.43883547,0.35361993,"('rough', 'thoughtful')",0.4388355,0.3536199,-0.0852156
21,0.0019592494,0.22733311,"('immoral', 'moral')",0.0019592,0.2273331,0.2253739
22,-0.07824541,0.044418726,"('untrustworthy', 'trustworthy')",-0.0782454,0.0444187,0.1226641
23,6.4293957,6.661269,"('insincere', 'sincere')",6.4293957,6.6612692,0.2318735
24,1.8482035,2.0210333,"('dishonest', 'honest')",1.8482035,2.0210333,0.1728298
25,1.0335785,0.9951953,"('egoistic', 'altruistic')",1.0335785,0.9951953,-0.0383832
26,0.6089927,0.2710192,"('hardhearted', 'benevolent')",0.6089927,0.2710192,-0.3379735
27,1.8602147,1.7170852,"('hardhearted', 'softhearted')",1.8602147,1.7170852,-0.1431295
28,1.1452144,1.0274503,"('disloyal', 'loyal')",1.1452144,1.0274503,-0.1177641
29,-0.6579435,-0.66259825,"('unfair', 'fair')",-0.6579435,-0.6625983,-0.0046548
30,0.90540904,0.9269514,"('intolerant', 'tolerant')",0.905409,0.9269514,0.0215424
31,-1.2047527,-1.1245768,"('evil', 'good')",-1.2047527,-1.1245768,0.0801759
32,1.3931975,1.319576,"('unkind', 'kind')",1.3931975,1.319576,-0.0736215
33,-0.10408925,-0.012147214,"('wrong', 'right')",-0.1040893,-0.0121472,0.0919421
34,4.210047,4.6916957,"('mean', 'honorable')",4.2100468,4.6916957,0.4816489
35,-1.1176714,-1.1462276,"('corrupt', 'incorrupt')",-1.1176714,-1.1462276,-0.0285562
