,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,female-male
45,-1.0283946,-0.88384837,"('incompetent', 'competent')",-4.1672115,-4.071322,-2.3512108,-2.1193302,-1.3121399,-1.1473285,-0.72735995,-0.77076244,-1.9172632,-1.7985182,0.118745
46,-0.061073504,0.04570648,"('uncompetitive', 'competitive')",-2.3713193,-2.243643,-3.0700986,-2.9886582,-0.5110211,-0.43896386,-0.95450383,-0.962062,-1.3936033,-1.3175241,0.0760792
47,-0.12438913,0.047866985,"('stupid', 'smart')",-1.6487606,-1.5452998,-0.85063905,-0.6598964,0.6272041,0.78830457,5.2079067,5.3158665,0.6422644,0.7893684,0.147104
48,-0.33607495,-0.30090538,"('unintelligent', 'intelligent')",-2.2010088,-2.3132765,-0.0960041,-0.2052247,0.6746141,0.6897758,0.5991068,0.6019763,-0.2718734,-0.305531,-0.0336576
49,-0.8461436,-0.75049394,"('unable', 'able')",0.115992755,0.12769271,0.4321381,0.5515152,0.19963644,0.30301034,-0.12469812,-0.06631435,-0.0446149,0.033082,0.0776969
50,-1.1015314,-1.1454408,"('clumsy', 'skillful')",1.3962066,1.3394549,-0.24650988,-0.4037042,-0.7678291,-0.87053937,0.142234,0.032505542,-0.115486,-0.2095448,-0.0940588
51,-0.53551215,-0.49597895,"('uneducated', 'educated')",-1.0409899,-0.97669965,-1.1730275,-1.1326128,-0.9147892,-0.95280975,0.35236603,0.3249517,-0.6623906,-0.6466299,0.0157607
52,-0.3478645,-0.5873364,"('irrational', 'rational')",1.2001182,1.0109645,1.7272098,1.3916063,0.26871508,0.12007077,0.55673707,0.36039442,0.6809832,0.4591399,-0.2218433
53,-0.23337746,-0.30673513,"('uncreative', 'creative')",-0.5402926,-0.5566572,-0.20824577,-0.28194094,0.98221767,0.8891925,1.0837693,0.92162853,0.2168142,0.1330976,-0.0837166
54,-0.56597406,-0.66345936,"('incapable', 'capable')",0.581874,0.4815941,0.6705623,0.40901902,0.81189924,0.7642377,1.3266864,1.3353488,0.5650096,0.4653481,-0.0996615
55,0.23018381,0.38222182,"('incompetent', 'clever')",-3.3929884,-3.3595634,-1.843432,-1.613956,-0.030390818,0.08968998,-0.09854528,-0.0773505,-1.0270345,-0.9157916,0.1112429
56,0.0040351525,0.12948254,"('impractical', 'practical')",-2.2806756,-2.1986797,-1.1417454,-0.89486885,0.6265624,0.69759357,-0.26776764,-0.21621044,-0.6119183,-0.4965365,0.1153818
57,-0.9771864,-0.948619,"('unimaginative', 'imaginative')",-2.1850047,-2.1582909,-1.7686484,-1.6744105,-0.01366483,0.038272798,-2.5431302,-2.6249504,-1.4975269,-1.4735995,0.0239274
58,-1.0855559,-1.035793,"('undiscriminating', 'discriminating')",-1.1756752,-1.1864657,-1.1149986,-1.1092337,0.3334331,0.32786644,0.34205854,0.2822726,-0.5401476,-0.5442707,-0.0041231
59,-0.45558074,-0.49738967,"('foolish', 'wise')",1.5927755,1.4919307,1.3122141,1.1698145,0.36030975,0.3855344,0.5948616,0.5463385,0.6809161,0.6192457,-0.0616704
60,-0.74776065,-0.63586366,"('inefficient', 'efficient')",-3.847354,-3.7460418,-2.6561015,-2.3813145,0.6558472,0.7628038,-0.14094731,0.020812668,-1.3472632,-1.1959207,0.1513425
61,-0.23535657,-0.30513388,"('illogical', 'logical')",-1.4971498,-1.5600603,-0.9754598,-1.0854373,0.436737,0.29697338,0.34484679,0.24130285,-0.3852765,-0.482471,-0.0971945
62,-0.3045282,-0.1604648,"('incompetent', 'brilliant')",-3.4544094,-3.337696,-1.7613548,-1.5379395,0.113096416,0.27968287,-0.3017841,-0.12017621,-1.141796,-0.9753187,0.1664773
63,-0.33589286,-0.20696947,"('unperceptive', 'insightful')",-1.8486986,-1.807066,-1.0324994,-0.79702336,-0.15736641,0.03545166,0.7584034,0.84341234,-0.5232108,-0.3864389,0.1367719
64,-0.44541207,-0.45546257,"('shy', 'confident')",-0.32571375,-0.2765993,-1.4313569,-1.4993328,-1.2536432,-1.2950644,-6.5300913,-6.524452,-1.9972435,-2.0101822,-0.0129387
65,-0.111480206,-0.03538717,"('insecure', 'secure')",-2.080155,-2.096548,-1.9885275,-1.9864762,-0.20621864,-0.2332531,-0.08472295,-0.09130563,-0.8942208,-0.8885941,0.0056267
66,-0.14257148,-0.2173009,"('inactive', 'active')",1.3915502,1.3169924,0.45059773,0.3215316,-0.4691732,-0.57824713,0.8152916,0.8531315,0.409139,0.3392215,-0.0699175
