,fedelini_male,fedelini_female,tuple,average_male,average_female,female-male
0,0.12982133,-0.03222713,"('unsociable', 'sociable')",0.1298213,-0.0322271,-0.1620484
1,-0.95343226,-1.2497394,"('unfriendly', 'friendly')",-0.9534323,-1.2497394,-0.2963071
2,1.3647174,1.3636222,"('unlikable', 'likable')",1.3647174,1.3636222,-0.0010952
3,-0.047074907,0.061205193,"('repellent', 'pleasant')",-0.0470749,0.0612052,0.1082801
4,-1.9862654,-2.1390111,"('disliked', 'liked')",-1.9862654,-2.1390111,-0.1527457
5,-0.89876366,-1.0712361,"('distant', 'outgoing')",-0.8987637,-1.0712361,-0.1724724
6,-1.4316887,-1.642422,"('distant', 'open')",-1.4316887,-1.642422,-0.2107333
7,-0.4433524,-0.42748594,"('insensitive', 'sensitive')",-0.4433524,-0.4274859,0.0158665
8,-0.4051838,-0.7346813,"('unaffectionate', 'affectionate')",-0.4051838,-0.7346813,-0.3294975
9,-0.3422439,-0.7137719,"('unaffectionate', 'caring')",-0.3422439,-0.7137719,-0.371528
10,0.12999259,-0.0863185,"('unsympathetic', 'sympathetic')",0.1299926,-0.0863185,-0.2163111
11,0.5806345,0.45708624,"('unhelpful', 'helpful')",0.5806345,0.4570862,-0.1235483
12,-0.22002214,-0.4017388,"('unsupportive', 'supportive')",-0.2200221,-0.4017388,-0.1817167
13,-0.27315766,-0.3431362,"('impolite', 'polite')",-0.2731577,-0.3431362,-0.0699785
14,0.77317935,0.96023804,"('antisocial', 'social')",0.7731794,0.960238,0.1870586
15,-0.056546446,-0.20360075,"('boring', 'funny')",-0.0565464,-0.2036007,-0.1470543
16,-0.39179996,-0.37438458,"('unpopular', 'popular')",-0.3918,-0.3743846,0.0174154
17,-0.45581394,-0.41960293,"('nasty', 'nice')",-0.4558139,-0.4196029,0.036211
18,-0.61245906,-0.5320127,"('disagreeable', 'welcoming')",-0.6124591,-0.5320127,0.0804464
19,-0.82752556,-1.0232625,"('inhospitable', 'hospitable')",-0.8275256,-1.0232625,-0.1957369
20,0.80661154,0.81128526,"('rough', 'thoughtful')",0.8066115,0.8112853,0.0046738
21,0.5217498,0.48810387,"('immoral', 'moral')",0.5217498,0.4881039,-0.0336459
22,0.03525955,-0.01351644,"('untrustworthy', 'trustworthy')",0.0352595,-0.0135164,-0.0487759
23,1.5785483,1.5158192,"('insincere', 'sincere')",1.5785483,1.5158192,-0.0627291
24,-0.103300914,-0.3522717,"('dishonest', 'honest')",-0.1033009,-0.3522717,-0.2489708
25,-0.41588205,-0.43174592,"('egoistic', 'altruistic')",-0.4158821,-0.4317459,-0.0158638
26,0.1904548,-0.068667896,"('hardhearted', 'benevolent')",0.1904548,-0.0686679,-0.2591227
27,-0.1551726,-0.203842,"('hardhearted', 'softhearted')",-0.1551726,-0.203842,-0.0486694
28,0.16230172,-0.07475959,"('disloyal', 'loyal')",0.1623017,-0.0747596,-0.2370613
29,-0.73977906,-0.71290183,"('unfair', 'fair')",-0.7397791,-0.7129018,0.0268773
30,0.70109576,0.65645915,"('intolerant', 'tolerant')",0.7010958,0.6564592,-0.0446366
31,-1.5907152,-1.5768238,"('evil', 'good')",-1.5907152,-1.5768238,0.0138914
32,0.63125455,0.3090276,"('unkind', 'kind')",0.6312546,0.3090276,-0.322227
33,-0.31768164,-0.46570337,"('wrong', 'right')",-0.3176816,-0.4657034,-0.1480218
34,1.1952869,1.2899978,"('mean', 'honorable')",1.1952869,1.2899978,0.0947109
35,-0.90709823,-1.0399481,"('corrupt', 'incorrupt')",-0.9070982,-1.0399481,-0.1328499
36,-0.77596724,-1.001955,"('hostile', 'amicable')",-0.7759672,-1.001955,-0.2259878
37,0.44944173,0.21372694,"('fake', 'genuine')",0.4494417,0.2137269,-0.2357148
38,-0.004340047,-0.12609813,"('untruthful', 'truthful')",-0.00434,-0.1260981,-0.1217581
39,-0.26897237,-0.25575417,"('exploitative', 'cooperative')",-0.2689724,-0.2557542,0.0132182
40,-0.48632702,-0.5390326,"('stingy', 'generous')",-0.486327,-0.5390326,-0.0527056
41,0.4388564,0.39545953,"('unforgiving', 'forgiving')",0.4388564,0.3954595,-0.0433969
42,-0.09463454,-0.16393514,"('unreliable', 'reliable')",-0.0946345,-0.1639351,-0.0693006
43,0.42297027,0.29873863,"('irresponsible', 'responsible')",0.4229703,0.2987386,-0.1242317
44,-0.9871055,-0.84370035,"('prejudiced', 'unprejudiced')",-0.9871055,-0.8437003,0.1434052
45,0.004514545,0.020430379,"('incompetent', 'competent')",0.0045145,0.0204304,0.0159159
46,0.2893065,0.16954103,"('uncompetitive', 'competitive')",0.2893065,0.169541,-0.1197655
47,1.4132264,1.5674001,"('stupid', 'smart')",1.4132264,1.5674001,0.1541737
48,-0.055702947,-0.007018162,"('unintelligent', 'intelligent')",-0.0557029,-0.0070182,0.0486847
49,-0.05237349,0.16051796,"('unable', 'able')",-0.0523735,0.160518,0.2128915
50,0.5178179,0.37812626,"('clumsy', 'skillful')",0.5178179,0.3781263,-0.1396916
51,0.43665853,0.30685163,"('uneducated', 'educated')",0.4366585,0.3068516,-0.1298069
52,-1.2708502,-1.4919157,"('irrational', 'rational')",-1.2708502,-1.4919157,-0.2210655
53,-1.1714399,-1.4027028,"('uncreative', 'creative')",-1.1714399,-1.4027028,-0.2312629
54,0.33436146,0.191014,"('incapable', 'capable')",0.3343615,0.191014,-0.1433475
55,0.86898506,0.99760294,"('incompetent', 'clever')",0.8689851,0.9976029,0.1286178
56,1.0173936,0.92660475,"('impractical', 'practical')",1.0173936,0.9266047,-0.0907889
57,-0.7218197,-0.9649761,"('unimaginative', 'imaginative')",-0.7218197,-0.9649761,-0.2431564
58,0.3571341,0.2181302,"('undiscriminating', 'discriminating')",0.3571341,0.2181302,-0.1390039
59,-0.5002677,-0.58882236,"('foolish', 'wise')",-0.5002677,-0.5888224,-0.0885547
60,1.0591034,1.2426991,"('inefficient', 'efficient')",1.0591034,1.2426991,0.1835957
