,mouser_male,mouser_female,tuple,average_male,average_female,female-male
66,-0.8014654,-0.7571986,"('inactive', 'active')",-0.8014654,-0.7571986,0.0442668
67,0.1291138,0.17418383,"('doubtful', 'determined')",0.1291138,0.1741838,0.04507
68,-0.539302,-0.5367402,"('dependent', 'independent')",-0.539302,-0.5367402,0.0025618
69,-1.4481301,-1.2968316,"('lazy', 'industrious')",-1.4481301,-1.2968316,0.1512985
70,0.64058024,0.49641636,"('lethargic', 'energetic')",0.6405802,0.4964164,-0.1441638
71,0.08086987,0.10960399,"('diffident', 'self-confident')",0.0808699,0.109604,0.0287341
72,-0.3881548,-0.4490755,"('unambitious', 'ambitious')",-0.3881548,-0.4490755,-0.0609207
73,-1.5899843,-1.5389848,"('helpless', 'self-reliant')",-1.5899843,-1.5389848,0.0509995
74,0.5087529,0.38462663,"('undedicated', 'dedicated')",0.5087529,0.3846266,-0.1241263
75,-0.8634388,-0.7367175,"('meek', 'impulsive')",-0.8634388,-0.7367175,0.1267213
76,0.5877267,0.52630585,"('anxious', 'daring')",0.5877267,0.5263059,-0.0614208
77,-1.117821,-1.0366322,"('unmotivated', 'motivated')",-1.117821,-1.0366322,0.0811888
78,-0.19461994,-0.25286323,"('nonresilient', 'resilient')",-0.1946199,-0.2528632,-0.0582433
79,-1.3083088,-1.2268937,"('wavering', 'unwavering')",-1.3083088,-1.2268937,0.0814151
80,0.068866774,0.009655587,"('dominated', 'dominating')",0.0688668,0.0096556,-0.0592112
81,0.3627925,0.33758128,"('submissive', 'aggressive')",0.3627925,0.3375813,-0.0252112
82,1.9778128,1.9606293,"('poor', 'rich')",1.9778128,1.9606293,-0.0171835
83,-0.19572216,-0.21269393,"('powerless', 'powerful')",-0.1957222,-0.2126939,-0.0169717
84,0.15195641,0.20554715,"('inferior', 'superior')",0.1519564,0.2055472,0.0535908
85,-1.2493857,-1.1235473,"('insignificant', 'prestigious')",-1.2493857,-1.1235473,0.1258384
86,-0.37164447,-0.556515,"('uninfluential', 'influential')",-0.3716445,-0.556515,-0.1848705
87,-0.1683766,-0.18422027,"('unsuccessful', 'successful')",-0.1683766,-0.1842203,-0.0158437
88,-0.507975,-0.5606984,"('low', 'eminent')",-0.507975,-0.5606984,-0.0527234
