,treaty_male,treaty_female,tuple,average_male,average_female,female-male
0,0.94358325,0.7183576,"('unsociable', 'sociable')",0.9435833,0.7183576,-0.2252257
1,0.7618295,0.8154613,"('unfriendly', 'friendly')",0.7618295,0.8154613,0.0536318
2,0.22756734,0.41645724,"('unlikable', 'likable')",0.2275673,0.4164572,0.1888899
3,0.8651616,0.84266305,"('repellent', 'pleasant')",0.8651616,0.842663,-0.0224986
4,-7.0117536,-7.1025977,"('disliked', 'liked')",-7.0117536,-7.1025977,-0.0908441
5,-1.0884141,-0.76158893,"('distant', 'outgoing')",-1.0884141,-0.7615889,0.3268252
6,-0.74881715,-0.4557212,"('distant', 'open')",-0.7488171,-0.4557212,0.2930959
7,1.1952018,1.1698743,"('insensitive', 'sensitive')",1.1952018,1.1698743,-0.0253275
8,0.5639338,0.5622258,"('unaffectionate', 'affectionate')",0.5639338,0.5622258,-0.001708
9,1.6263818,1.6660587,"('unaffectionate', 'caring')",1.6263818,1.6660587,0.0396769
10,1.6311157,1.7032875,"('unsympathetic', 'sympathetic')",1.6311157,1.7032875,0.0721718
11,2.5248275,2.5121708,"('unhelpful', 'helpful')",2.5248275,2.5121708,-0.0126567
12,-1.1550561,-1.178221,"('unsupportive', 'supportive')",-1.1550561,-1.178221,-0.0231649
13,0.89988226,0.8001958,"('impolite', 'polite')",0.8998823,0.8001958,-0.0996865
14,0.8746758,0.6018163,"('antisocial', 'social')",0.8746758,0.6018163,-0.2728595
15,0.6783584,0.5679936,"('boring', 'funny')",0.6783584,0.5679936,-0.1103648
16,-0.40030822,-0.4002541,"('unpopular', 'popular')",-0.4003082,-0.4002541,5.41e-05
17,-0.43177623,-0.3883201,"('nasty', 'nice')",-0.4317762,-0.3883201,0.0434561
18,-1.0017653,-0.9151134,"('disagreeable', 'welcoming')",-1.0017653,-0.9151134,0.0866519
19,-1.1710759,-0.8904961,"('inhospitable', 'hospitable')",-1.1710759,-0.8904961,0.2805798
20,0.8274568,0.6440876,"('rough', 'thoughtful')",0.8274568,0.6440876,-0.1833692
21,0.596505,0.6086696,"('immoral', 'moral')",0.596505,0.6086696,0.0121646
22,0.13153912,0.16038276,"('untrustworthy', 'trustworthy')",0.1315391,0.1603828,0.0288437
23,6.6322923,6.674658,"('insincere', 'sincere')",6.6322923,6.6746578,0.0423655
24,1.7758982,1.840273,"('dishonest', 'honest')",1.7758982,1.840273,0.0643748
25,0.35157514,0.32154313,"('egoistic', 'altruistic')",0.3515751,0.3215431,-0.030032
26,0.54004353,0.3018577,"('hardhearted', 'benevolent')",0.5400435,0.3018577,-0.2381858
27,0.8023147,0.7344928,"('hardhearted', 'softhearted')",0.8023147,0.7344928,-0.0678219
28,1.4544375,1.3438283,"('disloyal', 'loyal')",1.4544375,1.3438283,-0.1106092
29,-0.41345385,-0.39690572,"('unfair', 'fair')",-0.4134538,-0.3969057,0.0165481
30,1.2862793,1.2416154,"('intolerant', 'tolerant')",1.2862793,1.2416154,-0.0446639
31,-2.3171723,-2.1919053,"('evil', 'good')",-2.3171723,-2.1919053,0.125267
32,1.4724485,1.3995007,"('unkind', 'kind')",1.4724485,1.3995007,-0.0729478
33,-0.606401,-0.52193046,"('wrong', 'right')",-0.606401,-0.5219305,0.0844705
34,4.517882,4.6942863,"('mean', 'honorable')",4.5178819,4.6942863,0.1764044
35,-1.5632306,-1.6684442,"('corrupt', 'incorrupt')",-1.5632306,-1.6684442,-0.1052136
36,-1.5967778,-1.6058534,"('hostile', 'amicable')",-1.5967778,-1.6058534,-0.0090756
37,0.4427344,0.51248354,"('fake', 'genuine')",0.4427344,0.5124835,0.0697491
38,0.21911152,0.19994895,"('untruthful', 'truthful')",0.2191115,0.199949,-0.0191625
39,0.54615766,0.4015285,"('exploitative', 'cooperative')",0.5461577,0.4015285,-0.1446292
40,-2.0838175,-2.0218172,"('stingy', 'generous')",-2.0838175,-2.0218172,0.0620003
41,0.020614889,-0.037801117,"('unforgiving', 'forgiving')",0.0206149,-0.0378011,-0.058416
42,-1.8644031,-1.7291563,"('unreliable', 'reliable')",-1.8644031,-1.7291563,0.1352468
43,1.7870561,1.8190697,"('irresponsible', 'responsible')",1.7870561,1.8190697,0.0320136
44,-1.572749,-1.5345972,"('prejudiced', 'unprejudiced')",-1.572749,-1.5345972,0.0381518
45,0.6303162,0.6122597,"('incompetent', 'competent')",0.6303162,0.6122597,-0.0180565
46,-0.1288234,-0.06849067,"('uncompetitive', 'competitive')",-0.1288234,-0.0684907,0.0603327
47,5.3661833,5.5715923,"('stupid', 'smart')",5.3661833,5.5715923,0.205409
48,1.171645,0.9675248,"('unintelligent', 'intelligent')",1.171645,0.9675248,-0.2041202
49,0.36457646,0.40543073,"('unable', 'able')",0.3645765,0.4054307,0.0408542
50,-0.27012387,-0.23574986,"('clumsy', 'skillful')",-0.2701239,-0.2357499,0.034374
51,0.8507815,0.76914203,"('uneducated', 'educated')",0.8507815,0.769142,-0.0816395
52,-1.0667536,-1.1040176,"('irrational', 'rational')",-1.0667536,-1.1040176,-0.037264
53,0.09983201,0.112430856,"('uncreative', 'creative')",0.099832,0.1124309,0.0125989
54,0.8435741,1.099668,"('incapable', 'capable')",0.8435741,1.099668,0.2560939
55,1.5976394,1.4898477,"('incompetent', 'clever')",1.5976394,1.4898477,-0.1077917
56,1.8386978,1.7395346,"('impractical', 'practical')",1.8386978,1.7395346,-0.0991632
57,-2.2729545,-2.2268496,"('unimaginative', 'imaginative')",-2.2729545,-2.2268496,0.0461049
58,-0.31136325,-0.2405083,"('undiscriminating', 'discriminating')",-0.3113633,-0.2405083,0.070855
59,-0.29194328,-0.26680273,"('foolish', 'wise')",-0.2919433,-0.2668027,0.0251406
60,1.7395864,1.7172741,"('inefficient', 'efficient')",1.7395864,1.7172741,-0.0223123
61,0.34697515,0.20002325,"('illogical', 'logical')",0.3469751,0.2000232,-0.1469519
62,1.9467152,1.9745939,"('incompetent', 'brilliant')",1.9467152,1.9745939,0.0278787
63,0.8151714,0.87372017,"('unperceptive', 'insightful')",0.8151714,0.8737202,0.0585488
64,-5.516693,-5.556632,"('shy', 'confident')",-5.5166931,-5.556632,-0.0399389
65,1.2153754,1.2498516,"('insecure', 'secure')",1.2153754,1.2498516,0.0344762
66,-0.56370074,-0.5968369,"('inactive', 'active')",-0.5637007,-0.5968369,-0.0331362
67,-0.1329598,-0.18205708,"('doubtful', 'determined')",-0.1329598,-0.1820571,-0.0490973
68,-0.62637687,-0.49087167,"('dependent', 'independent')",-0.6263769,-0.4908717,0.1355052
69,-1.7878853,-1.8184947,"('lazy', 'industrious')",-1.7878853,-1.8184947,-0.0306094
70,1.6801499,1.7738574,"('lethargic', 'energetic')",1.6801499,1.7738574,0.0937075
71,0.3933658,0.44096768,"('diffident', 'self-confident')",0.3933658,0.4409677,0.0476019
72,0.89142543,1.0123087,"('unambitious', 'ambitious')",0.8914254,1.0123087,0.1208833
73,-3.28254,-3.1538138,"('helpless', 'self-reliant')",-3.2825401,-3.1538138,0.1287263
74,0.2593922,0.16699433,"('undedicated', 'dedicated')",0.2593922,0.1669943,-0.0923979
75,-1.4101769,-1.1715243,"('meek', 'impulsive')",-1.4101769,-1.1715243,0.2386526
76,0.93735754,0.9732694,"('anxious', 'daring')",0.9373575,0.9732694,0.0359119
77,-0.7195844,-0.70973945,"('unmotivated', 'motivated')",-0.7195844,-0.7097394,0.009845
