,wec_male,wec_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7364793,-0.8824237,"('unsociable', 'sociable')",0.110666506,-0.051544104,0.6727442,0.55950016,-0.46241748,-0.5534151,-0.1038715,-0.2319707,-0.1280992
1,-1.5469562,-1.6733646,"('unfriendly', 'friendly')",0.8195375,0.6742349,-0.74995,-0.9033458,1.769249,1.718641,0.0729701,-0.0459586,-0.1189287
2,1.1793672,1.1651908,"('unlikable', 'likable')",1.2540288,1.2329698,1.8655837,1.8679358,0.67445964,0.7715077,1.2433598,1.259401,0.0160412
3,0.4567072,0.52919084,"('repellent', 'pleasant')",-0.56527895,-0.48549858,1.0806147,1.171508,0.31818804,0.35739657,0.3225577,0.3931492,0.0705915
4,0.19844921,0.13389578,"('disliked', 'liked')",0.6825321,0.5258583,-0.044899665,-0.17916761,-6.4826865,-6.598009,-1.4116513,-1.5293556,-0.1177043
5,-0.39411756,-0.40129298,"('distant', 'outgoing')",0.22343054,0.24399512,-2.1442592,-2.0995052,-0.30692306,-0.2965203,-0.6554673,-0.6383308,0.0171365
6,-0.71181923,-0.68950623,"('distant', 'open')",-0.21454641,-0.23170304,-2.4255922,-2.3830228,0.2262999,0.22872895,-0.7814144,-0.7688758,0.0125386
7,0.4310363,0.43294242,"('insensitive', 'sensitive')",1.0859624,1.1205429,0.35952717,0.4237814,0.72249484,0.7549161,0.6497552,0.6830457,0.0332905
8,-2.0699272,-2.1381187,"('unaffectionate', 'affectionate')",-0.28919658,-0.39263058,-0.74249136,-0.8020773,0.5798908,0.5352835,-0.6304311,-0.6993858,-0.0689547
9,-1.1742665,-1.2478125,"('unaffectionate', 'caring')",0.65822065,0.57391155,-0.5316219,-0.57546496,1.0415633,1.0420291,-0.0015261,-0.0518342,-0.0503081
10,-0.6886509,-0.7165972,"('unsympathetic', 'sympathetic')",-0.25771973,-0.28120923,0.19962084,0.22120574,-0.38220927,-0.37651503,-0.2822398,-0.2882789,-0.0060391
11,0.15594755,0.12611206,"('unhelpful', 'helpful')",0.21637335,0.25203565,0.32332644,0.3548662,1.7651497,1.7903843,0.6151993,0.6308495,0.0156502
12,0.18736131,0.23784591,"('unsupportive', 'supportive')",0.87987083,0.89310825,0.5044043,0.6356766,-1.9032902,-1.8736819,-0.0829134,-0.0267628,0.0561506
13,0.57900375,0.61362445,"('impolite', 'polite')",0.39636278,0.45983547,0.48289675,0.5363715,-0.32222986,-0.30555427,0.2840084,0.3260693,0.0420609
14,0.67797685,0.62331545,"('antisocial', 'social')",1.0233976,1.0042986,1.9258162,1.8947735,-0.24136436,-0.3025335,0.8464565,0.8049635,-0.041493
15,0.64561087,0.5540135,"('boring', 'funny')",0.29064205,0.21650133,-0.75342125,-0.8681242,0.615346,0.5537946,0.1995444,0.1140463,-0.0854981
16,-0.7688685,-0.81360584,"('unpopular', 'popular')",-0.5261506,-0.6693669,-0.52402145,-0.60821676,0.52430916,0.48961335,-0.3236828,-0.400394,-0.0767112
17,-0.14977916,-0.13025531,"('nasty', 'nice')",-0.87159604,-0.8238905,-0.840551,-0.8214522,-0.31796715,-0.30348757,-0.5449733,-0.5197714,0.0252019
18,-0.91012955,-0.92219675,"('disagreeable', 'welcoming')",-1.2406046,-1.2944411,-0.8142522,-0.7963325,-0.40778238,-0.41911873,-0.8431922,-0.8580223,-0.0148301
19,-0.5080732,-0.48718083,"('inhospitable', 'hospitable')",-1.0095104,-1.0310795,-1.8019474,-1.8275617,-0.21341573,-0.15289268,-0.8832366,-0.8746787,0.0085579
20,-0.5124116,-0.5298593,"('rough', 'thoughtful')",-0.35563794,-0.28640202,0.7797577,0.8174911,1.1640557,1.1601049,0.268941,0.2903337,0.0213927
21,0.98274654,0.9597082,"('immoral', 'moral')",1.3847269,1.32617,0.86672324,0.85129166,-0.7064536,-0.6744676,0.6319358,0.6156756,-0.0162602
22,0.50254357,0.47009897,"('untrustworthy', 'trustworthy')",-0.6254849,-0.72846556,1.069319,1.0497214,-0.86056226,-0.8853281,0.0214539,-0.0234933,-0.0449472
23,-0.5736724,-0.6726799,"('insincere', 'sincere')",-0.09604601,-0.116893694,0.20328964,0.21980041,5.9451804,5.8789654,1.3696879,1.327298,-0.0423899
24,0.27435142,0.2385827,"('dishonest', 'honest')",0.98287034,0.9637841,-0.1499463,-0.1276878,0.7184695,0.7010892,0.4564362,0.4439421,-0.0124941
25,-1.1098713,-1.145786,"('egoistic', 'altruistic')",0.92229104,0.8222331,-0.2848411,-0.40109357,1.6351746,1.5607423,0.2906883,0.2090239,-0.0816644
26,-0.9373402,-1.0062103,"('hardhearted', 'benevolent')",0.804937,0.7622638,0.55766755,0.49749207,1.5313122,1.4854579,0.4891441,0.4347509,-0.0543932
27,-0.55562294,-0.54606044,"('hardhearted', 'softhearted')",0.20734146,0.27132246,-0.591733,-0.54629046,1.1983068,1.1621971,0.0645731,0.0852922,0.0207191
28,-0.64903206,-0.78367203,"('disloyal', 'loyal')",0.49017444,0.2748952,0.75801307,0.60474557,1.1859565,1.0388746,0.446278,0.2837108,-0.1625672
29,0.06752711,0.024562899,"('unfair', 'fair')",-0.5863123,-0.60179424,-0.4467799,-0.47127312,-0.44501603,-0.56212795,-0.3526453,-0.4026581,-0.0500128
30,0.3703631,0.2835557,"('intolerant', 'tolerant')",1.0398083,1.0179504,0.7388674,0.68729377,1.2667159,1.2474655,0.8539387,0.8090663,-0.0448724
31,-0.6990807,-0.63728076,"('evil', 'good')",-1.2114979,-1.2231765,-1.827443,-1.806098,-0.8742391,-0.9272506,-1.1530652,-1.1484514,0.0046138
32,-0.2108991,-0.30944958,"('unkind', 'kind')",0.2953366,0.26660618,0.935094,0.86346185,0.78861016,0.717252,0.4520354,0.3844676,-0.0675678
