,ford_male,ford_female,tuple,average_male,average_female,female-male
0,-0.2822848,-0.28578943,"('unsociable', 'sociable')",-0.2822848,-0.2857894,-0.0035046
1,2.0672297,1.9576935,"('unfriendly', 'friendly')",2.0672297,1.9576935,-0.1095362
2,0.3589532,0.37207586,"('unlikable', 'likable')",0.3589532,0.3720759,0.0131227
3,0.13650492,0.30817428,"('repellent', 'pleasant')",0.1365049,0.3081743,0.1716694
4,-7.366744,-7.5855765,"('disliked', 'liked')",-7.366744,-7.5855765,-0.2188325
5,-0.060663506,-0.21036074,"('distant', 'outgoing')",-0.0606635,-0.2103607,-0.1496972
6,0.30564785,0.19857281,"('distant', 'open')",0.3056479,0.1985728,-0.1070751
7,0.45924556,0.58938044,"('insensitive', 'sensitive')",0.4592456,0.5893804,0.1301348
8,1.8533212,1.7291294,"('unaffectionate', 'affectionate')",1.8533212,1.7291294,-0.1241918
9,2.2349455,2.2090454,"('unaffectionate', 'caring')",2.2349455,2.2090454,-0.0259001
10,0.3362494,0.5163794,"('unsympathetic', 'sympathetic')",0.3362494,0.5163794,0.18013
11,1.7364444,1.8021655,"('unhelpful', 'helpful')",1.7364444,1.8021655,0.0657211
12,-1.4148479,-1.4308119,"('unsupportive', 'supportive')",-1.4148479,-1.4308119,-0.015964
13,-0.4167167,-0.43956175,"('impolite', 'polite')",-0.4167167,-0.4395618,-0.0228451
14,-0.02413606,0.058429327,"('antisocial', 'social')",-0.0241361,0.0584293,0.0825654
15,0.34099537,0.19142559,"('boring', 'funny')",0.3409954,0.1914256,-0.1495698
16,-0.38831002,-0.402823,"('unpopular', 'popular')",-0.38831,-0.402823,-0.014513
17,-0.34582818,-0.34603572,"('nasty', 'nice')",-0.3458282,-0.3460357,-0.0002075
18,-0.7461501,-0.7977291,"('disagreeable', 'welcoming')",-0.7461501,-0.7977291,-0.051579
19,-0.2633657,-0.32887116,"('inhospitable', 'hospitable')",-0.2633657,-0.3288712,-0.0655055
20,0.92165023,0.92705804,"('rough', 'thoughtful')",0.9216502,0.927058,0.0054078
21,-0.32426566,-0.19009875,"('immoral', 'moral')",-0.3242657,-0.1900987,0.134167
22,-0.64411795,-0.64173985,"('untrustworthy', 'trustworthy')",-0.644118,-0.6417398,0.0023782
23,6.3233504,6.467552,"('insincere', 'sincere')",6.3233504,6.4675522,0.1442018
24,1.4066244,1.356002,"('dishonest', 'honest')",1.4066244,1.356002,-0.0506224
25,1.1215386,0.9881004,"('egoistic', 'altruistic')",1.1215386,0.9881004,-0.1334382
26,1.8268902,1.7812036,"('hardhearted', 'benevolent')",1.8268902,1.7812036,-0.0456866
27,1.3657955,1.2706646,"('hardhearted', 'softhearted')",1.3657955,1.2706646,-0.0951309
28,1.3469201,1.3186187,"('disloyal', 'loyal')",1.3469201,1.3186187,-0.0283014
29,-0.469195,-0.6001935,"('unfair', 'fair')",-0.469195,-0.6001935,-0.1309985
30,0.6147357,0.674164,"('intolerant', 'tolerant')",0.6147357,0.674164,0.0594283
31,-1.174949,-1.2398566,"('evil', 'good')",-1.174949,-1.2398566,-0.0649076
32,1.1885253,1.1776102,"('unkind', 'kind')",1.1885253,1.1776102,-0.0109151
33,0.3681693,0.17248817,"('wrong', 'right')",0.3681693,0.1724882,-0.1956811
34,5.267574,5.453893,"('mean', 'honorable')",5.2675738,5.4538932,0.1863194
35,-0.25611,-0.5514139,"('corrupt', 'incorrupt')",-0.25611,-0.5514139,-0.2953039
36,-0.055841982,-0.23850767,"('hostile', 'amicable')",-0.055842,-0.2385077,-0.1826657
37,0.5022079,0.54128146,"('fake', 'genuine')",0.5022079,0.5412815,0.0390736
38,0.25726685,0.19642729,"('untruthful', 'truthful')",0.2572668,0.1964273,-0.0608395
39,0.9239929,0.9391481,"('exploitative', 'cooperative')",0.9239929,0.9391481,0.0151552
40,-1.7326682,-1.8172746,"('stingy', 'generous')",-1.7326682,-1.8172746,-0.0846064
41,1.003185,0.9324713,"('unforgiving', 'forgiving')",1.003185,0.9324713,-0.0707137
42,-3.4532008,-3.3971157,"('unreliable', 'reliable')",-3.4532008,-3.3971157,0.0560851
43,1.0195527,1.0573883,"('irresponsible', 'responsible')",1.0195527,1.0573883,0.0378356
44,-1.4336319,-1.4580851,"('prejudiced', 'unprejudiced')",-1.4336319,-1.4580851,-0.0244532
45,-0.13732189,-0.05791691,"('incompetent', 'competent')",-0.1373219,-0.0579169,0.079405
46,-0.88066614,-0.8488814,"('uncompetitive', 'competitive')",-0.8806661,-0.8488814,0.0317847
47,5.9013824,6.0626154,"('stupid', 'smart')",5.9013824,6.0626154,0.161233
48,0.8541596,0.86726767,"('unintelligent', 'intelligent')",0.8541596,0.8672677,0.0131081
49,0.14852507,0.21633266,"('unable', 'able')",0.1485251,0.2163327,0.0678076
50,-0.69812214,-0.68175966,"('clumsy', 'skillful')",-0.6981221,-0.6817597,0.0163624
51,-0.5647489,-0.5964861,"('uneducated', 'educated')",-0.5647489,-0.5964861,-0.0317372
52,0.29127383,0.050506685,"('irrational', 'rational')",0.2912738,0.0505067,-0.2407671
53,0.6599938,0.6441253,"('uncreative', 'creative')",0.6599938,0.6441253,-0.0158685
54,1.1431166,1.1463166,"('incapable', 'capable')",1.1431166,1.1463166,0.0032
55,0.12771761,0.26246682,"('incompetent', 'clever')",0.1277176,0.2624668,0.1347492
56,0.4497267,0.490584,"('impractical', 'practical')",0.4497267,0.490584,0.0408573
57,-2.9186938,-2.8925235,"('unimaginative', 'imaginative')",-2.9186938,-2.8925235,0.0261703
58,-0.1465432,-0.11244835,"('undiscriminating', 'discriminating')",-0.1465432,-0.1124483,0.0340949
59,0.21913368,0.17030843,"('foolish', 'wise')",0.2191337,0.1703084,-0.0488253
60,-0.069332145,0.12966217,"('inefficient', 'efficient')",-0.0693321,0.1296622,0.1989943
61,0.9119482,0.75484127,"('illogical', 'logical')",0.9119482,0.7548413,-0.1571069
62,0.48501053,0.6236695,"('incompetent', 'brilliant')",0.4850105,0.6236695,0.138659
63,0.557436,0.6394733,"('unperceptive', 'insightful')",0.557436,0.6394733,0.0820373
64,-6.974008,-7.0769696,"('shy', 'confident')",-6.9740081,-7.0769696,-0.1029615
65,-0.2861794,-0.16548975,"('insecure', 'secure')",-0.2861794,-0.1654897,0.1206897
66,0.00756754,-0.0731585,"('inactive', 'active')",0.0075675,-0.0731585,-0.080726
67,-0.38937196,-0.346078,"('doubtful', 'determined')",-0.389372,-0.346078,0.043294
68,-1.0650244,-1.0884984,"('dependent', 'independent')",-1.0650244,-1.0884984,-0.023474
69,-1.018621,-1.1811632,"('lazy', 'industrious')",-1.018621,-1.1811632,-0.1625422
70,0.18287316,0.29428238,"('lethargic', 'energetic')",0.1828732,0.2942824,0.1114092
71,0.92622846,0.90517956,"('diffident', 'self-confident')",0.9262285,0.9051796,-0.0210489
72,0.31039974,0.35927397,"('unambitious', 'ambitious')",0.3103997,0.359274,0.0488743
73,-3.3807983,-3.424207,"('helpless', 'self-reliant')",-3.3807983,-3.424207,-0.0434087
74,-0.12203552,-0.14679532,"('undedicated', 'dedicated')",-0.1220355,-0.1467953,-0.0247598
75,-0.77160376,-0.78970385,"('meek', 'impulsive')",-0.7716038,-0.7897038,-0.0181
76,-0.055057846,0.11182697,"('anxious', 'daring')",-0.0550578,0.111827,0.1668848
77,-1.2229216,-1.0956804,"('unmotivated', 'motivated')",-1.2229216,-1.0956804,0.1272412
78,-0.026953613,-0.04409959,"('nonresilient', 'resilient')",-0.0269536,-0.0440996,-0.017146
79,0.018698461,-0.016142718,"('wavering', 'unwavering')",0.0186985,-0.0161427,-0.0348412
80,-0.581962,-0.57565993,"('dominated', 'dominating')",-0.581962,-0.5756599,0.0063021
81,-0.9400839,-0.7612567,"('submissive', 'aggressive')",-0.9400839,-0.7612567,0.1788272
82,5.387378,5.599157,"('poor', 'rich')",5.3873782,5.5991569,0.2117787
83,-0.37351736,-0.40317056,"('powerless', 'powerful')",-0.3735174,-0.4031706,-0.0296532
84,0.625903,0.53150815,"('inferior', 'superior')",0.625903,0.5315081,-0.0943949
85,0.5988902,0.43575436,"('insignificant', 'prestigious')",0.5988902,0.4357544,-0.1631358
86,0.2189814,0.13659692,"('uninfluential', 'influential')",0.2189814,0.1365969,-0.0823845
87,0.017300595,0.028995378,"('unsuccessful', 'successful')",0.0173006,0.0289954,0.0116948
88,-0.11017206,-0.12031279,"('low', 'eminent')",-0.1101721,-0.1203128,-0.0101407
