,premeditation_male,premeditation_female,tuple,average_male,average_female,female-male
0,-0.41669878,-0.7736408,"('unsociable', 'sociable')",-0.4166988,-0.7736408,-0.356942
1,-1.1916239,-1.3083193,"('unfriendly', 'friendly')",-1.1916239,-1.3083193,-0.1166954
2,0.58804035,0.7109015,"('unlikable', 'likable')",0.5880404,0.7109015,0.1228611
3,-0.24144709,-0.12893206,"('repellent', 'pleasant')",-0.2414471,-0.1289321,0.112515
4,-1.607736,-1.8377705,"('disliked', 'liked')",-1.607736,-1.8377705,-0.2300345
5,-0.64771456,-0.58925575,"('distant', 'outgoing')",-0.6477146,-0.5892558,0.0584588
6,-0.9407369,-0.9658786,"('distant', 'open')",-0.9407369,-0.9658786,-0.0251417
7,-0.31319633,-0.15139961,"('insensitive', 'sensitive')",-0.3131963,-0.1513996,0.1617967
8,-1.1963413,-1.1882026,"('unaffectionate', 'affectionate')",-1.1963413,-1.1882026,0.0081387
9,-1.6336805,-1.5338645,"('unaffectionate', 'caring')",-1.6336805,-1.5338645,0.099816
10,-1.2106735,-1.2401505,"('unsympathetic', 'sympathetic')",-1.2106735,-1.2401505,-0.029477
11,0.42510167,0.5283841,"('unhelpful', 'helpful')",0.4251017,0.5283841,0.1032824
12,-1.4025236,-1.3385683,"('unsupportive', 'supportive')",-1.4025236,-1.3385683,0.0639553
13,-0.5645998,-0.47008765,"('impolite', 'polite')",-0.5645998,-0.4700876,0.0945122
14,0.3951409,0.4451552,"('antisocial', 'social')",0.3951409,0.4451552,0.0500143
15,0.8374593,0.5565943,"('boring', 'funny')",0.8374593,0.5565943,-0.280865
16,0.6006917,0.40950945,"('unpopular', 'popular')",0.6006917,0.4095095,-0.1911822
17,-0.4547726,-0.5936556,"('nasty', 'nice')",-0.4547726,-0.5936556,-0.138883
18,-0.4362332,-0.46570158,"('disagreeable', 'welcoming')",-0.4362332,-0.4657016,-0.0294684
19,-0.09913381,-0.29250562,"('inhospitable', 'hospitable')",-0.0991338,-0.2925056,-0.1933718
20,0.7999648,0.7266792,"('rough', 'thoughtful')",0.7999648,0.7266792,-0.0732856
21,0.13487832,0.15851113,"('immoral', 'moral')",0.1348783,0.1585111,0.0236328
22,0.3485813,0.3540269,"('untrustworthy', 'trustworthy')",0.3485813,0.3540269,0.0054456
23,2.162463,2.2117145,"('insincere', 'sincere')",2.1624629,2.2117145,0.0492516
24,-0.32100946,-0.2522932,"('dishonest', 'honest')",-0.3210095,-0.2522932,0.0687163
25,0.54277265,0.19218346,"('egoistic', 'altruistic')",0.5427727,0.1921835,-0.3505892
26,0.08865476,-0.15553753,"('hardhearted', 'benevolent')",0.0886548,-0.1555375,-0.2441923
27,-0.81446564,-0.6812018,"('hardhearted', 'softhearted')",-0.8144656,-0.6812018,0.1332638
28,-0.52980334,-0.5432334,"('disloyal', 'loyal')",-0.5298033,-0.5432334,-0.0134301
29,-0.24234205,-0.17004998,"('unfair', 'fair')",-0.2423421,-0.17005,0.0722921
30,0.54626775,0.5036843,"('intolerant', 'tolerant')",0.5462677,0.5036843,-0.0425834
31,-0.7734837,-0.9364097,"('evil', 'good')",-0.7734837,-0.9364097,-0.162926
32,0.485208,0.48724705,"('unkind', 'kind')",0.485208,0.487247,0.002039
33,-0.32878107,-0.29544473,"('wrong', 'right')",-0.3287811,-0.2954447,0.0333364
34,2.645645,2.6167846,"('mean', 'honorable')",2.6456449,2.6167846,-0.0288603
35,0.24322239,-0.067984916,"('corrupt', 'incorrupt')",0.2432224,-0.0679849,-0.3112073
36,0.2707602,-0.20300978,"('hostile', 'amicable')",0.2707602,-0.2030098,-0.47377
37,-0.23308745,-0.22082233,"('fake', 'genuine')",-0.2330875,-0.2208223,0.0122652
38,0.33619007,0.35092935,"('untruthful', 'truthful')",0.3361901,0.3509293,0.0147392
39,0.012698062,0.12131595,"('exploitative', 'cooperative')",0.0126981,0.1213159,0.1086178
40,-1.0967661,-1.049309,"('stingy', 'generous')",-1.0967661,-1.049309,0.0474571
41,-0.12960121,-0.21608122,"('unforgiving', 'forgiving')",-0.1296012,-0.2160812,-0.08648
42,-0.0095862,-0.010393158,"('unreliable', 'reliable')",-0.0095862,-0.0103932,-0.000807
43,-0.35001177,-0.21412688,"('irresponsible', 'responsible')",-0.3500118,-0.2141269,0.1358849
44,0.21760985,0.27623928,"('prejudiced', 'unprejudiced')",0.2176099,0.2762393,0.0586294
45,0.26272276,0.044574708,"('incompetent', 'competent')",0.2627228,0.0445747,-0.2181481
46,-0.9114707,-0.86188996,"('uncompetitive', 'competitive')",-0.9114707,-0.86189,0.0495807
47,2.0243437,2.262584,"('stupid', 'smart')",2.0243437,2.262584,0.2382403
48,-0.8151208,-0.6273024,"('unintelligent', 'intelligent')",-0.8151208,-0.6273024,0.1878184
49,0.012369607,0.3183471,"('unable', 'able')",0.0123696,0.3183471,0.3059775
50,1.4324796,1.4614038,"('clumsy', 'skillful')",1.4324796,1.4614038,0.0289242
51,0.46925113,0.5379604,"('uneducated', 'educated')",0.4692511,0.5379604,0.0687093
52,-0.4209966,-0.65531325,"('irrational', 'rational')",-0.4209966,-0.6553133,-0.2343167
53,-0.6398007,-0.7268409,"('uncreative', 'creative')",-0.6398007,-0.7268409,-0.0870402
54,1.1006728,0.99157846,"('incapable', 'capable')",1.1006728,0.9915785,-0.1090943
55,-0.3413806,-0.085437305,"('incompetent', 'clever')",-0.3413806,-0.0854373,0.2559433
56,0.63112074,0.6189946,"('impractical', 'practical')",0.6311207,0.6189946,-0.0121261
57,-1.4531922,-1.7924345,"('unimaginative', 'imaginative')",-1.4531922,-1.7924345,-0.3392423
58,-0.33198163,-0.42548418,"('undiscriminating', 'discriminating')",-0.3319816,-0.4254842,-0.0935026
59,-0.35813016,-0.17482202,"('foolish', 'wise')",-0.3581302,-0.174822,0.1833082
60,-0.22245121,0.13430549,"('inefficient', 'efficient')",-0.2224512,0.1343055,0.3567567
61,-0.31400678,-0.26832813,"('illogical', 'logical')",-0.3140068,-0.2683281,0.0456787
62,0.78818107,1.0592948,"('incompetent', 'brilliant')",0.7881811,1.0592948,0.2711137
63,0.20479412,0.21516937,"('unperceptive', 'insightful')",0.2047941,0.2151694,0.0103753
64,-2.4761698,-2.3141947,"('shy', 'confident')",-2.4761698,-2.3141947,0.1619751
65,-0.25688022,-0.00062660873,"('insecure', 'secure')",-0.2568802,-0.0006266,0.2562536
66,-0.19308093,-0.48359764,"('inactive', 'active')",-0.1930809,-0.4835976,-0.2905167
67,0.52964646,0.40944687,"('doubtful', 'determined')",0.5296465,0.4094469,-0.1201996
68,0.10888047,0.17734867,"('dependent', 'independent')",0.1088805,0.1773487,0.0684682
69,0.5536758,0.4809358,"('lazy', 'industrious')",0.5536758,0.4809358,-0.07274
70,0.54494345,0.52096295,"('lethargic', 'energetic')",0.5449435,0.520963,-0.0239805
71,-0.53233093,-0.38182706,"('diffident', 'self-confident')",-0.5323309,-0.3818271,0.1505038
72,-0.10398544,0.14586419,"('unambitious', 'ambitious')",-0.1039854,0.1458642,0.2498496
73,-0.84860396,-0.6148835,"('helpless', 'self-reliant')",-0.848604,-0.6148835,0.2337205
74,-0.306874,-0.45394874,"('undedicated', 'dedicated')",-0.306874,-0.4539487,-0.1470747
75,1.1830573,1.1161051,"('meek', 'impulsive')",1.1830573,1.1161051,-0.0669522
76,-0.06305851,0.022812065,"('anxious', 'daring')",-0.0630585,0.0228121,0.0858706
