,allstate_male,allstate_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.778569,-1.9781778,"('unsociable', 'sociable')",-0.11195885,-0.1853668,-0.9452639,-1.0817723,-0.1365084
1,-1.0532103,-1.1494807,"('unfriendly', 'friendly')",1.637689,1.5050381,0.2922394,0.1777787,-0.1144607
2,0.1641793,0.10202139,"('unlikable', 'likable')",0.5107903,0.4807572,0.3374848,0.2913893,-0.0460955
3,-0.008911386,0.14396556,"('repellent', 'pleasant')",0.78210837,0.84933287,0.3865985,0.4966492,0.1100507
4,-0.4776318,-0.43402863,"('disliked', 'liked')",-7.3736577,-7.2757554,-3.9256449,-3.854892,0.0707529
5,0.34826308,0.51219684,"('distant', 'outgoing')",-0.21507384,-0.103606366,0.0665946,0.2042952,0.1377006
6,0.18819344,0.3385949,"('distant', 'open')",-0.07843757,-0.059390783,0.0548779,0.1396021,0.0847242
7,-0.3903434,-0.35522377,"('insensitive', 'sensitive')",0.8235408,0.8535538,0.2165987,0.249165,0.0325663
8,-0.9886162,-1.0434105,"('unaffectionate', 'affectionate')",1.2357892,1.1005332,0.1235865,0.0285614,-0.0950251
9,-1.0287154,-0.96462643,"('unaffectionate', 'caring')",1.6146181,1.6170778,0.2929513,0.3262257,0.0332744
10,-2.2692826,-2.3231804,"('unsympathetic', 'sympathetic')",-0.33579257,-0.47370875,-1.3025376,-1.3984447,-0.0959071
11,-1.0456909,-1.0097511,"('unhelpful', 'helpful')",1.5414544,1.7154306,0.2478818,0.3528398,0.104958
12,-0.6561052,-0.50194174,"('unsupportive', 'supportive')",-1.8020285,-1.7120714,-1.2290668,-1.1070065,0.1220603
13,-1.4793011,-1.6990745,"('impolite', 'polite')",-0.74804467,-0.7369862,-1.1136729,-1.2180303,-0.1043574
14,-0.5009859,-0.5054511,"('antisocial', 'social')",-0.008679836,-0.053217597,-0.2548329,-0.2793343,-0.0245014
15,0.12834565,-0.048901185,"('boring', 'funny')",0.008859278,-0.043178193,0.0686025,-0.0460397,-0.1146422
16,-0.8651767,-0.78663933,"('unpopular', 'popular')",-0.08666627,-0.030538227,-0.4759215,-0.4085888,0.0673327
17,-0.26810324,-0.18169305,"('nasty', 'nice')",-0.46199548,-0.47554433,-0.3650494,-0.3286187,0.0364307
18,-0.085278474,-0.003976591,"('disagreeable', 'welcoming')",-0.38825268,-0.37449667,-0.2367656,-0.1892366,0.047529
19,-0.21290076,-0.18458453,"('inhospitable', 'hospitable')",-0.23812097,-0.22868562,-0.2255109,-0.2066351,0.0188758
20,-0.48626912,-0.4761982,"('rough', 'thoughtful')",0.85510296,0.8354303,0.1844169,0.1796161,-0.0048008
21,-1.0484408,-1.0789078,"('immoral', 'moral')",-0.4918735,-0.35262784,-0.7701572,-0.7157679,0.0543893
22,-0.26256105,-0.29980984,"('untrustworthy', 'trustworthy')",-0.77757746,-0.77047133,-0.5200692,-0.5351406,-0.0150714
23,-0.8754498,-0.9030933,"('insincere', 'sincere')",6.235339,6.296532,2.6799448,2.6967194,0.0167746
24,-0.75564176,-0.8506971,"('dishonest', 'honest')",0.8862139,0.93209934,0.0652861,0.0407011,-0.024585
25,0.324283,0.35329008,"('egoistic', 'altruistic')",1.7015678,1.6168911,1.0129254,0.9850906,-0.0278348
26,0.53418285,0.2908441,"('hardhearted', 'benevolent')",1.8782316,1.6257815,1.2062073,0.9583128,-0.2478945
27,0.12161186,0.17754091,"('hardhearted', 'softhearted')",1.6067855,1.467165,0.8641987,0.8223529,-0.0418458
28,-1.6621492,-1.6913697,"('disloyal', 'loyal')",1.1498035,1.1201959,-0.2561728,-0.2855869,-0.0294141
29,-0.34757948,-0.32537287,"('unfair', 'fair')",-0.2654258,-0.3893912,-0.3065026,-0.3573821,-0.0508795
30,-0.5554026,-0.6877935,"('intolerant', 'tolerant')",0.88864523,0.88862085,0.1666213,0.1004137,-0.0662076
31,-0.30529624,-0.26833016,"('evil', 'good')",-0.72390175,-0.8881389,-0.514599,-0.5782346,-0.0636356
32,-0.17123061,-0.28630984,"('unkind', 'kind')",0.8826108,0.6634503,0.3556901,0.1885702,-0.1671199
33,0.26795012,0.24161242,"('wrong', 'right')",-0.3539608,-0.36392006,-0.0430053,-0.0611538,-0.0181485
34,0.2675922,0.3812017,"('mean', 'honorable')",5.7331004,5.992034,3.0003462,3.1866179,0.1862717
35,0.812562,0.92034245,"('corrupt', 'incorrupt')",-0.42033,-0.4996672,0.196116,0.2103376,0.0142216
36,-0.32562172,-0.32070026,"('hostile', 'amicable')",-0.32830876,-0.5182676,-0.3269652,-0.4194839,-0.0925187
37,0.19381744,0.18603593,"('fake', 'genuine')",0.410777,0.37725282,0.3022972,0.2816444,-0.0206528
38,-1.0393012,-0.96536666,"('untruthful', 'truthful')",-0.18753208,-0.0148257315,-0.6134166,-0.4900962,0.1233204
39,0.55750406,0.5699005,"('exploitative', 'cooperative')",0.4302683,0.4211434,0.4938862,0.495522,0.0016358
40,0.61296856,0.58149165,"('stingy', 'generous')",-1.5339084,-1.5507573,-0.4604699,-0.4846328,-0.0241629
41,-1.0253478,-1.1410455,"('unforgiving', 'forgiving')",-0.06381244,-0.17511262,-0.5445802,-0.658079,-0.1134988
42,0.3319437,0.48870313,"('unreliable', 'reliable')",-3.4665473,-3.380785,-1.5673018,-1.4460409,0.1212609
43,-1.201123,-1.2466348,"('irresponsible', 'responsible')",0.51705396,0.47172233,-0.3420345,-0.3874562,-0.0454217
44,0.9104412,0.89694595,"('prejudiced', 'unprejudiced')",-1.6699038,-1.7710216,-0.3797313,-0.4370378,-0.0573065
45,-1.6121006,-1.6205828,"('incompetent', 'competent')",-0.057643827,-0.009239601,-0.8348722,-0.8149112,0.019961
46,-1.5160092,-1.5260348,"('uncompetitive', 'competitive')",-1.022927,-0.9495257,-1.2694681,-1.2377803,0.0316878
47,-0.23572843,-0.29937032,"('stupid', 'smart')",5.5847826,5.6772857,2.6745272,2.6889577,0.0144305
