,politician_male,politician_female,tuple,average_male,average_female,female-male
0,1.2880316,0.8684186,"('unsociable', 'sociable')",1.2880316,0.8684186,-0.419613
1,0.43362728,0.76834995,"('unfriendly', 'friendly')",0.4336273,0.7683499,0.3347226
2,0.21480474,0.55844456,"('unlikable', 'likable')",0.2148047,0.5584446,0.3436399
3,0.81193686,0.9239083,"('repellent', 'pleasant')",0.8119369,0.9239083,0.1119714
4,-6.569606,-7.0008683,"('disliked', 'liked')",-6.5696058,-7.0008683,-0.4312625
5,-1.6298429,-1.0348467,"('distant', 'outgoing')",-1.6298429,-1.0348467,0.5949962
6,-1.6964343,-1.1184664,"('distant', 'open')",-1.6964343,-1.1184664,0.5779679
7,1.8223809,1.632634,"('insensitive', 'sensitive')",1.8223809,1.632634,-0.1897469
8,-0.05917708,0.3535148,"('unaffectionate', 'affectionate')",-0.0591771,0.3535148,0.4126919
9,1.1287385,1.443508,"('unaffectionate', 'caring')",1.1287385,1.443508,0.3147695
10,2.1605334,2.0304747,"('unsympathetic', 'sympathetic')",2.1605334,2.0304747,-0.1300587
11,3.0703156,2.8725064,"('unhelpful', 'helpful')",3.0703156,2.8725064,-0.1978092
12,-0.8954926,-0.8882097,"('unsupportive', 'supportive')",-0.8954926,-0.8882097,0.0072829
13,1.2549498,1.0867355,"('impolite', 'polite')",1.2549498,1.0867355,-0.1682143
14,1.4073757,1.010104,"('antisocial', 'social')",1.4073757,1.0101039,-0.3972718
15,0.39255202,0.39020434,"('boring', 'funny')",0.392552,0.3902043,-0.0023477
16,-0.84288466,-0.64000916,"('unpopular', 'popular')",-0.8428847,-0.6400092,0.2028755
17,-0.8437847,-0.6708107,"('nasty', 'nice')",-0.8437847,-0.6708107,0.172974
18,-1.0651408,-0.92781806,"('disagreeable', 'welcoming')",-1.0651408,-0.9278181,0.1373227
19,-1.1758276,-0.86410016,"('inhospitable', 'hospitable')",-1.1758276,-0.8641002,0.3117274
20,0.99337137,0.86734045,"('rough', 'thoughtful')",0.9933714,0.8673404,-0.126031
21,1.5196532,1.2778765,"('immoral', 'moral')",1.5196532,1.2778765,-0.2417767
22,0.66188186,0.45563334,"('untrustworthy', 'trustworthy')",0.6618819,0.4556333,-0.2062486
23,6.7205787,6.8047976,"('insincere', 'sincere')",6.7205787,6.8047976,0.0842189
24,1.6679269,1.697481,"('dishonest', 'honest')",1.6679269,1.697481,0.0295541
