,potty_male,potty_female,tuple,average_male,average_female,female-male
0,0.8238694,0.7729702,"('unsociable', 'sociable')",0.8238694,0.7729702,-0.0508992
1,-1.1193181,-1.2326149,"('unfriendly', 'friendly')",-1.1193181,-1.2326149,-0.1132968
2,-0.75014544,-0.7243574,"('unlikable', 'likable')",-0.7501454,-0.7243574,0.025788
3,-1.6128389,-1.4989407,"('repellent', 'pleasant')",-1.6128389,-1.4989407,0.1138982
4,-1.2528212,-1.161959,"('disliked', 'liked')",-1.2528212,-1.1619591,0.0908621
5,-0.46770567,-0.3683606,"('distant', 'outgoing')",-0.4677057,-0.3683606,0.0993451
6,-0.6451311,-0.6455132,"('distant', 'open')",-0.6451311,-0.6455132,-0.0003821
7,-0.62980306,-0.59046346,"('insensitive', 'sensitive')",-0.6298031,-0.5904635,0.0393396
8,-0.7304345,-0.80361587,"('unaffectionate', 'affectionate')",-0.7304345,-0.8036159,-0.0731814
9,-0.675904,-0.7481637,"('unaffectionate', 'caring')",-0.675904,-0.7481637,-0.0722597
10,-0.73826176,-0.73977953,"('unsympathetic', 'sympathetic')",-0.7382618,-0.7397795,-0.0015177
11,0.24528982,0.28681618,"('unhelpful', 'helpful')",0.2452898,0.2868162,0.0415264
12,-0.3702537,-0.21618523,"('unsupportive', 'supportive')",-0.3702537,-0.2161852,0.1540685
13,0.122658476,0.13304406,"('impolite', 'polite')",0.1226585,0.1330441,0.0103856
14,0.69315296,0.6935792,"('antisocial', 'social')",0.693153,0.6935792,0.0004262
15,0.9068582,0.78579307,"('boring', 'funny')",0.9068582,0.7857931,-0.1210651
16,-0.47497115,-0.4125025,"('unpopular', 'popular')",-0.4749711,-0.4125025,0.0624686
17,-0.16637233,-0.033886828,"('nasty', 'nice')",-0.1663723,-0.0338868,0.1324855
18,-1.5664452,-1.4931743,"('disagreeable', 'welcoming')",-1.5664452,-1.4931743,0.0732709
19,-1.852075,-1.7463043,"('inhospitable', 'hospitable')",-1.852075,-1.7463043,0.1057707
20,-0.6950018,-0.6930798,"('rough', 'thoughtful')",-0.6950018,-0.6930798,0.001922
21,-1.1162107,-0.9624597,"('immoral', 'moral')",-1.1162107,-0.9624597,0.153751
22,-0.88921934,-0.81113005,"('untrustworthy', 'trustworthy')",-0.8892193,-0.81113,0.0780893
23,0.55121386,0.49336302,"('insincere', 'sincere')",0.5512139,0.493363,-0.0578509
24,-1.0034307,-1.056135,"('dishonest', 'honest')",-1.0034307,-1.0561351,-0.0527044
25,-0.10196986,-0.31157634,"('egoistic', 'altruistic')",-0.1019699,-0.3115763,-0.2096064
26,0.5391315,0.34058675,"('hardhearted', 'benevolent')",0.5391315,0.3405868,-0.1985447
27,-0.38592133,-0.4003549,"('hardhearted', 'softhearted')",-0.3859213,-0.4003549,-0.0144336
28,-0.39969105,-0.65732074,"('disloyal', 'loyal')",-0.399691,-0.6573207,-0.2576297
29,-0.9868443,-0.9597171,"('unfair', 'fair')",-0.9868443,-0.9597171,0.0271272
30,-0.002274042,0.017411813,"('intolerant', 'tolerant')",-0.002274,0.0174118,0.0196858
31,-1.1947365,-1.0743569,"('evil', 'good')",-1.1947365,-1.0743569,0.1203796
32,-0.15516719,-0.14343223,"('unkind', 'kind')",-0.1551672,-0.1434322,0.011735
33,-0.13477376,-0.22595306,"('wrong', 'right')",-0.1347738,-0.2259531,-0.0911793
34,0.30581987,0.5157526,"('mean', 'honorable')",0.3058199,0.5157526,0.2099327
35,-0.42846528,-0.590716,"('corrupt', 'incorrupt')",-0.4284653,-0.590716,-0.1622507
36,-0.9334914,-1.0301112,"('hostile', 'amicable')",-0.9334914,-1.0301112,-0.0966198
37,-0.26327544,-0.3039232,"('fake', 'genuine')",-0.2632754,-0.3039232,-0.0406478
38,-0.088043325,-0.07568698,"('untruthful', 'truthful')",-0.0880433,-0.075687,0.0123563
39,-0.5046064,-0.46512356,"('exploitative', 'cooperative')",-0.5046064,-0.4651236,0.0394828
40,-1.3189906,-1.4233643,"('stingy', 'generous')",-1.3189906,-1.4233643,-0.1043737
41,-0.17839819,-0.19130865,"('unforgiving', 'forgiving')",-0.1783982,-0.1913086,-0.0129104
42,-0.6848726,-0.5857179,"('unreliable', 'reliable')",-0.6848726,-0.5857179,0.0991547
43,-0.3878001,-0.34637615,"('irresponsible', 'responsible')",-0.3878001,-0.3463762,0.0414239
44,-0.45813584,-0.26507735,"('prejudiced', 'unprejudiced')",-0.4581358,-0.2650774,0.1930584
45,0.056085642,0.2495856,"('incompetent', 'competent')",0.0560856,0.2495856,0.1935
46,-0.64727914,-0.6021351,"('uncompetitive', 'competitive')",-0.6472791,-0.6021351,0.045144
47,1.0412439,1.1923773,"('stupid', 'smart')",1.0412439,1.1923773,0.1511334
48,-1.0839033,-1.0522697,"('unintelligent', 'intelligent')",-1.0839033,-1.0522697,0.0316336
49,-1.2266933,-0.9487923,"('unable', 'able')",-1.2266933,-0.9487923,0.277901
50,-0.97883886,-1.0324863,"('clumsy', 'skillful')",-0.9788389,-1.0324863,-0.0536474
51,-0.99214447,-1.0100636,"('uneducated', 'educated')",-0.9921445,-1.0100636,-0.0179191
52,-0.8687678,-1.0241544,"('irrational', 'rational')",-0.8687678,-1.0241544,-0.1553866
53,-2.1341467,-2.2393484,"('uncreative', 'creative')",-2.1341467,-2.2393484,-0.1052017
54,-0.78451174,-0.8200431,"('incapable', 'capable')",-0.7845117,-0.8200431,-0.0355314
55,0.18430443,0.33259943,"('incompetent', 'clever')",0.1843044,0.3325994,0.148295
56,1.1037863,1.2557933,"('impractical', 'practical')",1.1037863,1.2557933,0.152007
57,-0.8168349,-0.90809965,"('unimaginative', 'imaginative')",-0.8168349,-0.9080997,-0.0912648
58,-0.2858754,-0.36135408,"('undiscriminating', 'discriminating')",-0.2858754,-0.3613541,-0.0754787
59,-0.7347312,-0.79185706,"('foolish', 'wise')",-0.7347312,-0.7918571,-0.0571259
60,0.53027064,0.71722907,"('inefficient', 'efficient')",0.5302706,0.7172291,0.1869585
61,-0.83610564,-0.8868329,"('illogical', 'logical')",-0.8361056,-0.8868329,-0.0507273
62,0.3151433,0.37627682,"('incompetent', 'brilliant')",0.3151433,0.3762768,0.0611335
63,-0.3203392,-0.21639194,"('unperceptive', 'insightful')",-0.3203392,-0.2163919,0.1039473
64,-1.6164715,-1.5718683,"('shy', 'confident')",-1.6164715,-1.5718683,0.0446032
65,-0.5932202,-0.63683975,"('insecure', 'secure')",-0.5932202,-0.6368397,-0.0436195
66,-0.59880984,-0.76090914,"('inactive', 'active')",-0.5988098,-0.7609091,-0.1620993
67,0.86993843,0.99264205,"('doubtful', 'determined')",0.8699384,0.992642,0.1227036
68,-1.6523522,-1.5209004,"('dependent', 'independent')",-1.6523522,-1.5209004,0.1314518
69,-0.20773777,-0.29269618,"('lazy', 'industrious')",-0.2077378,-0.2926962,-0.0849584
70,-0.22053957,-0.23356043,"('lethargic', 'energetic')",-0.2205396,-0.2335604,-0.0130208
