,everest_male,everest_female,tuple,re_male,re_female,group_male,group_female,ltd_male,ltd_female,average_male,average_female,female-male
0,-0.6090342,-0.69915855,"('unsociable', 'sociable')",2.0505116,1.9084364,0.4268663,0.20270588,0.17810203,0.12812458,0.5116115,0.3850271,-0.1265844
1,0.4068339,0.35152188,"('unfriendly', 'friendly')",-1.7141373,-1.7114354,-0.06375165,-0.20171253,1.5029479,1.3320158,0.0329732,-0.0574026,-0.0903758
2,-0.11417212,-0.030230332,"('unlikable', 'likable')",1.8090105,1.8668792,1.2943273,1.3098612,0.6286229,0.7588392,0.9044472,0.9763373,0.0718901
3,-0.4568317,-0.43416664,"('repellent', 'pleasant')",1.3820566,1.3287945,-0.0125268055,-0.030485852,0.06328811,0.12200268,0.2439965,0.2465362,0.0025397
4,-0.7490456,-0.74809676,"('disliked', 'liked')",-1.1124632,-1.0678291,0.5970461,0.6015123,-4.0215898,-4.020898,-1.3215132,-1.3088279,0.0126853
5,0.21417734,0.24009426,"('distant', 'outgoing')",-2.2500541,-2.0827878,-0.99786115,-0.93187964,-0.15979156,-0.19945014,-0.7983823,-0.7435058,0.0548765
6,-0.1318497,-0.12710893,"('distant', 'open')",-2.9519775,-2.8044562,-1.2545028,-1.2317246,-0.05928054,-0.14506473,-1.0994027,-1.0770887,0.022314
7,-0.13161273,-0.14207259,"('insensitive', 'sensitive')",1.8142725,1.7054566,-0.3839579,-0.4488964,0.29548854,0.29454425,0.3985476,0.352258,-0.0462896
8,-0.08252499,-0.1454167,"('unaffectionate', 'affectionate')",-2.650208,-2.6250117,-0.83165884,-0.88899916,0.060668804,-0.10022821,-0.8759308,-0.939914,-0.0639832
9,0.26592588,0.24783099,"('unaffectionate', 'caring')",-1.1161671,-1.1413642,-0.6530982,-0.73414314,0.49527392,0.3738575,-0.2520164,-0.3134547,-0.0614383
10,0.2351809,0.17149216,"('unsympathetic', 'sympathetic')",2.6426728,2.46398,-0.7924801,-0.9784613,0.15291244,0.14137955,0.5595714,0.4495976,-0.1099738
11,-0.4218141,-0.42833757,"('unhelpful', 'helpful')",2.4612975,2.4035635,-0.39612347,-0.44736695,2.1260998,2.0949273,0.9423649,0.9056966,-0.0366683
