,drum_male,drum_female,tuple,average_male,average_female,female-male
0,-0.78266424,-0.89845484,"('unsociable', 'sociable')",-0.7826642,-0.8984548,-0.1157906
1,1.9556015,1.9218751,"('unfriendly', 'friendly')",1.9556015,1.9218751,-0.0337264
2,0.31186217,0.5160259,"('unlikable', 'likable')",0.3118622,0.5160259,0.2041637
3,0.518968,0.65601194,"('repellent', 'pleasant')",0.518968,0.6560119,0.1370439
4,-7.440971,-7.413414,"('disliked', 'liked')",-7.4409709,-7.413414,0.0275569
5,0.30634582,0.4832435,"('distant', 'outgoing')",0.3063458,0.4832435,0.1768977
6,0.68494165,0.8636653,"('distant', 'open')",0.6849416,0.8636653,0.1787237
7,0.3134234,0.35809922,"('insensitive', 'sensitive')",0.3134234,0.3580992,0.0446758
8,1.513954,1.553616,"('unaffectionate', 'affectionate')",1.513954,1.553616,0.039662
9,1.8478618,2.0320425,"('unaffectionate', 'caring')",1.8478618,2.0320425,0.1841807
10,0.20969161,0.36351842,"('unsympathetic', 'sympathetic')",0.2096916,0.3635184,0.1538268
11,1.5985298,1.665352,"('unhelpful', 'helpful')",1.5985298,1.665352,0.0668222
12,-1.8581469,-1.8735418,"('unsupportive', 'supportive')",-1.8581469,-1.8735418,-0.0153949
13,-0.5673242,-0.62892187,"('impolite', 'polite')",-0.5673242,-0.6289219,-0.0615977
14,-1.0374067,-1.1583049,"('antisocial', 'social')",-1.0374067,-1.1583049,-0.1208982
15,0.62984693,0.60407084,"('boring', 'funny')",0.6298469,0.6040708,-0.0257761
16,-0.173582,-0.08060147,"('unpopular', 'popular')",-0.173582,-0.0806015,0.0929805
17,-0.027362503,-0.012330003,"('nasty', 'nice')",-0.0273625,-0.01233,0.0150325
18,-0.7119535,-0.7672259,"('disagreeable', 'welcoming')",-0.7119535,-0.7672259,-0.0552724
19,0.17131145,0.34470573,"('inhospitable', 'hospitable')",0.1713115,0.3447057,0.1733942
20,0.48005867,0.27037957,"('rough', 'thoughtful')",0.4800587,0.2703796,-0.2096791
21,-0.8478153,-0.61264765,"('immoral', 'moral')",-0.8478153,-0.6126477,0.2351676
22,-1.1543758,-1.1151934,"('untrustworthy', 'trustworthy')",-1.1543758,-1.1151934,0.0391824
23,6.308231,6.3250623,"('insincere', 'sincere')",6.3082309,6.3250623,0.0168314
24,1.5530274,1.5521966,"('dishonest', 'honest')",1.5530274,1.5521966,-0.0008308
25,0.85758567,0.7590602,"('egoistic', 'altruistic')",0.8575857,0.7590602,-0.0985255
26,0.5663487,0.2887433,"('hardhearted', 'benevolent')",0.5663487,0.2887433,-0.2776054
27,1.5682322,1.4678344,"('hardhearted', 'softhearted')",1.5682322,1.4678344,-0.1003978
28,1.2036166,1.1924508,"('disloyal', 'loyal')",1.2036166,1.1924508,-0.0111658
29,-0.38140738,-0.5399191,"('unfair', 'fair')",-0.3814074,-0.5399191,-0.1585117
30,0.4242421,0.48758057,"('intolerant', 'tolerant')",0.4242421,0.4875806,0.0633385
31,-0.4684072,-0.51843894,"('evil', 'good')",-0.4684072,-0.5184389,-0.0500317
32,1.2180383,1.1080835,"('unkind', 'kind')",1.2180383,1.1080835,-0.1099548
33,-0.0011078287,0.010278236,"('wrong', 'right')",-0.0011078,0.0102782,0.011386
34,4.8120565,4.983981,"('mean', 'honorable')",4.8120565,4.9839811,0.1719246
35,-0.059863262,-0.2148299,"('corrupt', 'incorrupt')",-0.0598633,-0.2148299,-0.1549666
36,-0.028239265,-0.10604576,"('hostile', 'amicable')",-0.0282393,-0.1060458,-0.0778065
37,1.0003624,1.0761172,"('fake', 'genuine')",1.0003624,1.0761172,0.0757548
38,0.11832393,0.20638828,"('untruthful', 'truthful')",0.1183239,0.2063883,0.0880644
39,-0.19983046,-0.22970714,"('exploitative', 'cooperative')",-0.1998305,-0.2297071,-0.0298766
40,-1.8701388,-2.0481434,"('stingy', 'generous')",-1.8701388,-2.0481434,-0.1780046
41,-0.20102414,-0.24505812,"('unforgiving', 'forgiving')",-0.2010241,-0.2450581,-0.044034
42,-2.7579367,-2.6905966,"('unreliable', 'reliable')",-2.7579367,-2.6905966,0.0673401
43,0.62147826,0.6556991,"('irresponsible', 'responsible')",0.6214783,0.6556991,0.0342208
44,-1.5568749,-1.6233491,"('prejudiced', 'unprejudiced')",-1.5568749,-1.6233491,-0.0664742
45,-0.39178413,-0.39303744,"('incompetent', 'competent')",-0.3917841,-0.3930374,-0.0012533
46,-1.5149753,-1.4514196,"('uncompetitive', 'competitive')",-1.5149753,-1.4514196,0.0635557
47,5.088749,5.2894816,"('stupid', 'smart')",5.0887489,5.2894816,0.2007327
48,0.2227536,0.20412901,"('unintelligent', 'intelligent')",0.2227536,0.204129,-0.0186246
49,-0.013965244,0.26393494,"('unable', 'able')",-0.0139652,0.2639349,0.2779001
50,0.20927769,0.2244641,"('clumsy', 'skillful')",0.2092777,0.2244641,0.0151864
51,0.02433192,0.05633758,"('uneducated', 'educated')",0.0243319,0.0563376,0.0320057
52,0.13530989,0.14822944,"('irrational', 'rational')",0.1353099,0.1482294,0.0129195
53,0.5706767,0.60153157,"('uncreative', 'creative')",0.5706767,0.6015316,0.0308549
54,1.3951315,1.7287077,"('incapable', 'capable')",1.3951315,1.7287077,0.3335762
55,-0.07955645,-0.03349107,"('incompetent', 'clever')",-0.0795565,-0.0334911,0.0460654
56,0.07355122,0.059126686,"('impractical', 'practical')",0.0735512,0.0591267,-0.0144245
57,-3.4042215,-3.3068445,"('unimaginative', 'imaginative')",-3.4042215,-3.3068445,0.097377
58,0.11072772,0.044158682,"('undiscriminating', 'discriminating')",0.1107277,0.0441587,-0.066569
59,0.7432486,0.85319597,"('foolish', 'wise')",0.7432486,0.853196,0.1099474
60,-0.27029935,-0.17044675,"('inefficient', 'efficient')",-0.2702993,-0.1704468,0.0998525
61,0.12799701,0.02416848,"('illogical', 'logical')",0.127997,0.0241685,-0.1038285
62,0.5014889,0.68954366,"('incompetent', 'brilliant')",0.5014889,0.6895437,0.1880548
63,0.1909339,0.26789576,"('unperceptive', 'insightful')",0.1909339,0.2678958,0.0769619
64,-7.1135473,-6.9812183,"('shy', 'confident')",-7.1135473,-6.9812183,0.132329
65,-0.50682,-0.48454124,"('insecure', 'secure')",-0.50682,-0.4845412,0.0222788
66,0.23130941,0.1722424,"('inactive', 'active')",0.2313094,0.1722424,-0.059067
67,-0.47244066,-0.4826616,"('doubtful', 'determined')",-0.4724407,-0.4826616,-0.0102209
68,-0.46731663,-0.34065884,"('dependent', 'independent')",-0.4673166,-0.3406588,0.1266578
69,-1.4756286,-1.4627279,"('lazy', 'industrious')",-1.4756286,-1.4627279,0.0129007
70,0.29595,0.38232788,"('lethargic', 'energetic')",0.29595,0.3823279,0.0863779
71,0.8307732,0.7704399,"('diffident', 'self-confident')",0.8307732,0.7704399,-0.0603333
