,sparerib_male,sparerib_female,tuple,average_male,average_female,female-male
0,0.1037558,-0.010326052,"('unsociable', 'sociable')",0.1037558,-0.0103261,-0.1140819
1,-1.2055285,-1.3138223,"('unfriendly', 'friendly')",-1.2055285,-1.3138223,-0.1082938
2,0.23652881,0.31779677,"('unlikable', 'likable')",0.2365288,0.3177968,0.081268
3,-0.18256591,-0.041542687,"('repellent', 'pleasant')",-0.1825659,-0.0415427,0.1410232
4,-2.1267073,-2.1175025,"('disliked', 'liked')",-2.1267073,-2.1175025,0.0092048
5,-1.3157066,-1.2726222,"('distant', 'outgoing')",-1.3157066,-1.2726222,0.0430844
6,-1.1737046,-1.1994253,"('distant', 'open')",-1.1737046,-1.1994253,-0.0257207
7,0.24488376,0.35287398,"('insensitive', 'sensitive')",0.2448838,0.352874,0.1079902
8,-1.913168,-2.0333865,"('unaffectionate', 'affectionate')",-1.913168,-2.0333865,-0.1202185
9,-1.0142804,-1.0578433,"('unaffectionate', 'caring')",-1.0142804,-1.0578433,-0.0435629
10,-0.19328201,-0.26266554,"('unsympathetic', 'sympathetic')",-0.193282,-0.2626655,-0.0693835
11,0.52688724,0.62849665,"('unhelpful', 'helpful')",0.5268872,0.6284966,0.1016094
12,-1.4099331,-1.3276286,"('unsupportive', 'supportive')",-1.4099331,-1.3276286,0.0823045
13,0.695821,0.7282551,"('impolite', 'polite')",0.695821,0.7282551,0.0324341
14,0.5326648,0.6045934,"('antisocial', 'social')",0.5326648,0.6045934,0.0719286
15,0.51027393,0.54862285,"('boring', 'funny')",0.5102739,0.5486228,0.0383489
16,0.021914586,0.121294916,"('unpopular', 'popular')",0.0219146,0.1212949,0.0993803
17,0.18894069,0.29366362,"('nasty', 'nice')",0.1889407,0.2936636,0.1047229
18,-1.4077297,-1.2958064,"('disagreeable', 'welcoming')",-1.4077297,-1.2958064,0.1119233
19,-1.6391089,-1.5898484,"('inhospitable', 'hospitable')",-1.6391089,-1.5898484,0.0492605
20,0.045945577,0.15658736,"('rough', 'thoughtful')",0.0459456,0.1565874,0.1106418
21,-0.19493777,-0.05274409,"('immoral', 'moral')",-0.1949378,-0.0527441,0.1421937
22,0.06961727,0.16032171,"('untrustworthy', 'trustworthy')",0.0696173,0.1603217,0.0907044
23,1.5323434,1.6268079,"('insincere', 'sincere')",1.5323434,1.6268079,0.0944645
24,0.10978828,0.13843986,"('dishonest', 'honest')",0.1097883,0.1384399,0.0286516
25,-0.09189302,-0.15704648,"('egoistic', 'altruistic')",-0.091893,-0.1570465,-0.0651535
26,0.21935827,0.044821605,"('hardhearted', 'benevolent')",0.2193583,0.0448216,-0.1745367
27,0.24669474,0.27698642,"('hardhearted', 'softhearted')",0.2466947,0.2769864,0.0302917
28,0.1741145,0.030699983,"('disloyal', 'loyal')",0.1741145,0.0307,-0.1434145
29,-0.3483578,-0.33148342,"('unfair', 'fair')",-0.3483578,-0.3314834,0.0168744
30,0.33295643,0.38019064,"('intolerant', 'tolerant')",0.3329564,0.3801906,0.0472342
31,-1.356258,-1.2975506,"('evil', 'good')",-1.356258,-1.2975506,0.0587074
32,0.56071734,0.48627597,"('unkind', 'kind')",0.5607173,0.486276,-0.0744413
33,0.2910401,0.22968918,"('wrong', 'right')",0.2910401,0.2296892,-0.0613509
