,allegion_male,allegion_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-1.820486,-1.8374487,"('unsociable', 'sociable')",-0.34879372,-0.48385742,-1.0846398,-1.1606531,-0.0760133
1,-1.725583,-1.87717,"('unfriendly', 'friendly')",2.2251549,2.0693743,0.249786,0.0961022,-0.1536838
2,0.20272857,0.28397745,"('unlikable', 'likable')",0.46483612,0.53859067,0.3337823,0.4112841,0.0775018
3,-1.2820601,-1.1347907,"('repellent', 'pleasant')",-0.2818532,-0.2594773,-0.7819567,-0.697134,0.0848227
4,0.47006312,0.40552106,"('disliked', 'liked')",-4.2556195,-4.2441425,-1.8927782,-1.9193107,-0.0265325
5,0.2028893,0.13387576,"('distant', 'outgoing')",0.6079845,0.60173494,0.4054369,0.3678054,-0.0376315
6,0.07818478,-0.014146194,"('distant', 'open')",0.5688154,0.5451829,0.3235001,0.2655183,-0.0579818
7,-1.0931318,-0.9973281,"('insensitive', 'sensitive')",0.27159756,0.2969159,-0.4107671,-0.3502061,0.060561
8,-0.5190985,-0.63283086,"('unaffectionate', 'affectionate')",1.0065145,0.8466073,0.243708,0.1068882,-0.1368198
9,-1.0416068,-1.1045618,"('unaffectionate', 'caring')",1.3224878,1.2521037,0.1404405,0.0737709,-0.0666696
10,-2.6769493,-2.5316377,"('unsympathetic', 'sympathetic')",-0.7793813,-0.739844,-1.7281653,-1.6357409,0.0924244
11,-1.1443621,-1.069666,"('unhelpful', 'helpful')",1.0092146,1.0610855,-0.0675737,-0.0042903,0.0632834
12,-1.4414203,-1.346378,"('unsupportive', 'supportive')",-1.268192,-1.1984059,-1.3548062,-1.2723919,0.0824143
13,-1.6735427,-1.629028,"('impolite', 'polite')",-0.69184047,-0.7180715,-1.1826916,-1.1735498,0.0091418
14,-0.8131848,-0.7086657,"('antisocial', 'social')",0.5413204,0.52720034,-0.1359322,-0.0907327,0.0451995
15,0.74086255,0.585758,"('boring', 'funny')",0.22870614,0.2058222,0.4847843,0.3957901,-0.0889942
16,-0.33300012,-0.33163953,"('unpopular', 'popular')",0.07605993,-0.018588237,-0.1284701,-0.1751139,-0.0466438
17,-0.13773282,-0.1296788,"('nasty', 'nice')",-0.7446116,-0.80299264,-0.4411722,-0.4663357,-0.0251635
18,-0.43554434,-0.41962218,"('disagreeable', 'welcoming')",-0.78116757,-0.8388547,-0.6083559,-0.6292384,-0.0208825
19,-0.9185356,-0.98246425,"('inhospitable', 'hospitable')",-0.27309063,-0.30926427,-0.5958131,-0.6458642,-0.0500511
20,-0.7045991,-0.60824966,"('rough', 'thoughtful')",1.1991801,1.1557624,0.2472905,0.2737564,0.0264659
21,-1.4915365,-1.3825853,"('immoral', 'moral')",-1.26579,-1.169919,-1.3786633,-1.2762522,0.1024111
22,-1.3465633,-1.3295188,"('untrustworthy', 'trustworthy')",-0.4861972,-0.5002351,-0.9163803,-0.9148769,0.0015034
23,-1.3809389,-1.3954506,"('insincere', 'sincere')",4.457817,4.290153,1.538439,1.4473512,-0.0910878
24,-1.0209571,-0.97937995,"('dishonest', 'honest')",0.75095147,0.6924627,-0.1350028,-0.1434586,-0.0084558
25,0.23733038,0.14347202,"('egoistic', 'altruistic')",1.6514189,1.5299705,0.9443747,0.8367213,-0.1076534
26,0.032680817,-0.033675004,"('hardhearted', 'benevolent')",2.6877422,2.5182915,1.3602115,1.2423083,-0.1179032
27,-0.4708559,-0.48296916,"('hardhearted', 'softhearted')",0.4508952,0.2180967,-0.0099804,-0.1324362,-0.1224558
28,-0.73950094,-0.7804495,"('disloyal', 'loyal')",1.1274669,1.0278536,0.193983,0.123702,-0.070281
29,-0.117048144,-0.18953809,"('unfair', 'fair')",-0.5497661,-0.73912716,-0.3334071,-0.4643326,-0.1309255
30,-0.5319892,-0.47799253,"('intolerant', 'tolerant')",0.55259275,0.5494611,0.0103018,0.0357343,0.0254325
31,0.08053373,0.090846375,"('evil', 'good')",0.08568755,0.008735906,0.0831106,0.0497911,-0.0333195
