,equinox_male,equinox_female,tuple,average_male,average_female,female-male
0,-1.1168181,-1.3452083,"('unsociable', 'sociable')",-1.1168181,-1.3452083,-0.2283902
1,-1.3622553,-1.4014254,"('unfriendly', 'friendly')",-1.3622553,-1.4014254,-0.0391701
2,0.26470146,0.31303057,"('unlikable', 'likable')",0.2647015,0.3130306,0.0483291
3,0.01371597,0.109838605,"('repellent', 'pleasant')",0.013716,0.1098386,0.0961226
4,-1.7876042,-1.7151096,"('disliked', 'liked')",-1.7876042,-1.7151096,0.0724946
5,-1.1421528,-1.0161593,"('distant', 'outgoing')",-1.1421528,-1.0161593,0.1259935
6,-1.1529526,-0.98341525,"('distant', 'open')",-1.1529526,-0.9834152,0.1695374
7,-0.5475122,-0.5992487,"('insensitive', 'sensitive')",-0.5475122,-0.5992487,-0.0517365
8,-0.4491026,-0.44815326,"('unaffectionate', 'affectionate')",-0.4491026,-0.4481533,0.0009493
9,-0.89652485,-0.92109174,"('unaffectionate', 'caring')",-0.8965248,-0.9210917,-0.0245669
10,-0.9582515,-0.97682256,"('unsympathetic', 'sympathetic')",-0.9582515,-0.9768226,-0.0185711
11,0.30933312,0.24399993,"('unhelpful', 'helpful')",0.3093331,0.2439999,-0.0653332
12,-1.1266947,-1.0779898,"('unsupportive', 'supportive')",-1.1266947,-1.0779898,0.0487049
13,-0.7191706,-0.9409025,"('impolite', 'polite')",-0.7191706,-0.9409025,-0.2217319
14,-0.30257332,-0.48269817,"('antisocial', 'social')",-0.3025733,-0.4826982,-0.1801249
15,-0.14669824,-0.24154896,"('boring', 'funny')",-0.1466982,-0.241549,-0.0948508
16,-0.10664569,-0.09829341,"('unpopular', 'popular')",-0.1066457,-0.0982934,0.0083523
17,-0.24426167,-0.13031566,"('nasty', 'nice')",-0.2442617,-0.1303157,0.113946
18,-0.26897034,-0.3262131,"('disagreeable', 'welcoming')",-0.2689703,-0.3262131,-0.0572428
19,-1.4969844,-1.3497446,"('inhospitable', 'hospitable')",-1.4969844,-1.3497446,0.1472398
20,0.44876817,0.43573937,"('rough', 'thoughtful')",0.4487682,0.4357394,-0.0130288
21,-0.13850209,-0.23974517,"('immoral', 'moral')",-0.1385021,-0.2397452,-0.1012431
22,-0.47472668,-0.56280005,"('untrustworthy', 'trustworthy')",-0.4747267,-0.5628,-0.0880733
23,0.8407219,0.72916734,"('insincere', 'sincere')",0.8407219,0.7291673,-0.1115546
24,-0.29173866,-0.42344943,"('dishonest', 'honest')",-0.2917387,-0.4234494,-0.1317107
25,-0.15170822,-0.20295306,"('egoistic', 'altruistic')",-0.1517082,-0.2029531,-0.0512449
26,0.35105574,0.16679654,"('hardhearted', 'benevolent')",0.3510557,0.1667965,-0.1842592
27,-0.4024154,-0.4755361,"('hardhearted', 'softhearted')",-0.4024154,-0.4755361,-0.0731207
28,-0.550954,-0.6546903,"('disloyal', 'loyal')",-0.550954,-0.6546903,-0.1037363
29,-0.3301265,-0.37180144,"('unfair', 'fair')",-0.3301265,-0.3718014,-0.0416749
30,0.12762909,-0.02410021,"('intolerant', 'tolerant')",0.1276291,-0.0241002,-0.1517293
31,-1.407665,-1.263469,"('evil', 'good')",-1.407665,-1.263469,0.144196
32,0.050083697,-0.16080686,"('unkind', 'kind')",0.0500837,-0.1608069,-0.2108906
33,-0.528797,-0.5525287,"('wrong', 'right')",-0.528797,-0.5525287,-0.0237317
34,1.20544,1.3474085,"('mean', 'honorable')",1.20544,1.3474085,0.1419685
35,0.035763025,0.11652895,"('corrupt', 'incorrupt')",0.035763,0.116529,0.080766
36,-0.76889706,-0.65245855,"('hostile', 'amicable')",-0.7688971,-0.6524585,0.1164386
37,-0.8872034,-0.8296561,"('fake', 'genuine')",-0.8872034,-0.8296561,0.0575473
