,ingersoll_male,ingersoll_female,tuple,rand_male,rand_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.0990713,-2.2935567,"('unsociable', 'sociable')",-0.123240545,-0.2745756,-0.6932935,-0.76502204,-0.9718684,-1.1110515,-0.1391831
1,-1.6407756,-1.8191599,"('unfriendly', 'friendly')",1.1258467,0.9809484,2.1946776,2.0570717,0.5599163,0.4062867,-0.1536296
2,0.4053589,0.3852172,"('unlikable', 'likable')",0.84333414,0.8209406,0.73936266,0.8039813,0.6626852,0.6700463,0.0073611
3,-1.5348042,-1.5591505,"('repellent', 'pleasant')",-0.6447905,-0.5265432,0.20068094,0.24203482,-0.6596379,-0.6145529,0.045085
4,1.1172389,1.0517594,"('disliked', 'liked')",-0.17716244,-0.21452273,-6.2940507,-6.410217,-1.7846581,-1.85766,-0.0730019
5,1.0877761,1.0681552,"('distant', 'outgoing')",0.9889739,0.91418177,-0.11002854,-0.074535586,0.6555738,0.6359338,-0.01964
6,0.95739913,0.99036705,"('distant', 'open')",0.90923923,0.8645557,0.50878114,0.510509,0.7918065,0.7884773,-0.0033292
7,-2.147792,-2.1517856,"('insensitive', 'sensitive')",-0.39646736,-0.30891073,0.54715294,0.6184591,-0.6657022,-0.614079,0.0516232
8,0.042436108,-0.066077165,"('unaffectionate', 'affectionate')",1.1263224,1.0552915,1.0418749,0.91459465,0.7368778,0.634603,-0.1022748
9,-0.5366746,-0.6423668,"('unaffectionate', 'caring')",1.6393656,1.56081,1.141228,1.0980815,0.747973,0.6721749,-0.0757981
10,-3.47244,-3.5688856,"('unsympathetic', 'sympathetic')",-1.2563972,-1.2548662,-0.5415106,-0.54940003,-1.7567825,-1.7910506,-0.0342681
11,-2.4484677,-2.550847,"('unhelpful', 'helpful')",-1.0486456,-1.2028047,1.5480467,1.6809099,-0.6496888,-0.6909139,-0.0412251
12,-1.5052729,-1.5261151,"('unsupportive', 'supportive')",0.57025427,0.5314081,-1.7744095,-1.7518914,-0.9031427,-0.9155327,-0.01239
13,-2.30158,-2.430881,"('impolite', 'polite')",-1.4133625,-1.5598671,-0.7078957,-0.6569991,-1.4742794,-1.549249,-0.0749696
14,-1.791424,-1.7628111,"('antisocial', 'social')",-0.27656618,-0.17275843,-0.74045265,-0.67734724,-0.9361477,-0.8709722,0.0651755
15,0.3679397,0.1821954,"('boring', 'funny')",0.5329664,0.395764,0.6509692,0.70174843,0.5172918,0.4265693,-0.0907225
16,0.8555027,0.90725225,"('unpopular', 'popular')",-0.5467835,-0.4611999,0.5484101,0.61407435,0.2857098,0.3533756,0.0676658
17,-0.05997396,-0.065437704,"('nasty', 'nice')",-0.34182248,-0.37048736,-0.5571299,-0.4278493,-0.3196421,-0.2879248,0.0317173
18,-0.58871496,-0.5483841,"('disagreeable', 'welcoming')",-0.6245131,-0.59161896,-0.3807843,-0.38999987,-0.5313374,-0.5100009,0.0213365
19,0.25697815,0.19300428,"('inhospitable', 'hospitable')",0.53810805,0.4811181,0.4098257,0.4163463,0.4016373,0.3634895,-0.0381478
20,-0.81711155,-0.6910894,"('rough', 'thoughtful')",0.56962943,0.7585509,1.083584,1.0731591,0.2787006,0.3802069,0.1015063
21,-2.1158104,-2.200819,"('immoral', 'moral')",-0.94983345,-0.9710049,-1.00027,-0.9557277,-1.3553046,-1.3758505,-0.0205459
22,-1.3753977,-1.4462343,"('untrustworthy', 'trustworthy')",-1.5361441,-1.5476323,-0.9152083,-0.88951445,-1.2755834,-1.2944604,-0.018877
23,-2.5853875,-2.7329557,"('insincere', 'sincere')",-0.2542829,-0.32907593,5.768586,5.822015,0.9763052,0.9199944,-0.0563108
