,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,female-male
0,0.5469456,0.5732709,"('unsociable', 'sociable')",1.0472132,0.97621113,-0.61701286,-0.70597464,0.3257153,0.2811692,-0.0445461
1,-0.16902608,-0.24008247,"('unfriendly', 'friendly')",0.2530502,0.19615903,1.789021,1.6578382,0.6243484,0.5379716,-0.0863768
2,0.2629891,0.25886753,"('unlikable', 'likable')",0.16417134,0.21742088,0.35317466,0.44504088,0.2601117,0.3071098,0.0469981
3,0.37474746,0.5400561,"('repellent', 'pleasant')",0.6115523,0.6566085,0.38180405,0.40367493,0.4560346,0.5334465,0.0774119
4,-1.054465,-1.1183424,"('disliked', 'liked')",-0.6336609,-0.68295354,-6.9031987,-6.8461866,-2.8637749,-2.8824943,-0.0187194
5,-1.2302783,-1.3233371,"('distant', 'outgoing')",-0.4074482,-0.4242131,-0.037904125,-0.0104356855,-0.5585435,-0.5859953,-0.0274518
6,-1.5204856,-1.5761718,"('distant', 'open')",-1.4123694,-1.4451404,0.5181151,0.53584546,-0.8049134,-0.8284889,-0.0235755
7,1.6421131,1.7764314,"('insensitive', 'sensitive')",1.5389894,1.7033657,1.0908886,1.0875999,1.4239971,1.5224657,0.0984686
8,-0.7333818,-0.77186817,"('unaffectionate', 'affectionate')",-0.5600217,-0.5622419,0.8975074,0.7901735,-0.1319654,-0.1813122,-0.0493468
9,0.2425441,0.21471679,"('unaffectionate', 'caring')",1.0755221,1.0859737,1.3951589,1.3596665,0.9044083,0.8867857,-0.0176226
10,0.7860065,0.9635233,"('unsympathetic', 'sympathetic')",0.65734845,0.72030836,-0.34739235,-0.33873945,0.3653209,0.4483641,0.0830432
11,0.9735131,1.0614254,"('unhelpful', 'helpful')",1.9022341,2.008436,1.9731642,2.097378,1.6163038,1.7224131,0.1061093
12,1.2080742,1.3140867,"('unsupportive', 'supportive')",2.2469769,2.4489965,-1.5016912,-1.4551865,0.6511199,0.7692989,0.118179
13,1.955476,1.9568071,"('impolite', 'polite')",1.6964104,1.6862985,-0.16370718,-0.21215072,1.1627264,1.1436516,-0.0190748
14,1.1685998,1.2849927,"('antisocial', 'social')",1.9900994,2.024138,-0.58528596,-0.578303,0.8578045,0.9102759,0.0524714
15,0.037050493,-0.052501954,"('boring', 'funny')",0.2371472,0.2076314,0.54104275,0.5632059,0.2717468,0.2394451,-0.0323017
16,-1.2417545,-1.2464793,"('unpopular', 'popular')",-0.70842046,-0.61299086,-0.036881596,0.025689408,-0.6623522,-0.6112603,0.0510919
17,-0.33930826,-0.2608873,"('nasty', 'nice')",0.5134543,0.5956453,-0.060566984,-0.0037896093,0.0378597,0.1103228,0.0724631
18,0.6015262,0.659565,"('disagreeable', 'welcoming')",0.4284454,0.60316604,-0.14276715,-0.13837181,0.2957348,0.3747864,0.0790516
19,-1.7189136,-1.703027,"('inhospitable', 'hospitable')",-1.2723066,-1.2512163,0.027004823,0.114003554,-0.9880718,-0.9467465,0.0413253
20,-0.51181704,-0.3812694,"('rough', 'thoughtful')",-0.08141548,-0.046473645,0.8232512,0.7843739,0.0766729,0.1188769,0.042204
21,1.198775,1.2972199,"('immoral', 'moral')",1.5770919,1.5507089,-0.61275834,-0.55178744,0.7210362,0.7653805,0.0443443
22,1.0977976,1.149412,"('untrustworthy', 'trustworthy')",1.2410295,1.2472825,-0.4458027,-0.4823943,0.6310081,0.6381001,0.007092
23,1.0960374,1.1783507,"('insincere', 'sincere')",1.981669,2.0168808,6.2200046,6.1265655,3.0992368,3.1072655,0.0080287
24,0.83038515,0.83012563,"('dishonest', 'honest')",0.6843077,0.6355967,0.8945163,0.8021661,0.8030697,0.7559628,-0.0471069
