,cars_male,cars_female,tuple,com_male,com_female,inc_male,inc_female,average_male,average_female,female-male
0,0.61541605,0.5847204,"('unsociable', 'sociable')",0.92998475,0.80736065,-0.24385406,-0.44242668,0.4338489,0.3165514,-0.1172975
1,0.80875605,0.7566984,"('unfriendly', 'friendly')",0.50863546,0.59602433,1.6336566,1.5215864,0.9836827,0.958103,-0.0255797
2,0.90488046,0.90421927,"('unlikable', 'likable')",0.5208709,0.5905974,0.6826575,0.7210234,0.702803,0.7386134,0.0358104
3,-0.24313623,-0.08107314,"('repellent', 'pleasant')",0.37237674,0.49101943,-0.06398024,0.005493384,0.0217534,0.1384799,0.1167265
4,-0.29166362,-0.3820957,"('disliked', 'liked')",-1.2231247,-1.2503827,-6.2943554,-6.3773875,-2.603048,-2.6699553,-0.0669073
5,0.66255265,0.56881183,"('distant', 'outgoing')",-0.32286623,-0.2755687,-0.15191332,-0.08221486,0.062591,0.0703428,0.0077518
6,0.5432616,0.41717494,"('distant', 'open')",-0.508569,-0.45233485,0.43521464,0.49327064,0.1566357,0.1527036,-0.0039321
7,-0.24725167,-0.20569904,"('insensitive', 'sensitive')",-0.17219336,-0.0012953877,0.23043746,0.2790078,-0.0630025,0.0240045,0.087007
8,0.43537855,0.31893495,"('unaffectionate', 'affectionate')",-1.0917121,-1.0857962,0.7748792,0.8063557,0.0395152,0.0131648,-0.0263504
9,1.763728,1.6747899,"('unaffectionate', 'caring')",0.08663696,0.119620934,1.2945993,1.3518425,1.0483214,1.0487511,0.0004297
10,0.06636019,0.100893356,"('unsympathetic', 'sympathetic')",-0.5369116,-0.43977886,-0.78121823,-0.8050499,-0.4172566,-0.3813118,0.0359448
11,1.0296614,1.0901695,"('unhelpful', 'helpful')",1.1417079,1.2087306,1.7720883,1.8563398,1.3144859,1.38508,0.0705941
12,0.4870464,0.57603943,"('unsupportive', 'supportive')",-0.36009723,-0.20031801,-2.3678877,-2.2825155,-0.7469796,-0.635598,0.1113816
13,0.99403036,1.030552,"('impolite', 'polite')",0.18982658,0.12206277,-0.52366424,-0.5705176,0.2200642,0.1940324,-0.0260318
14,0.3110846,0.428894,"('antisocial', 'social')",1.622954,1.5878534,-0.48780006,-0.5817101,0.4820795,0.4783458,-0.0037337
15,1.1234313,0.9387193,"('boring', 'funny')",0.4189598,0.35209888,0.42571747,0.37928382,0.6560362,0.5567007,-0.0993355
16,-0.29275167,-0.2988862,"('unpopular', 'popular')",0.24107908,0.26851457,0.9745738,0.96077824,0.3076337,0.3101355,0.0025018
17,0.27972582,0.3663077,"('nasty', 'nice')",-0.008005388,-0.08255918,-0.40512916,-0.41263288,-0.0444696,-0.0429615,0.0015081
18,-0.52944696,-0.48326254,"('disagreeable', 'welcoming')",-1.2689842,-1.2031525,-0.36729556,-0.41684055,-0.7219089,-0.7010852,0.0208237
19,-0.07734064,-0.13531947,"('inhospitable', 'hospitable')",-0.44862336,-0.48752138,-0.4101947,-0.33862948,-0.3120529,-0.3204901,-0.0084372
20,-0.729751,-0.6219859,"('rough', 'thoughtful')",0.38275284,0.4560078,1.0153518,0.99974334,0.2227845,0.2779218,0.0551373
