,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,female-male
0,0.59048283,0.53089595,"('unsociable', 'sociable')",1.9019624,1.9610556,-0.18830936,-0.39372993,0.7680453,0.6994072,-0.0686381
1,-1.1872808,-1.1269732,"('unfriendly', 'friendly')",-0.905619,-0.83754724,1.3060793,1.2706698,-0.2622735,-0.2312835,0.03099
2,-0.013329107,0.044414513,"('unlikable', 'likable')",0.51659524,0.6285831,0.6139128,0.67278624,0.372393,0.4485946,0.0762016
3,-0.036855444,0.03687202,"('repellent', 'pleasant')",0.785223,0.9157664,1.1007164,1.0348161,0.6163613,0.6624849,0.0461236
4,-1.7881508,-1.6341857,"('disliked', 'liked')",-1.1428534,-1.0472199,-7.488532,-7.4562273,-3.4731789,-3.3792108,0.0939681
5,-2.6301608,-2.4926643,"('distant', 'outgoing')",-1.305203,-1.2922968,-0.62871015,-0.5013277,-1.521358,-1.4287629,0.0925951
6,-2.6123307,-2.5225117,"('distant', 'open')",-1.6441016,-1.6249071,-0.31569055,-0.13624763,-1.524041,-1.4278889,0.0961521
7,1.8966388,1.8519521,"('insensitive', 'sensitive')",2.2523725,2.3775485,0.27344733,0.32753828,1.4741529,1.5190131,0.0448602
8,-0.9729081,-0.9990476,"('unaffectionate', 'affectionate')",-1.1557719,-1.1499319,0.75655776,0.8572959,-0.4573741,-0.4305612,0.0268129
9,-0.044295345,-0.033629492,"('unaffectionate', 'caring')",0.43749025,0.5435263,1.4762979,1.6892875,0.6231643,0.7330615,0.1098972
10,1.7842354,1.6768423,"('unsympathetic', 'sympathetic')",2.0563831,2.2254715,0.28379154,0.40599272,1.3748034,1.4361021,0.0612987
11,1.8123151,1.7991515,"('unhelpful', 'helpful')",2.6737375,2.8032994,2.1201053,2.1611533,2.2020526,2.2545347,0.0524821
12,1.4318075,1.495854,"('unsupportive', 'supportive')",1.8829283,2.1548774,-2.2063403,-2.0511668,0.3694652,0.5331883,0.1637231
13,1.6466949,1.46984,"('impolite', 'polite')",1.2219609,1.1134572,-0.527021,-0.4948576,0.7805449,0.6961466,-0.0843983
14,2.6071646,2.592191,"('antisocial', 'social')",2.896105,2.9371111,-0.2076289,-0.38850096,1.7652136,1.7136003,-0.0516133
15,-0.16669261,-0.26923501,"('boring', 'funny')",-0.030020777,-0.25682122,-0.039236624,-0.022188658,-0.07865,-0.1827483,-0.1040983
16,-1.5418696,-1.565971,"('unpopular', 'popular')",-0.7408266,-0.6960359,-0.11425663,-0.10559551,-0.7989843,-0.7892009,0.0097834
17,-0.16037424,-0.11206156,"('nasty', 'nice')",-0.19691841,-0.17882316,-0.35524994,-0.29847163,-0.2375142,-0.1964521,0.0410621
