,premier_male,premier_female,tuple,average_male,average_female,female-male
0,-0.2195441,-0.22427508,"('unsociable', 'sociable')",-0.2195441,-0.2242751,-0.004731
1,1.5686976,1.5804242,"('unfriendly', 'friendly')",1.5686976,1.5804242,0.0117266
2,0.526554,0.7412257,"('unlikable', 'likable')",0.526554,0.7412257,0.2146717
3,0.6588177,0.8053048,"('repellent', 'pleasant')",0.6588177,0.8053048,0.1464871
4,-7.195685,-7.1651225,"('disliked', 'liked')",-7.1956849,-7.1651225,0.0305624
5,-0.06514047,0.0998166,"('distant', 'outgoing')",-0.0651405,0.0998166,0.1649571
6,0.14844653,0.26612714,"('distant', 'open')",0.1484465,0.2661271,0.1176806
7,1.0303845,1.0877733,"('insensitive', 'sensitive')",1.0303845,1.0877733,0.0573888
8,1.3784518,1.3920166,"('unaffectionate', 'affectionate')",1.3784518,1.3920166,0.0135648
9,1.6104873,1.6956062,"('unaffectionate', 'caring')",1.6104873,1.6956062,0.0851189
10,0.9543422,1.0260034,"('unsympathetic', 'sympathetic')",0.9543422,1.0260034,0.0716612
11,1.8467999,1.9250969,"('unhelpful', 'helpful')",1.8467999,1.9250969,0.078297
12,-1.1919476,-1.0504208,"('unsupportive', 'supportive')",-1.1919476,-1.0504208,0.1415268
13,-0.006981466,0.00755113,"('impolite', 'polite')",-0.0069815,0.0075511,0.0145326
14,-0.08146071,-0.104090296,"('antisocial', 'social')",-0.0814607,-0.1040903,-0.0226296
15,0.45492008,0.4188883,"('boring', 'funny')",0.4549201,0.4188883,-0.0360318
16,-0.56949353,-0.4641484,"('unpopular', 'popular')",-0.5694935,-0.4641484,0.1053451
17,-0.06339403,0.011166986,"('nasty', 'nice')",-0.063394,0.011167,0.074561
18,-0.26177606,-0.2078947,"('disagreeable', 'welcoming')",-0.2617761,-0.2078947,0.0538814
19,-0.08644883,0.072301,"('inhospitable', 'hospitable')",-0.0864488,0.072301,0.1587498
20,0.7010645,0.5063436,"('rough', 'thoughtful')",0.7010645,0.5063436,-0.1947209
