,genocide_male,genocide_female,tuple,average_male,average_female,female-male
0,-0.08182286,-0.14392844,"('unsociable', 'sociable')",-0.0818229,-0.1439284,-0.0621055
1,1.1713847,1.0226165,"('unfriendly', 'friendly')",1.1713847,1.0226165,-0.1487682
2,0.6435849,0.770165,"('unlikable', 'likable')",0.6435849,0.770165,0.1265801
3,1.0341711,1.0616739,"('repellent', 'pleasant')",1.0341711,1.0616739,0.0275028
4,-7.4555845,-7.352654,"('disliked', 'liked')",-7.4555845,-7.352654,0.1029305
5,-0.35244083,-0.24702986,"('distant', 'outgoing')",-0.3524408,-0.2470299,0.1054109
6,0.009541474,0.094871804,"('distant', 'open')",0.0095415,0.0948718,0.0853303
7,0.7964232,0.8596369,"('insensitive', 'sensitive')",0.7964232,0.8596369,0.0632137
8,0.8833537,0.8376283,"('unaffectionate', 'affectionate')",0.8833537,0.8376283,-0.0457254
9,1.4909221,1.5152123,"('unaffectionate', 'caring')",1.4909221,1.5152123,0.0242902
10,1.3999519,1.4804173,"('unsympathetic', 'sympathetic')",1.3999519,1.4804173,0.0804654
11,1.881971,1.923153,"('unhelpful', 'helpful')",1.881971,1.923153,0.041182
12,-1.5968437,-1.581193,"('unsupportive', 'supportive')",-1.5968437,-1.581193,0.0156507
13,0.35348308,0.3490255,"('impolite', 'polite')",0.3534831,0.3490255,-0.0044576
14,-0.40351436,-0.47051898,"('antisocial', 'social')",-0.4035144,-0.470519,-0.0670046
15,0.030937314,-0.055592995,"('boring', 'funny')",0.0309373,-0.055593,-0.0865303
16,-0.3146488,-0.3126358,"('unpopular', 'popular')",-0.3146488,-0.3126358,0.002013
17,-0.20662329,-0.107838824,"('nasty', 'nice')",-0.2066233,-0.1078388,0.0987845
18,-0.5758498,-0.6847474,"('disagreeable', 'welcoming')",-0.5758498,-0.6847474,-0.1088976
19,-0.5955786,-0.4318469,"('inhospitable', 'hospitable')",-0.5955786,-0.4318469,0.1637317
20,0.879425,0.7222325,"('rough', 'thoughtful')",0.879425,0.7222325,-0.1571925
21,0.15482782,0.29442528,"('immoral', 'moral')",0.1548278,0.2944253,0.1395975
22,-0.34999537,-0.3254508,"('untrustworthy', 'trustworthy')",-0.3499954,-0.3254508,0.0245446
23,6.337151,6.2075167,"('insincere', 'sincere')",6.3371511,6.2075167,-0.1296344
24,1.796529,1.7578928,"('dishonest', 'honest')",1.7965291,1.7578928,-0.0386363
25,0.22516897,0.108105764,"('egoistic', 'altruistic')",0.225169,0.1081058,-0.1170632
26,0.0154295415,-0.06559679,"('hardhearted', 'benevolent')",0.0154295,-0.0655968,-0.0810263
27,1.7160801,1.5612531,"('hardhearted', 'softhearted')",1.7160801,1.5612531,-0.154827
28,1.0631157,1.0821798,"('disloyal', 'loyal')",1.0631157,1.0821798,0.0190641
29,-0.61064994,-0.6805856,"('unfair', 'fair')",-0.6106499,-0.6805856,-0.0699357
30,0.8544057,0.8643484,"('intolerant', 'tolerant')",0.8544057,0.8643484,0.0099427
31,-1.6932216,-1.6761833,"('evil', 'good')",-1.6932216,-1.6761833,0.0170383
32,1.3312314,1.3168638,"('unkind', 'kind')",1.3312314,1.3168638,-0.0143676
33,-0.41957828,-0.36923444,"('wrong', 'right')",-0.4195783,-0.3692344,0.0503439
34,4.648761,4.675235,"('mean', 'honorable')",4.6487608,4.6752348,0.026474
35,-1.2751458,-1.3452959,"('corrupt', 'incorrupt')",-1.2751458,-1.3452959,-0.0701501
36,-0.9898964,-1.0783985,"('hostile', 'amicable')",-0.9898964,-1.0783985,-0.0885021
37,1.0256566,1.0117399,"('fake', 'genuine')",1.0256566,1.0117399,-0.0139167
38,-0.07493618,-0.036124326,"('untruthful', 'truthful')",-0.0749362,-0.0361243,0.0388119
39,0.055124912,0.0027841572,"('exploitative', 'cooperative')",0.0551249,0.0027842,-0.0523407
40,-1.7421105,-1.8723149,"('stingy', 'generous')",-1.7421105,-1.8723149,-0.1302044
41,0.060316607,0.10014441,"('unforgiving', 'forgiving')",0.0603166,0.1001444,0.0398278
42,-1.962155,-1.9074268,"('unreliable', 'reliable')",-1.962155,-1.9074268,0.0547282
43,1.2834737,1.2709221,"('irresponsible', 'responsible')",1.2834737,1.2709221,-0.0125516
44,-1.220565,-1.218401,"('prejudiced', 'unprejudiced')",-1.220565,-1.218401,0.002164
45,0.3670971,0.3945394,"('incompetent', 'competent')",0.3670971,0.3945394,0.0274423
46,-0.18832418,-0.185856,"('uncompetitive', 'competitive')",-0.1883242,-0.185856,0.0024682
47,5.2939205,5.3798327,"('stupid', 'smart')",5.2939205,5.3798327,0.0859122
48,0.5815259,0.42801034,"('unintelligent', 'intelligent')",0.5815259,0.4280103,-0.1535156
49,0.53890634,0.6697517,"('unable', 'able')",0.5389063,0.6697517,0.1308454
50,-0.013440326,-0.028644606,"('clumsy', 'skillful')",-0.0134403,-0.0286446,-0.0152043
51,0.5272612,0.5346389,"('uneducated', 'educated')",0.5272612,0.5346389,0.0073777
52,-0.41576567,-0.42338884,"('irrational', 'rational')",-0.4157657,-0.4233888,-0.0076231
53,-0.09556174,-0.16922985,"('uncreative', 'creative')",-0.0955617,-0.1692299,-0.0736682
54,1.1110628,1.2777513,"('incapable', 'capable')",1.1110628,1.2777513,0.1666885
55,0.6617413,0.623667,"('incompetent', 'clever')",0.6617413,0.623667,-0.0380743
56,0.7427502,0.7786588,"('impractical', 'practical')",0.7427502,0.7786588,0.0359086
57,-2.4946203,-2.4422016,"('unimaginative', 'imaginative')",-2.4946203,-2.4422016,0.0524187
58,-0.13370325,-0.18181467,"('undiscriminating', 'discriminating')",-0.1337032,-0.1818147,-0.0481115
59,-0.036902063,0.052088607,"('foolish', 'wise')",-0.0369021,0.0520886,0.0889907
60,1.1579239,1.122251,"('inefficient', 'efficient')",1.1579239,1.122251,-0.0356729
61,0.30117768,0.09135814,"('illogical', 'logical')",0.3011777,0.0913581,-0.2098196
62,1.2151726,1.2943432,"('incompetent', 'brilliant')",1.2151726,1.2943432,0.0791706
63,0.48826912,0.5214481,"('unperceptive', 'insightful')",0.4882691,0.5214481,0.033179
64,-5.7810726,-5.528635,"('shy', 'confident')",-5.7810726,-5.528635,0.2524376
65,0.6461327,0.63298947,"('insecure', 'secure')",0.6461327,0.6329895,-0.0131432
66,0.01657708,0.016443375,"('inactive', 'active')",0.0165771,0.0164434,-0.0001337
67,-0.2704407,-0.18387374,"('doubtful', 'determined')",-0.2704407,-0.1838737,0.086567
68,-0.13100067,-0.2063558,"('dependent', 'independent')",-0.1310007,-0.2063558,-0.0753551
69,-1.8975886,-1.8078433,"('lazy', 'industrious')",-1.8975886,-1.8078433,0.0897453
70,1.4868839,1.5253645,"('lethargic', 'energetic')",1.4868839,1.5253645,0.0384806
71,0.31317073,0.33264413,"('diffident', 'self-confident')",0.3131707,0.3326441,0.0194734
72,1.0642381,1.1230973,"('unambitious', 'ambitious')",1.0642381,1.1230973,0.0588592
73,-3.021248,-2.9650247,"('helpless', 'self-reliant')",-3.0212481,-2.9650247,0.0562234
74,0.2670499,0.09749015,"('undedicated', 'dedicated')",0.2670499,0.0974901,-0.1695598
75,-0.6388011,-0.4501057,"('meek', 'impulsive')",-0.6388011,-0.4501057,0.1886954
76,0.6425201,0.5658177,"('anxious', 'daring')",0.6425201,0.5658177,-0.0767024
77,-1.1037028,-1.0195538,"('unmotivated', 'motivated')",-1.1037028,-1.0195538,0.084149
78,-0.5305028,-0.60979176,"('nonresilient', 'resilient')",-0.5305028,-0.6097918,-0.079289
79,-0.30386144,-0.18846358,"('wavering', 'unwavering')",-0.3038614,-0.1884636,0.1153978
80,-0.10617072,-0.08998138,"('dominated', 'dominating')",-0.1061707,-0.0899814,0.0161893
81,0.29134876,0.38574517,"('submissive', 'aggressive')",0.2913488,0.3857452,0.0943964
