,hybridization_male,hybridization_female,tuple,average_male,average_female,female-male
0,0.1997102,0.1682462,"('unsociable', 'sociable')",0.1997102,0.1682462,-0.031464
1,0.2110426,0.08465631,"('unfriendly', 'friendly')",0.2110426,0.0846563,-0.1263863
2,0.53405595,0.50261813,"('unlikable', 'likable')",0.5340559,0.5026181,-0.0314378
3,-0.21294408,-0.185403,"('repellent', 'pleasant')",-0.2129441,-0.185403,0.0275411
4,-3.4981058,-3.6930468,"('disliked', 'liked')",-3.4981058,-3.6930468,-0.194941
5,-0.7381488,-0.82510483,"('distant', 'outgoing')",-0.7381488,-0.8251048,-0.086956
6,-0.7222099,-0.7610458,"('distant', 'open')",-0.7222099,-0.7610458,-0.0388359
7,0.07129255,0.21909037,"('insensitive', 'sensitive')",0.0712925,0.2190904,0.1477979
8,0.0032117292,-0.043820333,"('unaffectionate', 'affectionate')",0.0032117,-0.0438203,-0.047032
9,0.33295858,0.30005506,"('unaffectionate', 'caring')",0.3329586,0.3000551,-0.0329035
10,0.04597407,0.18819845,"('unsympathetic', 'sympathetic')",0.0459741,0.1881984,0.1422243
11,1.6759217,1.7381506,"('unhelpful', 'helpful')",1.6759217,1.7381506,0.0622289
12,-0.55115205,-0.46501538,"('unsupportive', 'supportive')",-0.5511521,-0.4650154,0.0861367
13,-0.41846505,-0.3816585,"('impolite', 'polite')",-0.418465,-0.3816585,0.0368065
14,0.41235623,0.44206467,"('antisocial', 'social')",0.4123562,0.4420647,0.0297085
15,0.24729726,0.18805268,"('boring', 'funny')",0.2472973,0.1880527,-0.0592446
16,-0.8164084,-1.0279491,"('unpopular', 'popular')",-0.8164084,-1.0279491,-0.2115407
17,-0.24026848,-0.26301995,"('nasty', 'nice')",-0.2402685,-0.2630199,-0.0227514
18,-0.15124351,-0.21010126,"('disagreeable', 'welcoming')",-0.1512435,-0.2101013,-0.0588578
19,-1.0308603,-1.0282931,"('inhospitable', 'hospitable')",-1.0308603,-1.0282931,0.0025672
20,0.923385,0.82037896,"('rough', 'thoughtful')",0.923385,0.820379,-0.103006
21,0.3952987,0.46457174,"('immoral', 'moral')",0.3952987,0.4645717,0.069273
22,-0.16956219,-0.011558181,"('untrustworthy', 'trustworthy')",-0.1695622,-0.0115582,0.158004
23,2.9286792,3.057689,"('insincere', 'sincere')",2.9286792,3.057689,0.1290098
24,0.021443484,0.13180728,"('dishonest', 'honest')",0.0214435,0.1318073,0.1103638
25,0.8548061,0.8048316,"('egoistic', 'altruistic')",0.8548061,0.8048316,-0.0499745
26,1.1473277,0.99481183,"('hardhearted', 'benevolent')",1.1473277,0.9948118,-0.1525159
27,0.4323233,0.49316475,"('hardhearted', 'softhearted')",0.4323233,0.4931647,0.0608414
28,0.8903243,0.82931805,"('disloyal', 'loyal')",0.8903243,0.829318,-0.0610063
29,-0.75158376,-0.74156165,"('unfair', 'fair')",-0.7515838,-0.7415617,0.0100221
30,0.8038326,0.8161686,"('intolerant', 'tolerant')",0.8038326,0.8161686,0.012336
31,-1.2325178,-1.3482876,"('evil', 'good')",-1.2325178,-1.3482876,-0.1157698
32,0.7859981,0.8506245,"('unkind', 'kind')",0.7859981,0.8506245,0.0646264
33,-0.37641355,-0.4929331,"('wrong', 'right')",-0.3764136,-0.4929331,-0.1165195
34,2.329016,2.467329,"('mean', 'honorable')",2.329016,2.467329,0.138313
35,-1.0843195,-1.277692,"('corrupt', 'incorrupt')",-1.0843195,-1.277692,-0.1933725
36,-1.1318926,-1.4540371,"('hostile', 'amicable')",-1.1318926,-1.4540371,-0.3221445
37,-0.40510562,-0.31264406,"('fake', 'genuine')",-0.4051056,-0.3126441,0.0924615
38,0.7370905,0.70526725,"('untruthful', 'truthful')",0.7370905,0.7052673,-0.0318232
39,0.96093667,0.8786606,"('exploitative', 'cooperative')",0.9609367,0.8786606,-0.0822761
40,-0.8999044,-0.87913793,"('stingy', 'generous')",-0.8999044,-0.8791379,0.0207665
41,0.23458026,0.18518248,"('unforgiving', 'forgiving')",0.2345803,0.1851825,-0.0493978
42,-1.6249694,-1.3471106,"('unreliable', 'reliable')",-1.6249694,-1.3471106,0.2778588
43,0.6212287,0.82907563,"('irresponsible', 'responsible')",0.6212287,0.8290756,0.2078469
44,-0.46527842,-0.5100421,"('prejudiced', 'unprejudiced')",-0.4652784,-0.5100421,-0.0447637
45,-0.28178757,-0.13143437,"('incompetent', 'competent')",-0.2817876,-0.1314344,0.1503532
46,0.30649695,0.42114875,"('uncompetitive', 'competitive')",0.3064969,0.4211487,0.1146518
47,1.8047726,2.0531678,"('stupid', 'smart')",1.8047726,2.0531678,0.2483952
48,1.6969398,1.6312863,"('unintelligent', 'intelligent')",1.6969398,1.6312863,-0.0656535
49,0.9397888,0.9913328,"('unable', 'able')",0.9397888,0.9913328,0.051544
50,-0.19559741,-0.18951184,"('clumsy', 'skillful')",-0.1955974,-0.1895118,0.0060856
